N	3gram	Bakhtin_Pr_1	Vladivir
1	в том что	3	10
2	тем не менее	3	9
3	с точки зрения	6	6
4	а также и	1	6
5	не может быть	11	6
6	и в этом	1	5
7	дело в том	1	5
8	в то время	1	4
9	в настоящее время	1	3
10	в этом смысле	3	3
11	хотя бы и	1	3
12	бы то ни	3	3
13	то что в	1	3
14	с одной стороны	3	3
15	и в его	1	3
16	в то же	3	3
17	в отличие от	5	3
18	в истории философии	1	3
19	то ни стало	1	2
20	иметь в виду	1	2
21	также и в	1	2
22	одной стороны и	1	2
23	во что бы	1	2
24	на первый план	2	2
25	на самом же	1	2
26	в этом отношении	2	2
27	и в то	2	2
28	что бы то	1	2
29	в данном случае	4	2
30	то время как	1	2
31	в связи с	1	2
32	с другой стороны	4	2
33	и в том	1	2
34	самом же деле	1	2
35	то же время	3	2
36	к нему и	2	2
37	на то что	1	2
38	к тому что	1	2
39	что иное как	1	1
40	а следовательно и	1	1
41	вопроса о значении	2	1
42	как и для	2	1
43	в виду что	1	1
44	да и не	1	1
45	и как мы	1	1
46	в этом последнем	1	1
47	в том и	1	1
48	в том же	2	1
49	о том как	1	1
50	может и не	2	1
51	то что является	1	1
52	и должны быть	2	1
53	до сих пор	1	1
54	в иных случаях	3	1
55	в которой я	1	1
56	в строгом смысле	2	1
57	не может иметь	1	1
58	и не столь	1	1
59	она все равно	1	1
60	но можно ли	1	1
61	с тем что	1	1
62	можно было бы	3	1
63	в основе своей	3	1
64	и не в	1	1
65	и тем не	1	1
66	к этому присоединяется	1	1
67	отнюдь не является	1	1
68	ни в какой	1	1
69	может быть и	1	1
70	таким образом есть	1	1
71	вопрос о том	1	1
72	решении вопроса о	1	1
73	и не с	2	1
74	далеко не всегда	3	1
75	если бы мы	1	1
76	не только в	2	1
77	то ни было	2	1
78	не говоря уже	1	1
79	есть таким образом	2	1
80	и не вполне	1	1
81	не есть ни	1	1
82	притом не только	1	1
83	в противном случае	3	1
84	в глазах самого	1	1
85	если бы не	1	1
86	в связи со	1	1
87	можно найти в	1	1
88	не имеет к	1	1
89	о которых мы	1	1
90	мы о ней	1	1
91	все то что	3	1
92	и должно быть	1	1
93	не входя в	1	1
94	в истории и	1	1
95	раз и навсегда	1	1
96	здесь не может	1	1
97	сказать и о	2	1
98	это и есть	1	1
99	ясно что в	1	1
100	и отнюдь не	1	1
101	строгом смысле слова	1	1
102	при решении вопроса	1	1
103	в самом деле	3	1
104	выходит за пределы	1	1
105	той или иной	2	1
106	резко отличается от	1	1
107	не выходит за	1	1
108	могут и должны	1	1
109	в его работе	1	1
110	именно то что	1	1
111	в том смысле	1	1
112	не что иное	1	1
113	довлеет себе а	1	1
114	для того чтобы	2	1
115	не довлеет себе	2	1
116	то же самое	2	1
