N	2gram	Tiupa_Hudo_1	Mirosoze
1	и в	14	46
2	в нем	3	22
3	у него	9	22
4	может быть	5	21
5	в этом	11	20
6	не только	12	18
7	и не	2	18
8	никогда не	6	18
9	для него	10	18
10	но и	5	15
11	не может	7	15
12	человека в	6	14
13	как и	9	13
14	а не	12	13
15	друг друга	5	12
16	к человеку	1	12
17	прежде всего	11	12
18	потому что	5	12
19	и он	5	11
20	не было	4	11
21	но он	3	11
22	в ней	4	11
23	но в	5	10
24	та же	4	10
25	в себе	11	10
26	он не	4	10
27	не в	7	9
28	не знает	2	9
29	отношение к	1	8
30	в своем	4	8
31	на земле	1	8
32	так как	1	8
33	она не	4	8
34	переходит в	1	8
35	как бы	7	8
36	но это	1	8
37	человека и	1	7
38	связана с	1	7
39	в мире	3	7
40	как в	8	7
41	и к	4	7
42	в этой	8	7
43	человеческой личности	1	7
44	хотя бы	1	7
45	и потому	2	7
46	и для	3	7
47	что он	9	7
48	вопрос о	2	6
49	в русской	4	6
50	он сам	1	6
51	жизнь в	1	6
52	того что	4	6
53	и там	1	6
54	жизни и	5	6
55	по преимуществу	3	5
56	то же	9	5
57	я не	1	5
58	совсем не	1	5
59	в самом	4	5
60	и вот	1	5
61	что она	4	5
62	что все	1	5
63	в своей	10	5
64	в отношении	1	5
65	в конце	4	5
66	и его	5	5
67	к тому	7	5
68	и это	4	5
69	это не	7	5
70	один из	4	5
71	в его	8	5
72	то что	8	5
73	и все	4	5
74	в духе	4	5
75	также и	1	4
76	к чему	1	4
77	с его	5	4
78	его на	1	4
79	чем у	1	4
80	в жизни	1	4
81	том что	16	4
82	жизнь и	1	4
83	тому что	4	4
84	не имеет	2	4
85	того чтобы	3	4
86	перед ним	1	4
87	что у	3	4
88	так и	13	4
89	означает что	1	4
90	народной жизни	1	4
91	себя в	4	4
92	уже не	7	4
93	в свою	1	4
94	они не	2	4
95	до конца	2	4
96	т е	4	4
97	человека не	2	4
98	что в	6	4
99	все что	1	4
100	смысле слова	1	3
101	же как	2	3
102	это и	1	3
103	к другому	4	3
104	высшей степени	1	3
105	той же	2	3
106	и на	3	3
107	в чем	1	3
108	человеку и	1	3
109	к страданию	1	3
110	он в	1	3
111	как он	2	3
112	и она	1	3
113	душу и	1	3
114	не бывает	2	3
115	и с	4	3
116	его в	3	3
117	ни в	5	3
118	он же	1	3
119	в высшей	1	3
120	все равно	2	3
121	одна и	1	3
122	не мог	1	3
123	в такой	2	3
124	человека есть	1	3
125	и всегда	1	3
126	по своей	4	3
127	в трагедии	1	3
128	себя и	2	3
129	в образе	1	3
130	если бы	3	3
131	с ним	4	3
132	о том	12	3
133	что они	1	3
134	каждого человека	2	3
135	в том	12	3
136	только в	5	3
137	есть в	1	3
138	и никогда	1	3
139	тем что	3	3
140	с другим	2	3
141	до сих	2	3
142	связано с	1	3
143	человек в	2	3
144	для человека	1	3
145	решения вопроса	1	3
146	нет ничего	2	3
147	в творчестве	3	3
148	жизни в	6	3
149	сих пор	2	3
150	и от	4	3
151	на смену	1	3
152	сказать что	1	3
153	в своих	3	3
154	я и	2	2
155	достоевского в	1	2
156	не имеют	3	2
157	с таким	1	2
158	и за	1	2
159	его не	1	2
160	в сфере	1	2
161	ней есть	1	2
162	но она	1	2
163	принадлежит к	1	2
164	же что	1	2
165	во всех	1	2
166	по отношению	8	2
167	есть по	1	2
168	себе и	2	2
169	она есть	1	2
170	в центре	4	2
171	как к	3	2
172	нельзя было	1	2
173	хотя и	2	2
174	в действительности	4	2
175	от этого	1	2
176	то в	4	2
177	в которой	1	2
178	бы не	1	2
179	и тот	1	2
180	сострадание к	1	2
181	но на	1	2
182	может уже	1	2
183	на его	2	2
184	свободу человеческого	1	2
185	друг для	3	2
186	на этом	3	2
187	этом он	1	2
188	лишь в	3	2
189	достоевского и	1	2
190	а за	1	2
191	должно быть	2	2
192	не будут	1	2
193	в этих	5	2
194	точки зрения	5	2
195	другим и	1	2
196	в который	1	2
197	место в	1	2
198	сам он	1	2
199	чем не	1	2
200	человека если	1	2
201	ничего не	8	2
202	жизни не	1	2
203	связи с	4	2
204	как будто	4	2
205	личности к	2	2
206	не до	1	2
207	в основе	1	2
208	человека что	1	2
209	к себе	5	2
210	всегда есть	1	2
211	приходит к	1	2
212	можно было	5	2
213	еще в	3	2
214	быть может	7	2
215	по себе	2	2
216	и поэтому	2	2
217	и та	1	2
218	и что	2	2
219	в сущности	1	2
220	нас в	1	2
221	которое было	1	2
222	но с	2	2
223	тот же	1	2
224	он уже	4	2
225	между тем	8	2
226	так что	2	2
227	же и	1	2
228	со своим	2	2
229	уже в	1	2
230	него и	1	2
231	человека на	1	2
232	не о	2	2
233	не случайно	7	2
234	он понял	1	2
235	как у	1	2
236	интерес к	5	2
237	человека его	2	2
238	мы еще	1	2
239	всякого человека	1	2
240	что не	2	2
241	превращается в	3	2
242	и своего	1	2
243	не означает	2	2
244	человеческой жизни	4	2
245	и своим	1	2
246	личности в	7	2
247	личности и	2	2
248	в человеке	2	2
249	к своему	2	2
250	не видел	1	2
251	такого рода	3	2
252	я никогда	1	2
253	что же	2	2
254	да и	2	2
255	другого человека	1	2
256	с любовью	1	2
257	но для	1	2
258	в пределе	1	2
259	личного бытия	1	2
260	ее и	1	2
261	но когда	1	2
262	бы в	1	2
263	для друга	3	2
264	соединяется с	1	2
265	а в	7	2
266	своем он	1	2
267	был до	1	2
268	отношению к	8	2
269	и эта	1	2
270	и то	1	1
271	самом деле	5	1
272	только потому	2	1
273	своей основной	1	1
274	выходит к	1	1
275	национальной и	1	1
276	проникает в	1	1
277	ведь и	1	1
278	со своей	1	1
279	она определяется	1	1
280	всего лишь	4	1
281	мы из	1	1
282	мы не	2	1
283	ни у	1	1
284	даже до	1	1
285	внешних событий	1	1
286	среды и	1	1
287	не была	2	1
288	в решении	1	1
289	говорить о	3	1
290	х годов	1	1
291	и ее	1	1
292	личности с	1	1
293	меня самого	1	1
294	духе и	1	1
295	а еще	1	1
296	на них	1	1
297	этим не	1	1
298	есть своя	1	1
299	сознания не	1	1
300	не все	1	1
301	если в	2	1
302	смысла жизни	1	1
303	иначе не	1	1
304	друга и	1	1
305	нет и	1	1
306	в свои	1	1
307	когда тот	1	1
308	и сложность	1	1
309	его я	2	1
310	себя за	1	1
311	с этим	3	1
312	сострадания и	1	1
313	это был	1	1
314	друга не	3	1
315	сознания в	1	1
316	и как	1	1
317	знаю что	1	1
318	поражали и	1	1
319	лежит на	2	1
320	из жизни	1	1
321	отказывается от	1	1
322	жизни эта	2	1
323	в целом	2	1
324	счастья и	2	1
325	все так	1	1
326	все эти	3	1
327	во многих	1	1
328	личности по	1	1
329	поскольку в	1	1
330	раз в	2	1
331	этого как	1	1
332	в плену	1	1
333	только один	1	1
334	о других	1	1
335	на то	4	1
336	внутренне все	1	1
337	они в	2	1
338	он должен	1	1
339	у толстого	1	1
340	наших глазах	1	1
341	в плане	1	1
342	что ни	1	1
343	духовную свободу	1	1
344	но все	1	1
345	значительной степени	2	1
346	жить в	1	1
347	же не	1	1
348	то чтобы	2	1
349	в другом	2	1
350	об этом	5	1
351	их и	1	1
352	и менее	1	1
353	входит в	1	1
354	другим я	1	1
355	его личности	2	1
356	вот например	1	1
357	было бы	6	1
358	по истории	1	1
359	и тем	1	1
360	за ней	1	1
361	не соответствует	1	1
362	к которым	1	1
363	жизни то	1	1
364	это сама	1	1
365	этого не	1	1
366	с тем	1	1
367	и уже	1	1
368	которой он	1	1
369	в я	4	1
370	с такой	1	1
371	в чистом	1	1
372	перед собой	2	1
373	бы на	2	1
374	от своего	1	1
375	как все	2	1
376	и без	1	1
377	во времена	1	1
378	с точки	3	1
379	человеком и	1	1
380	к одному	1	1
381	существует для	1	1
382	прибегает к	2	1
383	себе а	1	1
384	в которых	1	1
385	жизни с	1	1
386	своего рода	7	1
387	признать что	1	1
388	ответить на	1	1
389	бытия со	1	1
390	другом и	1	1
391	она в	3	1
392	и более	1	1
393	их в	1	1
394	личность в	1	1
395	нас к	1	1
396	и потом	2	1
397	иной раз	1	1
398	но они	1	1
399	его нет	1	1
400	человека но	1	1
401	человечества и	1	1
402	из нас	3	1
403	природа не	1	1
404	этими двумя	1	1
405	как о	1	1
406	у кого	1	1
407	раскрыться в	1	1
408	в самых	1	1
409	та или	3	1
410	лжи и	1	1
411	для всего	2	1
412	о природе	3	1
413	и весь	1	1
414	или как	1	1
415	или иная	3	1
416	своей природе	2	1
417	добру и	1	1
418	друга даже	1	1
419	из трактира	1	1
420	земное счастье	2	1
421	что на	2	1
422	не потому	1	1
423	в нее	1	1
424	в движении	1	1
425	своего я	3	1
426	не могут	1	1
427	ее на	1	1
428	уже было	1	1
429	но также	1	1
430	мысли о	2	1
431	он видит	1	1
432	все еще	2	1
433	для себя	3	1
434	жизни героев	1	1
435	обращенный к	1	1
436	человеку в	1	1
437	в ее	3	1
438	тем в	1	1
439	говорит об	1	1
440	смысл но	1	1
441	говорили что	1	1
442	в пределах	3	1
443	приводит к	3	1
444	роль в	1	1
445	в финале	3	1
446	в xix	1	1
447	всякого человеческого	1	1
448	на нее	1	1
449	живет в	2	1
450	его героев	2	1
451	мог бы	1	1
452	и каждый	2	1
453	о связи	1	1
454	когда в	1	1
455	стороне от	1	1
456	но у	1	1
457	была в	1	1
458	и всемирной	1	1
459	она легко	1	1
460	находится в	1	1
461	а также	3	1
462	в личности	1	1
463	в самой	1	1
464	на вопрос	2	1
465	тех его	1	1
466	ценностей культуры	1	1
467	другому в	1	1
468	может не	1	1
469	толстой и	1	1
470	все та	1	1
471	в значительной	2	1
472	до известной	1	1
473	он берет	1	1
474	все в	1	1
475	каждый человек	1	1
476	путь к	1	1
477	это в	3	1
478	во втором	1	1
479	и только	1	1
480	тотчас же	1	1
481	наконец в	1	1
482	тот момент	2	1
483	нем и	1	1
484	который так	1	1
485	на наших	1	1
486	к концу	1	1
487	и об	2	1
488	начал у	1	1
489	происходит в	1	1
490	жизни его	1	1
491	но так	1	1
492	и личной	1	1
493	к личности	1	1
494	которым он	1	1
495	в какой	1	1
496	в стороне	1	1
497	не останется	1	1
498	верно и	1	1
499	это очень	1	1
500	как лишь	1	1
501	человеке но	1	1
502	одних и	1	1
503	в природе	1	1
504	в творениях	2	1
505	его жизнь	2	1
506	лишь во	1	1
507	и у	1	1
508	и они	1	1
509	а напротив	1	1
510	не принимает	1	1
511	не из	1	1
512	не дает	1	1
513	всегда было	1	1
514	его и	1	1
515	в письме	1	1
516	в пространстве	1	1
517	лет но	1	1
518	в прошлом	1	1
519	в землю	2	1
520	у нее	2	1
521	какого он	1	1
522	для них	1	1
523	в xx	1	1
524	бытия и	4	1
525	из нее	1	1
526	людей не	1	1
527	отдельного человека	1	1
528	этом отношении	3	1
529	он один	1	1
530	церкви и	1	1
531	его личность	1	1
532	средних веков	1	1
533	как можно	1	1
534	на примере	1	1
535	с другой	1	1
536	вслед за	1	1
537	и быть	4	1
538	во второй	5	1
539	а с	2	1
540	же о	1	1
541	они более	1	1
542	личности не	1	1
543	также в	2	1
544	его судьбой	1	1
545	или человек	1	1
546	о чем	1	1
547	чуждой и	1	1
548	и ему	2	1
549	представляется нам	2	1
550	люди в	1	1
551	людей даже	1	1
552	ни на	1	1
553	него на	1	1
554	на самом	2	1
555	жизнь есть	1	1
556	не сразу	1	1
557	xix века	1	1
558	в жизнь	1	1
559	по своему	3	1
560	в изображении	2	1
561	видит в	3	1
562	своей души	1	1
563	в романах	1	1
564	а между	1	1
565	укладу жизни	1	1
566	мировой жизни	1	1
567	о человеке	2	1
568	века и	1	1
569	в тот	2	1
570	духовной жизни	1	1
571	про себя	2	1
572	плену у	1	1
573	с этой	2	1
574	этот не	1	1
575	я сам	1	1
576	все это	2	1
577	глубины и	1	1
578	письме к	1	1
579	формы и	1	1
580	своей собственной	2	1
581	когда он	1	1
582	сознания что	1	1
583	конце концов	1	1
584	мы должны	1	1
585	человека она	2	1
586	ни к	2	1
587	всякий раз	1	1
588	только что	4	1
589	чувствовал себя	1	1
590	в мировом	1	1
591	центре внимания	1	1
592	свою судьбу	1	1
593	да не	2	1
594	остается как	1	1
595	это сознание	1	1
596	культуры в	1	1
597	из этого	1	1
598	в свое	1	1
599	с анной	2	1
600	души все	1	1
601	это так	2	1
602	к этой	3	1
603	друга как	1	1
604	которая не	2	1
