N	2gram	Vinokur_Ku_2	Vladivir
1	и в	23	30
2	в году	2	24
3	то что	9	20
4	в этом	18	20
5	у него	3	19
6	в том	19	18
7	и не	16	18
8	и с	7	14
9	в конце	4	13
10	что он	5	13
11	что в	10	12
12	не только	20	12
13	том что	11	12
14	а в	3	11
15	в его	5	11
16	как мы	3	11
17	сказать что	4	11
18	и вообще	2	10
19	не было	4	10
20	и даже	2	10
21	а также	3	10
22	все же	7	9
23	не может	9	9
24	кроме того	1	9
25	не в	8	9
26	потому что	25	9
27	для него	1	9
28	в то	4	9
29	было бы	15	9
30	не мог	1	8
31	в связи	4	8
32	связи с	3	8
33	что же	5	8
34	вместе с	5	8
35	но и	7	8
36	но в	11	8
37	в своем	2	8
38	для нас	4	7
39	не менее	7	7
40	и все	2	7
41	точки зрения	14	7
42	как это	5	7
43	между прочим	2	7
44	а не	10	7
45	никогда не	2	7
46	может быть	15	7
47	до конца	3	7
48	ни в	4	7
49	в себе	1	6
50	во всяком	5	6
51	еще и	2	6
52	и к	1	6
53	прежде всего	8	6
54	и его	3	6
55	у нас	12	6
56	всякого рода	2	6
57	всяком случае	5	6
58	он был	1	6
59	хотя и	4	6
60	тем не	6	6
61	только в	5	6
62	об этом	5	6
63	также и	5	6
64	то время	1	6
65	к этому	4	6
66	а именно	2	6
67	все эти	12	5
68	это мы	1	5
69	как и	2	5
70	того же	3	5
71	при этом	2	5
72	так и	4	5
73	в своей	2	5
74	по себе	10	5
75	тот же	5	5
76	и я	1	5
77	того что	3	5
78	так что	1	5
79	с этим	3	5
80	в котором	1	5
81	и что	8	5
82	в результате	4	5
83	то в	1	5
84	но что	2	5
85	все это	5	5
86	и то	5	5
87	так как	15	5
88	он уже	2	5
89	как бы	4	5
90	в которой	1	4
91	можно сказать	4	4
92	так же	4	4
93	здесь не	3	4
94	крайней мере	6	4
95	вовсе не	9	4
96	что это	7	4
97	в нем	4	4
98	мы с	2	4
99	и он	1	4
100	не очень	1	4
101	в это	1	4
102	с а	1	4
103	время в	1	4
104	с этой	2	4
105	отношение к	1	4
106	то же	6	4
107	для меня	1	4
108	в целом	1	4
109	мы должны	2	4
110	и о	4	4
111	той же	2	4
112	со стороны	4	4
113	по поводу	2	4
114	в этой	6	4
115	в этих	1	4
116	именно в	3	4
117	и на	6	4
118	по крайней	6	4
119	и если	2	4
120	он не	3	4
121	несмотря на	5	4
122	с его	1	4
123	я не	5	4
124	о том	1	4
125	это время	1	4
126	на этот	2	4
127	письме к	1	4
128	в ней	3	4
129	конечно не	2	4
130	мы знаем	4	4
131	но это	3	4
132	не есть	1	4
133	как в	3	3
134	когда мы	1	3
135	а а	1	3
136	что можно	3	3
137	и вот	5	3
138	же время	3	3
139	конце концов	3	3
140	но он	1	3
141	и это	3	3
142	где он	1	3
143	а это	2	3
144	таким образом	5	3
145	в виде	1	3
146	в следующем	1	3
147	это в	2	3
148	уже на	1	3
149	французском языке	1	3
150	те же	3	3
151	но не	6	3
152	хотя бы	9	3
153	к такому	1	3
154	здесь мы	2	3
155	дело в	1	3
156	что касается	2	3
157	но вот	2	3
158	отношения к	2	3
159	с точки	8	3
160	да и	6	3
161	из этих	1	3
162	отличие от	2	3
163	можно говорить	2	3
164	не говоря	2	3
165	в отношении	2	3
166	не то	2	3
167	я в	1	3
168	сказать о	1	3
169	в очень	1	3
170	что я	4	3
171	должно быть	4	3
172	он и	2	3
173	едва ли	1	3
174	уже не	8	3
175	в них	4	3
176	всех этих	3	3
177	том же	1	3
178	и для	2	3
179	никак не	3	3
180	что и	3	3
181	в отличие	2	3
182	даже и	2	3
183	мы будем	2	3
184	тем более	1	3
185	по существу	5	3
186	в области	11	3
187	так или	2	3
188	должен был	1	3
189	точно так	3	3
190	уже в	3	3
191	или иначе	3	3
192	и как	1	3
193	в данном	4	3
194	в свою	2	3
195	россии и	1	2
196	не могла	1	2
197	а вот	1	2
198	очень много	1	2
199	как у	2	2
200	несколько месяцев	1	2
201	же это	1	2
202	в русском	10	2
203	всем и	1	2
204	только тогда	1	2
205	о своем	1	2
206	не был	1	2
207	время как	1	2
208	в последнее	1	2
209	в каких	1	2
210	после того	2	2
211	гораздо более	3	2
212	только после	1	2
213	к нему	2	2
214	но дело	1	2
215	на то	4	2
216	нет никаких	1	2
217	у вас	1	2
218	говоря уже	2	2
219	даже в	1	2
220	его и	1	2
221	настоящее время	1	2
222	а пока	1	2
223	мы не	1	2
224	в последние	1	2
225	на котором	1	2
226	нисколько не	3	2
227	наряду с	1	2
228	в их	2	2
229	казалось бы	3	2
230	само по	5	2
231	с тем	2	2
232	с и	1	2
233	если не	1	2
234	о в	1	2
235	некоторой степени	2	2
236	мы находим	1	2
237	но все	4	2
238	этого не	3	2
239	сколько угодно	1	2
240	кажется что	1	2
241	в той	2	2
242	данном случае	2	2
243	к тому	4	2
244	он все	1	2
245	это не	6	2
246	мы видели	2	2
247	что для	2	2
248	на все	2	2
249	и прежде	1	2
250	не имеет	4	2
251	что вы	1	2
252	к вам	1	2
253	что если	2	2
254	а что	1	2
255	с которым	1	2
256	в чем	1	2
257	тогда когда	1	2
258	что не	6	2
259	в статье	3	2
260	того чтобы	11	2
261	не на	2	2
262	до некоторой	2	2
263	возможно что	1	2
264	но уже	2	2
265	свою очередь	2	2
266	и от	2	2
267	в сущности	9	2
268	здесь можно	1	2
269	к этой	3	2
270	во многих	1	2
271	для того	9	2
272	она не	2	2
273	и потому	2	2
274	на первом	1	2
275	такого рода	1	2
276	ничего не	4	2
277	же и	2	2
278	которого я	1	2
279	без всякого	1	2
280	сам по	1	2
281	мы уже	1	2
282	будто бы	2	2
283	в настоящее	1	2
284	также что	2	2
285	и часто	1	2
286	русская мысль	1	2
287	того как	2	2
288	приходит к	1	2
289	в самом	12	2
290	вот это	1	2
291	последнее время	3	2
292	имеет никакого	1	2
293	у достоевского	1	2
294	как к	1	2
295	на этом	3	2
296	их в	1	2
297	в своих	2	2
298	в общем	1	2
299	уже о	3	2
300	в частности	2	2
301	невозможно но	1	2
302	же в	3	2
303	есть нечто	1	2
304	хотел бы	1	2
305	и до	2	2
306	себе представить	1	2
307	и есть	2	2
308	нас в	1	2
309	заключается в	2	2
310	как будто	2	2
311	себе и	1	2
312	в виду	3	2
313	еще один	1	2
314	можно было	9	2
315	однако в	1	2
316	и по	3	2
317	том чтобы	1	2
318	по своему	1	2
