N	2gram	Berdyaev_M_1	Tvorches
1	у достоевского	42	28
2	подпольный человек	6	22
3	и в	28	21
4	как бы	2	17
5	романах достоевского	1	15
6	в то	2	15
7	из подполья	10	13
8	в его	9	13
9	в романах	1	13
10	достоевского в	9	12
11	то есть	3	12
12	как и	5	12
13	что в	10	12
14	с его	3	11
15	том что	3	11
16	подпольного человека	7	11
17	все это	6	10
18	как в	2	8
19	он не	24	8
20	достоевского с	2	8
21	то что	5	8
22	и на	6	7
23	но в	7	7
24	что достоевский	4	7
25	не только	29	7
26	у него	17	7
27	и не	11	7
28	в том	6	7
29	в свою	2	7
30	в этом	20	6
31	достоевского не	4	6
32	в преступлении	2	6
33	в творчестве	10	6
34	человека в	13	6
35	в котором	8	6
36	не менее	1	6
37	и его	9	6
38	по природе	1	6
39	он сам	6	6
40	о том	2	6
41	и все	10	6
42	что он	10	6
43	для него	11	6
44	записки из	1	6
45	xix века	4	6
46	а в	4	6
47	жизни в	2	6
48	преступления и	3	5
49	все же	2	5
50	в этой	6	5
51	и наказания	1	5
52	вовсе не	1	5
53	в своих	1	5
54	в русской	1	5
55	потому что	16	5
56	как будто	2	5
57	только в	6	5
58	творчестве достоевского	4	5
59	может быть	30	5
60	а не	25	5
61	но это	1	5
62	хотя бы	3	5
63	человека и	14	4
64	из всех	1	4
65	в своем	10	4
66	и как	2	4
67	та же	1	4
68	в человеке	8	4
69	в записках	1	4
70	это не	5	4
71	в своей	15	4
72	мысли и	2	4
73	достоевский не	6	4
74	творчества достоевского	1	4
75	достоевским в	2	4
76	в подполье	1	4
77	в мире	10	4
78	одной из	1	4
79	для достоевского	5	4
80	герои достоевского	4	4
81	униженных и	1	4
82	русской жизни	1	4
83	достоевского это	2	4
84	прежде всего	10	4
85	в момент	3	4
86	не может	28	4
87	и от	2	4
88	один из	4	4
89	процесса в	1	4
90	и оскорбленных	1	4
91	одним из	2	4
92	я и	1	3
93	о свободе	18	3
94	ту же	1	3
95	и т	1	3
96	бытие бога	1	3
97	на самом	1	3
98	это и	4	3
99	среды и	1	3
100	я не	1	3
101	не был	7	3
102	что я	1	3
103	достоевского к	5	3
104	человеческих отношений	1	3
105	творчество достоевского	13	3
106	героев достоевского	2	3
107	в самом	11	3
108	в нем	13	3
109	он ни	2	3
110	в россии	2	3
111	на земле	2	3
112	и по	4	3
113	в каждом	1	3
114	и с	3	3
115	на протяжении	2	3
116	достоевский и	3	3
117	достоевского и	10	3
118	своей личности	1	3
119	в их	4	3
120	место в	2	3
121	человека но	4	3
122	никогда не	14	3
123	достоевский в	5	3
124	записок из	5	3
125	приходит к	1	3
126	в бесах	2	3
127	с ним	2	3
128	самого достоевского	2	3
129	добра и	5	3
130	того что	7	3
131	действительной жизни	1	3
132	человеческой личности	4	3
133	уже не	4	3
134	уже в	4	3
135	записках из	1	3
136	говорит о	1	3
137	не так	3	3
138	так как	3	3
139	в которой	6	3
140	связан с	1	3
141	и даже	1	3
142	но и	25	3
143	что человек	3	3
144	к человеку	9	3
145	в идиоте	1	3
146	подхода к	1	3
147	но не	8	3
148	для человека	3	3
149	романов достоевского	3	3
150	достоевский как	1	3
151	не существует	2	3
152	своих героев	2	3
153	но если	3	3
154	жизни и	2	3
155	так же	1	3
156	себя как	1	2
157	вряд ли	3	2
158	в любви	4	2
159	в нашей	1	2
160	самом деле	1	2
161	когда человек	3	2
162	с темой	1	2
163	а как	2	2
164	есть не	4	2
165	человека у	3	2
166	мир его	1	2
167	но она	1	2
168	и красота	1	2
169	и он	12	2
170	в ней	15	2
171	собой в	1	2
172	в отличие	1	2
173	людей в	1	2
174	во имя	10	2
175	если в	1	2
176	отличие от	1	2
177	и достоевский	12	2
178	человека его	3	2
179	человек может	2	2
180	в одной	1	2
181	как к	1	2
182	что как	1	2
183	когда он	3	2
184	говорит что	1	2
185	и наконец	1	2
186	бога есть	1	2
187	по достоевскому	2	2
188	в себе	7	2
189	что она	1	2
190	отношений между	1	2
191	был всегда	1	2
192	страдания и	2	2
193	его романах	2	2
194	в вечности	1	2
195	на достоевского	1	2
196	этом он	2	2
197	достоевского он	7	2
198	свою противоположность	2	2
199	личности не	1	2
200	когда я	1	2
201	ведет к	6	2
202	бога и	10	2
203	в этих	4	2
204	этой связи	1	2
205	не во	1	2
206	но христос	1	2
207	достоевский с	5	2
208	не столько	1	2
209	не в	16	2
210	но он	9	2
211	т п	1	2
212	между людьми	1	2
213	и против	1	2
214	сам достоевский	3	2
215	вторгается в	1	2
216	в основе	2	2
217	свободы и	10	2
218	человека если	1	2
219	к добру	2	2
220	к ней	4	2
221	людей и	2	2
222	в движении	3	2
223	личности в	2	2
224	иван карамазов	8	2
225	в духе	1	2
226	нет ни	1	2
227	могут быть	2	2
228	к тому	3	2
229	а что	1	2
230	протяжении всего	1	2
231	в жизни	3	2
232	в виду	2	2
233	не могу	1	2
234	приводит к	2	2
235	и необходимости	1	2
236	верит в	1	2
237	на том	3	2
238	и когда	2	2
239	так и	1	2
240	живет в	2	2
241	об этом	1	2
242	еще в	2	2
243	быть может	7	2
244	может не	2	2
245	и та	1	2
246	одного из	1	2
247	переходит в	15	2
248	что и	4	2
249	во всей	1	2
250	и мир	2	2
251	значит что	4	2
252	настасьи филипповны	1	2
253	традиции в	1	2
254	наше время	1	2
255	человека с	2	2
256	так что	1	2
257	же и	1	2
258	в россию	1	2
259	страдание и	1	2
260	и у	2	2
261	был бы	10	2
262	что не	1	2
263	влияние на	1	2
264	до конца	14	2
265	его как	2	2
266	мира в	1	2
267	человека как	2	2
268	было в	1	2
269	все более	1	2
270	в частности	1	2
271	вместе с	6	2
272	русской литературы	5	2
273	в него	3	2
274	к жизни	1	2
275	эти слова	2	2
276	еще более	1	2
277	в мир	3	2
278	вокруг себя	1	2
279	него есть	1	2
280	мертвого дома	1	2
281	человеку как	1	2
282	не мог	3	2
283	в наше	2	2
284	из себя	1	2
285	личности и	1	2
286	не знает	4	2
287	сказать что	2	2
288	и зла	5	2
289	в глаза	1	2
290	человек это	1	2
291	время он	1	2
292	в творческой	1	2
293	и человек	2	2
294	к этому	2	2
295	всем и	1	1
296	только он	1	1
297	чтобы не	2	1
298	и через	1	1
299	достоевского у	2	1
300	связана с	2	1
301	сплошь и	1	1
302	переход от	1	1
303	преступлении человек	1	1
304	и есть	14	1
305	этого мира	3	1
306	из самых	8	1
307	и до	1	1
308	был и	1	1
309	которое может	1	1
310	и этот	4	1
311	также и	2	1
312	мы уже	1	1
313	не прошли	1	1
314	всей ее	1	1
315	свободу как	2	1
316	достоевского очень	2	1
317	мы имеем	1	1
318	пришел в	1	1
319	человеческой природы	20	1
320	и тут	1	1
321	реализма он	1	1
322	движение в	2	1
323	достоевского мы	2	1
324	свое завершение	1	1
325	время как	2	1
326	что иное	1	1
327	принадлежит к	1	1
328	через которые	1	1
329	то это	1	1
330	к преступлению	4	1
331	не способен	1	1
332	земле к	1	1
333	себе а	1	1
334	достоевского был	1	1
335	одно из	3	1
336	еще не	1	1
337	он был	14	1
338	зрения у	1	1
339	иное как	1	1
340	во всех	1	1
341	тем как	1	1
342	на высоте	1	1
343	поле битвы	2	1
344	достоевского была	1	1
345	наряду с	1	1
346	и ад	6	1
347	и всякий	1	1
348	не терпит	2	1
349	него все	1	1
350	по отношению	2	1
351	эта истина	1	1
352	человеку и	2	1
353	в истории	2	1
354	как говорит	1	1
355	действительности достоевский	1	1
356	с этим	3	1
357	князя мышкина	1	1
358	своем творчестве	2	1
359	о жизни	1	1
360	более и	1	1
361	это был	1	1
362	его свободы	2	1
363	на человека	2	1
364	глава iv	1	1
365	сознания в	1	1
366	целый ряд	1	1
367	к этой	2	1
368	завершение в	1	1
369	его к	1	1
370	писателя как	1	1
371	и к	2	1
372	искусство и	1	1
373	в этот	2	1
374	как отрицание	1	1
375	всей душой	1	1
376	добро и	3	1
377	человеком в	1	1
378	за собой	2	1
379	со своей	1	1
380	к чему	2	1
381	он идет	1	1
382	бы и	3	1
383	под ним	2	1
384	он в	2	1
385	все эти	2	1
386	жизни так	1	1
387	бога в	2	1
388	так в	1	1
389	учение о	3	1
390	достоевском что	1	1
391	человеке и	8	1
392	чем его	4	1
393	говорят о	1	1
394	свободы он	2	1
395	имеем в	1	1
396	и те	2	1
397	если он	5	1
398	человек не	10	1
399	зла в	4	1
400	версилова и	1	1
401	видит и	1	1
402	вверх от	1	1
403	да и	1	1
404	шекспира и	1	1
405	явление но	1	1
406	всех этих	1	1
407	не значит	2	1
408	чем у	4	1
409	к одному	1	1
410	этого вопроса	1	1
411	не к	4	1
412	ведь этот	1	1
413	зла и	8	1
414	и вот	3	1
415	своего пути	1	1
416	братья карамазовы	1	1
417	природы человека	1	1
418	на этом	3	1
419	заключает в	3	1
420	достоевского как	2	1
421	восстает против	1	1
422	которого был	1	1
423	уже пришел	1	1
424	подход к	1	1
425	же не	1	1
426	человек а	1	1
427	должен идти	2	1
428	достоевским как	1	1
429	значение в	1	1
430	с божественной	1	1
431	его не	3	1
432	и чтобы	1	1
433	на все	1	1
434	к превращению	1	1
435	она связана	1	1
436	его в	3	1
437	это было	1	1
438	заключается в	1	1
439	дома и	1	1
440	который и	2	1
441	было бы	10	1
442	добру свобода	1	1
443	роль в	1	1
444	центральное место	1	1
445	не боится	1	1
446	весь мир	1	1
447	связанным с	1	1
448	антропологии достоевского	1	1
449	их свободной	1	1
450	для них	3	1
451	в них	4	1
452	он же	1	1
453	мировой литературы	1	1
454	с этой	4	1
455	с тем	9	1
456	всю жизнь	4	1
457	человек ищет	1	1
458	одна и	1	1
459	он и	2	1
460	чем в	2	1
461	русского народа	1	1
462	ключ к	1	1
463	без этой	1	1
464	духовной жизни	3	1
465	достоевского было	3	1
466	пребывает в	3	1
467	достоевского нет	5	1
468	самом последнем	2	1
469	конца понять	1	1
470	что такое	1	1
471	и ее	1	1
472	свои фантастические	1	1
473	человека до	1	1
474	что до	1	1
475	не от	1	1
476	всякий раз	1	1
477	знал и	1	1
478	и уж	2	1
479	сам же	1	1
480	идеи достоевского	5	1
481	для многих	1	1
482	в философии	1	1
483	и более	1	1
484	как от	1	1
485	своей свободы	1	1
486	бог создал	1	1
487	если нет	5	1
488	имел в	1	1
489	и достоевского	2	1
490	человеку не	1	1
491	достоевскому он	1	1
492	европейской культуры	1	1
493	ему как	1	1
494	в атмосфере	1	1
495	в отношении	1	1
496	а от	1	1
497	вплоть до	1	1
498	есть подлинная	1	1
499	что ему	1	1
500	в смысле	1	1
501	не имеет	3	1
502	что их	1	1
503	у кого	1	1
504	к этим	2	1
505	в плане	1	1
506	дневника писателя	2	1
507	мы все	1	1
508	от достоевского	1	1
509	это еще	1	1
510	для творчества	1	1
511	и зло	1	1
512	все свои	1	1
513	человека от	2	1
514	представляется достоевскому	1	1
515	казалось бы	1	1
516	не вполне	1	1
517	жизни не	1	1
518	в самой	7	1
519	природы в	3	1
520	и учение	1	1
521	и добро	1	1
522	он хочет	1	1
523	же он	1	1
524	хочет быть	1	1
525	свобода предполагает	1	1
526	исторического процесса	1	1
527	только с	1	1
528	одним словом	1	1
529	о предопределении	2	1
530	все с	1	1
531	что связывает	1	1
532	достоевского есть	19	1
533	в области	1	1
534	человек должен	6	1
535	как свободу	1	1
536	содержания как	1	1
537	у нас	5	1
538	xx века	1	1
539	не одно	1	1
540	к себе	1	1
541	не могут	5	1
542	вокруг него	1	1
543	чтобы человек	2	1
544	бы он	1	1
545	ли что	1	1
546	контраст между	1	1
547	мысли о	2	1
548	не есть	9	1
549	оно не	1	1
550	быть назван	1	1
551	она не	4	1
552	и это	12	1
553	вихревое движение	1	1
554	духа но	1	1
555	на помощь	2	1
556	эта мысль	1	1
557	в героях	1	1
558	и о	1	1
559	в конце	7	1
560	органически связанным	1	1
561	отношения и	2	1
562	в ее	3	1
563	культуры и	1	1
564	веру в	4	1
565	их нужно	1	1
566	слово о	1	1
567	человека он	4	1
568	в образе	1	1
569	достоевского о	2	1
570	особенно в	3	1
571	в социальном	1	1
572	но у	1	1
573	жизнь и	1	1
574	сам не	2	1
575	в эпоху	1	1
576	высокое и	1	1
577	означает что	1	1
578	в глубине	8	1
579	каждый раз	1	1
580	своей книге	1	1
581	наказания достоевский	1	1
582	это я	1	1
583	он живет	2	1
584	и что	2	1
585	достоевского все	4	1
586	она всегда	1	1
587	с того	2	1
588	все его	3	1
589	замкнулся в	1	1
590	достоевского существенно	1	1
591	раскольникова и	2	1
592	но когда	1	1
593	самому себе	2	1
594	кажется что	1	1
595	нас в	1	1
596	как у	1	1
597	знает что	1	1
598	к нему	7	1
599	мира сего	2	1
600	путь к	1	1
601	и всю	1	1
602	общества в	1	1
603	между тем	1	1
604	от них	1	1
605	свобода и	6	1
606	человека из	2	1
607	глава ii	1	1
608	восходит к	1	1
609	вообще и	1	1
610	движения в	2	1
611	все время	1	1
612	великого писателя	2	1
613	от свободы	2	1
614	что человечество	1	1
615	перелома в	1	1
616	бросается в	1	1
617	всего творчества	1	1
618	социальной среды	3	1
619	жизнь его	1	1
620	как он	2	1
621	пришел к	1	1
622	вечности в	1	1
623	трактиры и	1	1
624	и действительно	1	1
625	свобода человеческого	1	1
626	должен был	4	1
627	это очень	3	1
628	идет к	1	1
629	человека во	1	1
630	делает его	1	1
631	против всех	1	1
632	и обогатил	1	1
633	в эти	1	1
634	достоевский показывает	2	1
635	человека к	2	1
636	знал что	1	1
637	себя в	3	1
638	с какой	1	1
639	он считал	1	1
640	гармонии и	1	1
641	к идее	1	1
642	то и	1	1
643	образ но	1	1
644	и ставрогина	1	1
645	не все	2	1
646	героях достоевского	1	1
647	это характерно	1	1
648	и кириллов	1	1
649	рассказывает о	1	1
650	в душе	1	1
651	и страдание	2	1
652	и жертвой	1	1
653	и рядом	1	1
654	мышления и	1	1
655	его и	1	1
656	он принадлежит	1	1
657	к злу	3	1
658	свою свободу	2	1
659	с традиционной	1	1
660	разные стороны	1	1
661	ведь это	2	1
662	достоевского его	1	1
663	книгу в	1	1
664	он весь	7	1
665	в одном	1	1
666	у нее	1	1
667	ее не	1	1
668	к ним	1	1
669	и дьявола	3	1
670	тем что	4	1
671	лишь один	1	1
672	даже и	2	1
673	пути пушкина	1	1
674	антропологизм достоевского	2	1
675	не было	18	1
676	глава iii	1	1
677	достоевского во	1	1
678	достоевского тема	1	1
679	бытия но	2	1
680	и из	1	1
681	до сих	2	1
682	которая всегда	1	1
683	город и	1	1
684	к которому	1	1
685	с той	1	1
686	чем он	1	1
687	что бог	2	1
688	гуманизма и	1	1
689	души и	1	1
690	быть человеком	1	1
691	мира это	1	1
692	себя и	3	1
693	у других	1	1
694	и их	3	1
695	каждый человек	1	1
696	а на	1	1
697	это прежде	1	1
698	на этот	2	1
699	и самый	2	1
700	не на	1	1
701	есть лишь	9	1
702	жизнь в	1	1
703	мучительный и	1	1
704	достоевского на	1	1
705	человек есть	4	1
706	о чем	2	1
707	и я	5	1
708	его собственной	2	1
709	когда она	1	1
710	романы достоевского	2	1
711	идет в	1	1
712	него не	2	1
713	всемирной истории	2	1
714	остальным человечеством	1	1
715	человека границы	1	1
716	с потрясающей	1	1
717	это-то и	1	1
718	в моей	1	1
719	если так	1	1
720	по своему	2	1
721	чувствовал что	1	1
722	есть только	2	1
723	в сферу	1	1
724	исторической эпохи	1	1
725	это есть	3	1
726	где христос	1	1
727	что же	1	1
