1	в себе	10	19
2	при этом	12	17
3	в этом	24	16
4	в качестве	21	16
5	как и	9	16
6	и в	20	16
7	состоит в	4	16
8	может быть	12	16
9	и не	8	15
10	а не	7	14
11	и т.п	2	12
12	в частности	5	12
13	отличие от	2	12
14	в отличие	2	12
15	но и	9	11
16	тогда как	2	11
17	но в	3	11
18	представляет собой	3	11
19	со стороны	3	10
20	том что	35	10
21	не только	15	10
22	своего рода	1	10
23	не может	6	9
24	так и	5	9
25	такого рода	6	9
26	в том	42	8
27	а также	2	8
28	как в	5	8
29	ни в	3	7
30	в нем	2	7
31	но не	3	7
32	в данном	2	7
33	прежде всего	2	7
34	не менее	3	7
35	в своих	1	6
36	то же	16	6
37	тем самым	7	6
38	отнюдь не	3	6
39	в своей	7	6
40	себя в	3	6
41	данном случае	2	6
42	еще не	2	6
43	все же	5	6
44	по своей	6	6
45	для него	2	5
46	а с	2	5
47	что в	19	5
48	с другой	12	5
49	то что	15	5
50	и на	6	5
51	в то	1	5
52	в своем	4	5
53	одно из	1	4
54	этом отношении	7	4
55	одного из	1	4
56	точки зрения	24	4
57	к этому	4	4
58	как бы	7	4
59	с одной	9	4
60	в этой	3	4
61	в период	1	4
62	в одном	1	4
63	и то	10	4
64	в основе	17	4
65	роль в	4	4
66	по отношению	1	4
67	потому что	12	4
68	отношению к	1	4
69	не является	5	4
70	одной стороны	9	4
71	о том	5	4
72	и того	5	3
73	могут быть	7	3
74	все эти	5	3
75	и его	5	3
76	можно сказать	1	3
77	приводит к	3	3
78	например в	1	3
79	из них	4	3
80	не столько	1	3
81	он не	1	3
82	уже не	1	3
83	и как	9	3
84	столь же	3	3
85	его в	6	3
86	ведет к	1	3
87	из двух	1	3
88	не знает	2	3
89	только в	10	3
90	из этих	2	3
91	также и	2	3
92	в его	11	3
93	не в	4	3
94	и ее	1	3
95	перед нами	5	3
96	поведения в	2	3
97	всей своей	1	3
98	но одновременно	1	3
99	но это	1	3
100	было в	1	3
101	и может	1	3
102	одного и	6	3
103	здесь в	1	3
104	в этих	3	3
105	это не	5	3
106	может иметь	1	2
107	что и	9	2
108	первую очередь	4	2
109	в языке	2	2
110	ключом к	4	2
111	и одновременно	1	2
112	с точки	11	2
113	в ней	2	2
114	входит в	2	2
115	идет о	3	2
116	свое время	2	2
117	а потом	2	2
118	и фактической	1	2
119	все это	1	2
120	базируется на	1	2
121	с той	2	2
122	это в	2	2
123	здесь не	2	2
124	жизненного опыта	1	2
125	и для	4	2
126	установку на	2	2
127	того же	9	2
128	мы имеем	2	2
129	вместе с	8	2
130	значении этого	1	2
131	место в	2	2
132	этом случае	3	2
133	совпадает с	1	2
134	что на	2	2
135	в обоих	3	2
136	или по	1	2
137	обоих случаях	3	2
138	в ходе	4	2
139	в первую	4	2
140	должно быть	3	2
141	такой же	2	2
142	как уже	4	2
143	никогда не	5	2
144	стороны и	2	2
145	и это	2	2
146	переходе от	2	2
147	должна быть	2	2
148	в полном	1	2
149	в области	4	2
150	который не	2	2
151	именно в	3	2
152	той же	6	2
153	в себя	1	2
154	в той	2	2
155	а в	2	2
156	содержит в	2	2
157	говорить о	1	2
158	отношения между	1	2
159	что он	6	2
160	который по	2	2
161	для себя	1	2
162	же как	6	2
163	между тем	9	2
164	с таким	3	2
165	одно и	6	2
166	ситуации и	1	2
167	не на	1	2
168	в целом	11	2
169	тому как	2	2
170	на первый	4	2
171	в результате	8	2
172	говорит об	1	2
173	является не	4	2
174	их в	2	2
175	в свое	2	2
176	всякий раз	1	2
177	и с	4	2
178	другой стороны	9	2
179	указать на	1	2
180	далеко не	2	2
181	слова не	3	2
182	не подлежит	3	2
183	заключает в	1	2
184	подобно тому	2	2
185	при котором	1	2
186	о чем	1	2
187	которая в	2	2
188	что касается	1	1
189	различные формы	1	1
190	однако это	1	1
191	и между	6	1
192	но прежде	1	1
193	ребенка мы	3	1
194	возникает в	4	1
195	ему в	1	1
196	так сказать	1	1
197	одном и	1	1
198	слово в	6	1
199	вплоть до	1	1
200	различие между	3	1
201	возникает из	2	1
202	не имеют	3	1
203	не могут	3	1
204	тенденция развития	1	1
205	не есть	2	1
206	к выводу	2	1
207	случае не	2	1
208	же в	1	1
209	хотя и	1	1
210	тем как	3	1
211	и их	1	1
212	мы его	2	1
213	которая и	1	1
214	к одному	6	1
215	утверждения что	1	1
216	слова и	5	1
217	постепенное отмирание	1	1
218	следует ли	1	1
219	на деле	3	1
220	на две	1	1
221	на язык	1	1
222	в которой	3	1
223	к самому	1	1
224	же самого	2	1
