N	2gram	Berdyaev_V_1	Tragedij
1	и в	16	18
2	в этом	4	9
3	не только	2	8
4	и с	1	7
5	и на	1	7
6	может быть	1	7
7	как бы	5	7
8	и не	20	7
9	но в	3	6
10	в образе	4	6
11	что он	4	6
12	у него	1	6
13	то же	1	5
14	все же	1	5
15	что это	1	5
16	это не	2	5
17	как и	4	5
18	так и	4	5
19	это очень	1	5
20	к жизни	1	5
21	он всегда	1	4
22	я не	1	4
23	еще не	8	4
24	в целом	1	4
25	в этой	1	4
26	в нем	4	4
27	том что	2	4
28	что я	3	4
29	и что	3	4
30	но и	5	4
31	прежде всего	2	4
32	так же	1	4
33	но это	3	4
34	все это	5	4
35	что в	3	4
36	и все	4	4
37	то что	9	4
38	к людям	6	3
39	в мире	5	3
40	как в	1	3
41	в своем	1	3
42	все эти	3	3
43	то есть	1	3
44	должно быть	3	3
45	о чем	1	3
46	и сам	2	3
47	с ним	2	3
48	к нему	1	3
49	в его	4	3
50	один из	2	3
51	уже в	1	3
52	для него	2	3
53	смысл жизни	2	3
54	в конце	3	3
55	как это	1	3
56	если б	1	2
57	ивана карамазова	2	2
58	и до	1	2
59	и за	2	2
60	никогда не	3	2
61	и то	2	2
62	он был	1	2
63	не был	1	2
64	с его	3	2
65	ее к	1	2
66	отношение к	1	2
67	не просто	1	2
68	и я	4	2
69	говорит что	1	2
70	в самом	1	2
71	бы и	3	2
72	то и	1	2
73	зла в	1	2
74	по словам	1	2
75	но все	1	2
76	что все	4	2
77	в глазах	1	2
78	ни в	3	2
79	с тем	2	2
80	любви и	1	2
81	вопрос о	1	2
82	не в	3	2
83	раз и	1	2
84	одна из	2	2
85	не имеет	3	2
86	в русском	1	2
87	не могут	2	2
88	к тому	3	2
89	и это	2	2
90	в ее	1	2
91	ничего не	1	2
92	теперь и	1	2
93	что и	3	2
94	и великий	1	2
95	в том	3	2
96	и ее	1	2
97	уже не	2	2
98	в виде	1	2
99	не так	2	2
100	в одном	1	2
101	не случайно	1	2
102	тем что	2	2
103	говорит о	1	2
104	ничем не	1	2
105	ненависть к	1	2
106	в силах	4	2
107	потому что	4	2
108	личности и	3	2
109	эта новая	1	1
110	а между	2	1
111	и т	2	1
112	человека и	6	1
113	и есть	4	1
114	должна быть	3	1
115	имя его	1	1
116	и могут	1	1
117	что уже	1	1
118	и новые	2	1
119	на себя	5	1
120	вместо того	2	1
121	веке в	1	1
122	средство для	1	1
123	в виду	1	1
124	в ней	4	1
125	в чем	3	1
126	во всех	3	1
127	но не	2	1
128	отказ от	1	1
129	но как	1	1
130	и ненависти	1	1
131	тогда как	1	1
132	такой силой	1	1
133	это самое	1	1
134	в истории	8	1
135	материалом для	2	1
136	своей и	1	1
137	за гробом	1	1
138	не любят	2	1
139	со злом	1	1
140	и хотя	1	1
141	со своей	1	1
142	в которой	1	1
143	это тот	1	1
144	жизнь как	1	1
145	и если	1	1
146	это право	1	1
147	перестает быть	1	1
148	чем у	1	1
149	не к	2	1
150	и тайна	1	1
151	так часто	1	1
152	теперь еще	1	1
153	этом мире	1	1
154	и по	1	1
155	на этом	1	1
156	за то	3	1
157	да неужто	1	1
158	конечно в	1	1
159	обратился к	1	1
160	ними как	1	1
161	мечту о	1	1
162	лишь в	3	1
163	мира сего	4	1
164	против бога	4	1
165	в мистический	1	1
166	лишь на	1	1
