N	2gram	Losev_Prob_1	Psycholo
1	то что	42	32
2	и в	32	31
3	в том	9	30
4	и т	11	26
5	то есть	33	26
6	что в	12	23
7	может быть	14	22
8	таким образом	6	20
9	при помощи	13	20
10	при этом	6	19
11	ясно что	3	19
12	так как	11	18
13	художественного произведения	1	17
14	не может	8	17
15	как и	3	16
16	том что	12	16
17	т п	1	16
18	и не	31	16
19	точки зрения	3	15
20	искусства и	3	15
21	только в	7	14
22	не только	17	13
23	а не	15	13
24	мы не	2	12
25	если мы	11	12
26	так же	9	12
27	в этом	19	12
28	в самом	6	11
29	не в	4	11
30	в области	2	11
31	могут быть	2	11
32	в сущности	2	10
33	на то	8	10
34	того что	7	10
35	художественное произведение	1	10
36	потому что	16	10
37	самом деле	6	9
38	по себе	15	9
39	ни в	7	9
40	как в	4	9
41	показать что	1	8
42	т д	10	8
43	и что	9	8
44	никогда не	7	8
45	что мы	13	8
46	вместе с	2	8
47	все это	7	8
48	во всяком	7	8
49	только тогда	1	7
50	том чтобы	1	7
51	заключается в	1	7
52	сказать что	13	7
53	того чтобы	9	7
54	и его	3	7
55	о том	11	7
56	есть в	5	7
57	тому как	2	7
58	что он	7	7
59	что это	3	6
60	отнюдь не	10	6
61	из этих	2	6
62	что она	5	6
63	для того	8	6
64	было бы	8	6
65	если бы	4	6
66	в его	6	6
67	всяком случае	3	6
68	вовсе не	35	6
69	и даже	11	6
70	а в	4	6
71	и есть	6	5
72	то же	10	5
73	время как	1	5
74	х годов	1	5
75	в ее	3	5
76	подобно тому	2	5
77	показывает что	1	5
78	несмотря на	3	5
79	оказывается что	2	5
80	искусства не	1	5
81	она не	2	5
82	в то	6	5
83	тогда когда	1	5
84	в процессе	1	5
85	как будто	3	5
86	не является	5	5
87	утверждать что	1	5
88	то время	1	5
89	для нас	5	5
90	с другой	3	5
91	мы видим	2	5
92	так что	6	5
93	совершенно не	6	5
94	это есть	9	5
95	как бы	14	5
96	все же	1	5
97	и для	4	5
98	для выражения	1	5
99	и все	7	5
100	говорит что	1	5
101	другой стороны	3	5
102	же как	2	4
103	в котором	5	4
104	мы имеем	2	4
105	в которой	2	4
106	в виду	6	4
107	со всеми	2	4
108	в себе	15	4
109	и если	6	4
110	по существу	2	4
111	в совершенно	1	4
112	что я	1	4
