N	2gram	Nazirov_Vr_1	Literetu
1	не только	9	24
2	при этом	4	19
3	в качестве	1	17
4	но и	7	17
5	в том	3	16
6	в частности	1	15
7	том что	3	14
8	в году	18	13
9	тогда как	2	13
10	может быть	4	13
11	и не	5	12
12	в этом	8	12
13	в своем	3	11
14	своего рода	1	11
15	прежде всего	1	11
16	в русской	3	10
17	то что	7	10
18	в целом	1	8
19	и в	8	8
20	я не	3	7
21	как бы	4	7
22	в себе	2	7
23	не менее	2	7
24	в его	3	7
25	уже не	2	7
26	и я	1	6
27	как и	6	6
28	точки зрения	2	6
29	и сам	1	6
30	того что	1	6
31	связи с	3	6
32	в жизни	1	6
33	себя в	1	6
34	одним из	3	5
35	то же	5	5
36	как в	1	5
37	в то	5	5
38	а также	2	5
39	же время	5	5
40	русской литературе	3	5
41	же в	2	5
42	что он	4	5
43	уже в	4	5
44	не может	2	5
45	с его	3	5
46	тем самым	1	5
47	в своей	2	4
48	еще не	2	4
49	столь же	2	4
50	но не	1	4
51	в этой	2	4
52	все же	6	4
53	по преимуществу	1	4
54	в силу	1	4
55	в уме	1	4
56	и его	3	4
57	никогда не	2	4
58	так и	1	4
59	еще в	1	4
60	из них	2	4
61	в конце	3	4
62	друг друга	1	4
63	как раз	2	4
64	и т.п	2	4
65	о себе	3	4
66	в связи	3	4
67	это не	4	4
68	в своих	4	4
69	и есть	1	3
70	также и	1	3
71	в самом	1	3
72	таким образом	2	3
73	той же	1	3
74	его в	3	3
75	в душе	1	3
76	далеко не	3	3
77	он и	1	3
78	несмотря на	4	3
79	не мог	2	3
80	в их	1	3
81	но в	6	3
82	том же	2	3
83	одна из	2	3
84	к себе	2	3
85	ли не	1	3
86	в виду	4	3
87	по своей	1	3
88	один из	1	3
89	потому что	1	3
90	у него	5	3
91	и даже	6	3
92	с другой	1	3
93	не было	5	3
94	да и	1	3
95	жизни и	1	3
96	что в	7	3
97	а в	2	3
98	во всяком	1	3
99	человека и	1	2
100	того же	1	2
101	и то	2	2
102	е годы	1	2
103	к своей	1	2
104	х годов	4	2
105	как правило	1	2
106	то он	1	2
107	в е	1	2
108	отнюдь не	2	2
109	тому же	1	2
110	во многих	1	2
111	как он	1	2
112	в нем	6	2
113	в нашей	2	2
114	же это	1	2
115	нашего времени	2	2
116	самим собой	1	2
117	было бы	1	2
118	в москве	1	2
119	всяком случае	1	2
120	с точки	2	2
121	в авторском	1	2
122	что я	2	2
123	войне и	1	2
124	в россии	5	2
125	тем не	1	2
126	однако в	1	2
127	раз и	1	2
128	вплоть до	1	2
129	этом отношении	1	2
130	могут быть	1	2
131	у достоевского	4	2
132	но при	1	2
133	роль в	1	2
134	к смерти	1	2
135	в мире	2	2
136	имеется в	1	2
137	о том	4	2
138	не могло	1	2
139	между тем	5	2
140	что для	1	2
141	для него	2	2
142	от сознания	2	2
143	тем что	3	2
144	этого не	1	2
145	одну из	1	2
146	нет ничего	1	2
147	автора в	1	2
148	не любил	1	2
149	это как	1	2
150	тем более	2	2
151	не есть	1	2
152	о своем	1	2
153	на это	2	2
154	которых не	1	1
155	этого романа	1	1
156	как известно	1	1
157	и наказания	2	1
158	же как	2	1
159	три строки	1	1
160	он весьма	1	1
161	идет о	1	1
162	достоевского в	7	1
163	свое место	1	1
164	и этот	1	1
165	преступления и	1	1
166	издания мы	1	1
167	в полной	1	1
168	ему в	1	1
169	и он	2	1
170	это время	1	1
171	достоевского с	9	1
172	он был	3	1
173	он сам	2	1
174	предполагать что	1	1
175	в чем	3	1
176	у чехова	1	1
177	но как	2	1
178	в сторону	1	1
179	ответ на	2	1
180	отношение к	2	1
181	тут же	1	1
182	не просто	1	1
183	я только	1	1
184	что они	1	1
185	человеческого достоинства	1	1
186	первый взгляд	1	1
187	его на	2	1
188	для всех	1	1
189	как к	1	1
190	сам же	1	1
191	как нам	1	1
192	персонажей достоевского	1	1
193	и как	3	1
194	них он	1	1
195	россии не	1	1
196	то в	1	1
197	что к	2	1
198	на то	3	1
199	он не	3	1
200	от которого	1	1
201	которой не	1	1
202	ключ к	1	1
203	едва ли	1	1
204	в начале	6	1
205	прочим и	1	1
206	уже говорилось	1	1
207	в плане	1	1
208	целого ряда	1	1
209	человека в	3	1
210	в одну	2	1
211	об этой	2	1
212	и с	6	1
213	а их	1	1
214	это было	1	1
215	в глазах	2	1
216	в итоге	1	1
217	исторического момента	1	1
218	из первых	1	1
219	периоды его	1	1
220	в них	2	1
221	человек который	1	1
222	соответствии с	1	1
223	в ее	1	1
224	а за	1	1
225	всю жизнь	1	1
226	не всегда	1	1
227	и уже	3	1
228	такой же	1	1
229	одного и	1	1
230	на первый	2	1
231	в эту	2	1
232	в этих	1	1
233	во второй	1	1
234	вот она	1	1
235	перед сном	1	1
236	на свою	1	1
237	году когда	1	1
238	то было	1	1
239	в условиях	1	1
240	этого в	1	1
241	не писал	1	1
242	тот кто	1	1
243	одном из	1	1
244	в поэме	1	1
245	права на	2	1
246	по крайней	1	1
247	не могли	1	1
248	для россии	1	1
249	а вот	1	1
250	и достоевского	9	1
251	что есть	3	1
252	а от	1	1
253	нет необходимости	1	1
254	на три	1	1
255	человечества и	1	1
256	как о	1	1
257	не имеет	1	1
258	во время	2	1
259	говорить о	1	1
260	как новый	1	1
261	лишнего человека	8	1
262	и мире	1	1
263	другой стороны	1	1
264	для нас	4	1
265	о нем	6	1
266	в каком	1	1
267	в стиле	1	1
268	вот в	1	1
269	в момент	2	1
270	в среде	2	1
271	отличается от	1	1
272	ничего общего	1	1
273	году в	2	1
274	из их	1	1
275	свою очередь	1	1
276	и от	1	1
277	россии в	2	1
278	так в	2	1
279	на нее	1	1
280	собой в	1	1
281	быть может	1	1
282	и эстетический	1	1
283	другой не	1	1
284	не был	1	1
285	году и	2	1
286	и т.д	1	1
287	второй половине	1	1
288	в будущее	1	1
289	и что	8	1
290	его жизни	1	1
291	затем в	1	1
292	на основе	2	1
293	все в	1	1
294	к нему	1	1
295	во всех	1	1
296	в полтаве	1	1
297	от них	1	1
298	и во	3	1
299	во всей	1	1
300	что же	1	1
301	крайней мере	1	1
302	вслед за	1	1
303	достоевского это	1	1
304	более что	1	1
305	в литературе	1	1
306	в литературу	1	1
307	литературе и	1	1
308	только при	1	1
309	тогда же	1	1
310	и у	3	1
311	пока не	1	1
312	в котором	6	1
313	в одном	1	1
314	не затрагивает	1	1
315	никто не	1	1
316	своих собственных	1	1
317	отношении к	1	1
318	никого не	1	1
319	т.п ему	1	1
320	из двух	1	1
321	нужно было	1	1
322	до сих	1	1
323	именно в	1	1
324	а с	2	1
325	с героями	1	1
326	записки из	2	1
327	в соответствии	1	1
328	до конца	1	1
329	более того	1	1
330	в рассказе	1	1
331	сколько в	1	1
332	человек в	1	1
333	только от	1	1
334	мы знаем	2	1
335	за обедом	1	1
336	него в	1	1
337	эти слова	3	1
338	годов в	1	1
339	по праву	1	1
340	он уже	1	1
341	в особенности	1	1
342	не знал	1	1
343	в той	2	1
344	сидя на	1	1
345	в ответ	1	1
346	и такую	1	1
347	о князе	3	1
348	в первой	1	1
349	романе достоевского	1	1
350	традиции к	1	1
351	ко мне	2	1
352	тех пор	1	1
353	в это	2	1
354	с ее	1	1
355	и о	3	1
356	сих пор	1	1
357	он называл	1	1
358	этими тремя	1	1
359	между прочим	1	1
360	имел в	3	1
361	романа с	1	1
362	но для	1	1
363	мотив получает	1	1
364	из которых	1	1
365	уже на	1	1
366	наполеона в	1	1
367	и другими	1	1
368	и все	7	1
369	скорее всего	1	1
370	у которого	1	1
371	но зато	1	1
372	года а	1	1
373	только что	1	1
374	в войне	1	1
375	могли быть	2	1
376	целый ряд	4	1
377	в свою	2	1
378	в романе	6	1
379	только как	1	1
380	из этого	1	1
381	к этой	1	1
382	вместе с	2	1
383	он лишь	1	1
384	к этому	3	1
385	все что	1	1
386	они не	1	1
