N	3gram	Vygotskiy__2	Poddanst
1	в том что	21	4
2	с точки зрения	18	3
3	сами по себе	1	3
4	с одной стороны	7	3
5	в том числе	3	2
6	одной стороны и	2	2
7	заключается в том	7	2
8	том что в	2	1
9	мы видим в	2	1
10	что в этом	1	1
11	о котором говорит	1	1
12	более или менее	2	1
13	в этом смысле	2	1
14	к этой последней	1	1
15	или хотя бы	1	1
16	и в качестве	1	1
17	что с точки	1	1
18	тот или иной	1	1
19	мы не будем	1	1
20	хотя бы и	2	1
21	в отличие от	3	1
22	в собственном смысле	3	1
23	за то что	1	1
24	где бы ни	1	1
25	и то что	1	1
26	и в частности	1	1
27	в применении к	1	1
28	так же как	1	1
29	там где он	1	1
30	если бы мы	2	1
31	если мы не	1	1
32	по сравнению с	5	1
33	не в том	1	1
34	во всяком случае	6	1
35	с другой стороны	1	1
36	не может быть	6	1
37	в борьбе с	1	1
38	само по себе	2	1
39	и теперь в	1	1
40	и тем самым	1	1
41	и тем более	1	1
42	именно потому что	1	1
43	вопрос об отношении	1	1
44	в частности в	1	1
45	как одна из	1	1
46	друг с другом	2	1
47	в известном смысле	1	1
48	для того чтобы	10	1
49	в отрыве от	1	1
50	том числе и	3	1
