N	3gram	Vinokur_St_3	NovoeSre
1	не может быть	5	4
2	в наше время	1	3
3	в этом смысле	4	2
4	он не может	1	2
5	вместе с тем	1	2
6	с одной стороны	2	2
7	с другой стороны	4	2
8	он не имеет	1	2
9	вопрос о том	1	2
10	это связано с	3	1
11	я думаю что	1	1
12	а не человек	1	1
13	а не в	1	1
14	на протяжении всей	1	1
15	то время как	4	1
16	не было и	1	1
17	до сих пор	2	1
18	для себя и	1	1
19	в эту эпоху	2	1
20	смысле в каком	1	1
21	но и в	2	1
22	не знает что	1	1
23	можно было бы	1	1
24	и не в	2	1
25	к жизни и	1	1
26	том смысле в	1	1
27	в том чтобы	2	1
28	не только в	3	1
29	к вопросу о	1	1
30	в известном смысле	1	1
31	в такой же	1	1
32	не в том	3	1
33	то что он	1	1
34	во всяком случае	4	1
35	то что совершается	1	1
36	о том что	4	1
37	в то время	4	1
38	то что в	1	1
39	и пр в	2	1
40	что совершается в	1	1
41	место в жизни	1	1
42	чтобы понять смысл	1	1
43	в том смысле	2	1
44	в том что	11	1
45	начала xix века	1	1
