N	3gram	Propp_Isto_7	Narrotol
1	в том что	4	8
2	в данном случае	3	6
3	не только в	5	6
4	по отношению к	1	5
5	с одной стороны	4	5
6	состоит в том	1	4
7	о том что	5	4
8	тем не менее	4	4
9	к тому что	1	3
10	хотя и не	1	2
11	с точки зрения	1	2
12	в ответ на	3	2
13	но и в	2	2
14	и т п	1	2
15	точно так же	2	2
16	имеем дело с	1	2
17	к себе и	2	2
18	так же как	4	2
19	а в том	2	2
20	мысль о том	1	2
21	не может быть	3	2
22	на том свете	1	2
23	тогда как в	1	2
24	на то чтобы	2	2
25	таким образом что	1	1
26	на том что	1	1
27	в которой он	1	1
28	более или менее	1	1
29	начинается с того	3	1
30	в самом деле	1	1
31	никак не может	1	1
32	дело не только	1	1
33	то же самое	1	1
34	в зависимости от	1	1
35	не входит в	1	1
36	и дело не	1	1
37	можно было бы	1	1
38	как бы от	1	1
39	на этот вопрос	2	1
40	и здесь мы	2	1
41	что он может	1	1
42	до сих пор	2	1
43	то время как	2	1
44	здесь мы имеем	2	1
45	в противоречие с	1	1
46	на первый взгляд	4	1
47	в связи с	1	1
48	то что он	1	1
49	и что в	1	1
50	ответ на этот	1	1
51	что у него	4	1
52	данном случае в	1	1
53	и в других	2	1
54	прямо или косвенно	1	1
55	и когда он	1	1
56	этой точки зрения	3	1
57	потому что я	1	1
58	но с другой	1	1
59	в то время	2	1
60	с этой точки	3	1
61	так и в	2	1
62	у него есть	2	1
63	не в его	1	1
64	с того что	3	1
65	данном случае это	1	1
66	по его мнению	1	1
67	с этой стороны	3	1
68	все же далеко	1	1
69	в большинстве случаев	1	1
70	от солнца и	1	1
