N	3gram	Potebnia_M_1	RusskieA
1	в том что	13	15
2	и т д	4	9
3	о том что	1	4
4	к тому что	2	4
5	в связи с	1	4
6	с точки зрения	3	3
7	тем не менее	6	3
8	мы не можем	1	3
9	но это не	1	2
10	но тем не	3	2
11	во многих случаях	1	2
12	не что иное	2	2
13	в свою очередь	4	2
14	что иное как	2	2
15	но все же	1	2
16	и потому что	2	2
17	привело к тому	1	2
18	после того как	1	2
19	с тем и	1	2
20	не только для	2	1
21	подобно тому как	3	1
22	и не позже	1	1
23	всяком случае не	1	1
24	не потому что	1	1
25	в таком случае	2	1
26	можно думать что	1	1
27	в одном из	1	1
28	в собственном смысле	1	1
29	но и по	1	1
30	не только потому	1	1
31	вопрос о том	1	1
32	точно так же	1	1
33	только тогда когда	4	1
34	в одном и	2	1
35	так как в	2	1
36	там же с	7	1
37	но и потому	1	1
38	мы увидим что	3	1
39	а следовательно и	1	1
40	при этом не	1	1
41	и в этом	6	1
42	как и в	2	1
43	несмотря на все	1	1
44	и в том	3	1
45	ни в одном	1	1
46	и т п	2	1
47	в противном случае	3	1
48	на то что	1	1
49	что они были	1	1
50	в г д	2	1
51	что и в	3	1
52	но ни одна	1	1
53	и того же	2	1
54	так же как	1	1
55	человека там же	1	1
56	с тем что	3	1
57	одном и том	2	1
58	и не только	1	1
59	в то время	1	1
60	можно было бы	1	1
61	из всего этого	1	1
62	не более как	3	1
63	на самом деле	1	1
64	по отношению к	13	1
65	покажет нам что	1	1
66	в одно целое	1	1
67	потому что всякое	1	1
68	только потому что	2	1
69	во всяком случае	1	1
70	не только в	3	1
71	в этом отношении	1	1
72	может быть назван	1	1
73	как мы видим	1	1
74	всего этого видно	1	1
75	что мы имеем	1	1
76	и том же	2	1
77	мы начнем с	1	1
78	одного и того	2	1
79	существует независимо от	1	1
80	как мы видели	1	1
81	и как бы	3	1
82	не без основания	1	1
83	для нас не	1	1
84	что в истории	1	1
85	этого видно что	1	1
86	что именно эти	1	1
87	быть не может	2	1
88	на этот вопрос	2	1
89	это приводит к	1	1
90	что не только	2	1
91	потому что она	1	1
92	по его словам	2	1
