N	3gram	Tiupa_Hudo_2	EvropaiE
1	с точки зрения	2	16
2	в то же	4	15
3	то же время	4	14
4	и в то	2	8
5	с одной стороны	3	8
6	в том что	11	6
7	так же как	2	5
8	для того чтобы	3	5
9	бы то ни	1	4
10	не только в	2	4
11	и в этом	2	4
12	того или иного	2	4
13	той или иной	1	4
14	же как и	1	3
15	хотя бы и	2	3
16	в этом отношении	1	3
17	можно было бы	2	3
18	между тем в	1	3
19	можно сказать что	1	3
20	только в том	2	2
21	в данном случае	2	2
22	заключается в том	1	2
23	не более чем	2	2
24	с другой стороны	1	2
25	не может быть	3	2
26	в одном из	1	2
27	друг от друга	1	2
28	же обстоит дело	1	1
29	дело в том	1	1
30	в соответствии с	3	1
31	и не было	1	1
32	как же обстоит	1	1
33	и то и	1	1
34	том случае если	1	1
35	то и другое	1	1
36	том числе и	1	1
37	то или иное	1	1
38	чтобы ответить на	1	1
39	в значительной степени	1	1
40	а также и	1	1
41	одной из европейских	1	1
42	в том случае	1	1
43	то время как	1	1
44	а также о	1	1
45	как одно из	1	1
46	как и всякая	1	1
47	в то время	1	1
48	та или иная	1	1
49	но и для	1	1
50	именно потому что	1	1
51	настоящего времени в	1	1
52	в том числе	1	1
53	к тому что	4	1
54	к ней в	1	1
55	к тому же	2	1
56	мы стремились показать	1	1
57	и т д	2	1
58	в пределах одного	1	1
