N	2gram	Vinokur_St_3	EvropaiE
1	и в	25	37
2	в отношении	2	32
3	в пределах	1	25
4	точки зрения	7	23
5	что в	19	21
6	не только	12	18
7	с точки	4	17
8	в то	7	16
9	то же	5	15
10	хотя бы	1	15
11	отношении к	1	15
12	в своем	1	14
13	но в	5	14
14	же время	3	14
15	в качестве	4	14
16	но и	9	14
17	и не	10	14
18	в этом	24	12
19	в их	3	11
20	в области	6	11
21	в том	20	11
22	н с	1	11
23	так и	5	10
24	только в	6	9
25	прежде всего	10	9
26	все более	2	9
27	не может	7	9
28	так же	1	9
29	т е	8	9
30	в смысле	4	9
31	в ее	1	8
32	думать что	1	8
33	было бы	7	8
34	в своей	4	8
35	к тому	2	8
36	между тем	6	8
37	с одной	2	8
38	одной стороны	3	8
39	также и	1	7
40	а также	4	7
41	того что	5	7
42	так как	3	7
43	с другой	5	7
44	как и	4	7
45	между прочим	3	7
46	может быть	19	6
47	и на	6	6
48	во всех	2	6
49	на то	5	6
50	то есть	2	6
51	том что	15	6
52	того чтобы	1	6
53	вовсе не	2	6
54	для того	2	6
55	в последние	1	6
56	как бы	6	6
57	с этой	3	6
58	то что	12	6
59	но не	2	5
60	не в	6	5
61	в россии	6	5
62	и по	2	5
63	к которым	1	5
64	как мы	2	5
65	одной из	2	5
66	в виде	3	5
67	со стороны	3	5
68	от этого	1	5
69	в частности	1	5
70	в течение	4	5
71	в той	1	5
72	этой точки	1	5
73	то в	4	4
74	мы не	2	4
75	вопрос о	1	4
76	в некотором	1	4
77	в ней	4	4
78	независимо от	5	4
79	россии в	1	4
80	в самом	2	4
81	во многих	2	4
82	того или	1	4
83	несмотря на	3	4
84	чем в	1	4
85	даже в	1	4
86	не имеет	2	4
87	к ней	4	4
88	той или	1	4
89	по себе	1	4
90	можно сказать	4	4
91	тем более	3	4
92	именно в	1	4
93	или иной	2	4
94	не на	2	4
95	западной европе	1	4
96	для нас	1	4
97	сказать что	4	4
98	или иного	1	4
99	в каком	4	4
100	в применении	1	3
101	идет о	1	3
102	из всех	1	3
103	на себя	1	3
104	и со	1	3
105	того же	2	3
106	россии и	2	3
107	в общем	4	3
108	как в	6	3
109	когда он	1	3
110	и к	4	3
111	всего лишь	1	3
112	представляет собой	1	3
113	в известном	1	3
114	но на	1	3
115	не дает	1	3
116	этом смысле	4	3
117	и тем	4	3
118	в них	5	3
119	с тем	4	3
120	мы видели	1	3
121	можно считать	1	3
122	и некоторые	1	3
123	в которых	2	3
124	дело в	1	3
125	никогда не	2	3
126	потому что	5	3
127	можно было	1	3
128	приближается к	1	3
129	о том	8	3
130	от них	2	3
131	место в	6	3
132	что и	1	3
133	отметить что	5	3
134	и только	2	3
135	известном смысле	1	3
136	европе и	1	3
137	всяком случае	4	3
138	не из	1	3
139	в данной	1	3
140	из них	1	3
141	очевидно что	1	3
142	в известной	1	3
143	на долю	2	3
144	тем что	19	3
145	этом отношении	4	3
146	по своим	1	3
147	в свою	2	3
148	говорит о	1	3
149	связано с	5	3
150	там где	1	3
151	ни на	2	3
152	в данном	1	3
153	применении к	1	3
154	в остальном	2	3
155	не является	3	3
156	известной степени	1	3
157	и для	4	3
158	в результате	2	3
159	ее в	2	3
160	как на	6	3
161	во всяком	4	3
162	для этих	1	2
163	и то	1	2
164	по преимуществу	1	2
165	что эти	4	2
166	должна быть	1	2
167	и этот	1	2
168	есть не	1	2
169	что если	2	2
170	культуры из	1	2
171	между собой	1	2
172	а тем	1	2
173	но как	2	2
174	точка зрения	4	2
175	в сторону	1	2
176	которые они	1	2
177	в истории	1	2
178	с этим	7	2
179	европейской истории	1	2
180	целый ряд	1	2
181	и как	1	2
182	что это	16	2
183	большей части	1	2
184	в этой	14	2
185	и если	3	2
186	как оно	1	2
187	он не	5	2
188	и еще	1	2
189	прочим и	1	2
190	какой бы	1	2
191	таким образом	10	2
192	это значит	1	2
193	и с	4	2
194	заключается в	2	2
195	нас к	2	2
196	в своих	8	2
197	в развитии	2	2
198	такой же	2	2
199	и того	1	2
200	в эту	4	2
201	в этих	11	2
202	в котором	5	2
203	не к	1	2
204	одном из	1	2
205	и более	3	2
206	тогда когда	2	2
207	на язык	3	2
208	по своей	1	2
209	к той	1	2
210	в порядке	1	2
211	могут быть	2	2
212	всего в	4	2
213	но также	2	2
214	только одно	1	2
215	утверждать что	2	2
216	которого мы	1	2
217	свою очередь	1	2
218	говоря уже	1	2
219	на основе	2	2
220	во многом	2	2
221	на месте	1	2
222	если бы	4	2
223	в содержании	1	2
224	и что	3	2
225	в значительной	1	2
226	и во	2	2
227	к нему	4	2
228	во втором	2	2
229	в его	12	2
230	подходит к	1	2
231	во всей	1	2
232	также в	1	2
233	западная европа	1	2
234	же к	2	2
235	россии что	1	2
236	в какой	3	2
237	есть в	2	2
238	не можем	1	2
239	если в	2	2
240	при помощи	2	2
241	и других	2	2
242	бы совершенно	3	2
243	в одном	1	2
244	заметить что	2	2
245	в других	1	2
246	влияние на	1	2
247	а именно	1	2
248	в некоторых	3	2
249	а не	5	2
250	не означает	1	2
251	долгое время	1	2
252	нужно иметь	1	2
253	что все	3	2
254	начиная с	2	2
255	вместе с	2	2
256	и xix	1	2
257	наряду с	1	2
258	в европейской	2	2
259	что же	1	2
260	ко всему	1	2
261	совершенно очевидно	1	2
262	с большой	1	2
263	или в	2	2
264	и все	1	2
265	бы в	1	2
266	и наконец	3	2
267	мы видим	4	2
268	а в	6	2
269	не говоря	1	2
270	другой стороны	5	2
271	г по	1	2
272	россия не	1	2
273	жизни и	1	2
274	и эта	1	2
275	как известно	1	1
276	ту же	1	1
277	и т	8	1
278	например в	4	1
279	до него	1	1
280	связана с	4	1
281	мы здесь	1	1
282	и это	5	1
283	тех же	1	1
284	перед лицом	1	1
285	в чисто	2	1
286	движением и	1	1
287	и до	1	1
288	речь идет	2	1
289	на западе	1	1
290	той же	2	1
291	смотреть на	1	1
292	например то	1	1
293	он считает	2	1
294	имеет шансов	1	1
295	с западной	1	1
296	бы сделать	1	1
297	ответить на	1	1
298	почти все	1	1
299	время как	4	1
300	говорить о	3	1
301	то это	1	1
302	не сразу	2	1
303	когда мы	1	1
304	в каждой	2	1
305	случае из	1	1
306	которое дает	1	1
307	быть в	1	1
308	что его	2	1
309	истории в	1	1
310	с его	3	1
311	тем как	2	1
312	то мы	1	1
313	мы будем	1	1
314	в новом	2	1
315	такова напр	1	1
316	за пределы	1	1
317	и небольшой	1	1
318	к сожалению	2	1
319	относится к	4	1
320	которые не	1	1
321	как по	1	1
322	в центре	4	1
323	в одной	2	1
324	в рамках	2	1
325	что нет	1	1
326	все же	4	1
327	однако не	1	1
328	кроме того	3	1
329	смысле этого	1	1
330	что по	3	1
331	не являются	1	1
332	его к	2	1
333	более или	1	1
334	значения как	1	1
335	это есть	4	1
336	нужно как	1	1
337	которые в	2	1
338	близости к	1	1
339	элементов в	1	1
340	и тот	2	1
341	тем некоторые	1	1
342	на его	4	1
343	в свет	1	1
344	т д	2	1
345	и когда	1	1
346	состоит в	4	1
347	не как	2	1
348	средства которые	1	1
349	то как	1	1
350	несколько ниже	1	1
351	на этом	3	1
352	находит себе	1	1
353	это один	1	1
354	ни для	1	1
355	но все	2	1
356	от нее	3	1
357	тем с	1	1
358	как они	1	1
359	а затем	1	1
360	в нем	1	1
361	же касается	1	1
362	поэзии и	1	1
363	лишь в	4	1
364	которая как	1	1
365	отражение в	1	1
366	в жизни	4	1
367	в ином	1	1
368	рассказывает что	1	1
369	о которых	3	1
370	рядом с	1	1
371	соответствии с	1	1
372	во внимание	1	1
373	здесь можно	1	1
374	или из	3	1
375	жизни но	2	1
376	их на	1	1
377	или менее	1	1
378	рассматривать с	1	1
379	как некую	1	1
380	в такой	2	1
381	сам и	1	1
382	если можно	1	1
383	то его	1	1
384	от себя	1	1
385	на такие	1	1
386	творчества и	1	1
387	друг другу	1	1
388	в современном	1	1
389	том же	1	1
390	отношении которого	1	1
391	для этого	2	1
392	с так	1	1
393	тому что	3	1
394	западной европой	2	1
395	если и	2	1
396	некоторых случаях	1	1
397	все эти	3	1
398	не менее	2	1
399	на рубеже	1	1
400	вплоть до	1	1
401	но они	2	1
402	что эта	2	1
403	с теми	1	1
404	считает что	2	1
405	принадлежат к	1	1
406	одна из	2	1
407	чтобы в	2	1
408	где в	1	1
409	было у	2	1
410	можно судить	1	1
411	он мог	1	1
412	области где	1	1
413	казалось бы	1	1
414	в разных	1	1
415	бы неправильно	1	1
416	в самой	1	1
417	можно усмотреть	2	1
418	к определенному	1	1
419	в русском	2	1
420	такая же	1	1
421	на себе	2	1
422	своего существования	1	1
423	и его	3	1
424	каждой из	1	1
425	связи с	3	1
426	е не	1	1
427	у нас	4	1
428	они обращены	1	1
429	о периоде	1	1
