N	2gram	Medvedev_V_1	BTomashe
1	у нас	2	3
2	и не	19	2
3	в ней	2	2
4	можно было	2	2
5	видеть в	2	2
6	все это	10	2
7	говорить о	2	1
8	со всем	1	1
9	во всяком	1	1
10	самом понятии	2	1
11	с другой	11	1
12	о свободе	1	1
13	не все	1	1
14	вопрос о	1	1
15	является только	1	1
16	совершенно не	1	1
17	в своей	4	1
18	художественного произведения	6	1
19	по крайней	2	1
20	между ними	3	1
21	всяком случае	1	1
22	в области	2	1
23	и ее	4	1
24	не вполне	2	1
25	и в	26	1
26	будто бы	2	1
27	так и	5	1
28	то как	1	1
29	художественном произведении	4	1
30	за пределы	1	1
31	крайней мере	2	1
32	не о	2	1
33	их что	1	1
34	работа по	1	1
35	также что	2	1
36	об этом	9	1
37	по меньшей	1	1
38	что все	3	1
39	же не	1	1
40	короче говоря	1	1
41	не было	7	1
42	и во	1	1
43	кроме того	1	1
44	было бы	7	1
45	отнюдь не	3	1
46	не признать	1	1
47	одной из	1	1
48	далеко не	2	1
49	и потому	2	1
50	в пределах	5	1
51	в значительной	3	1
52	никак не	1	1
53	не присуща	1	1
54	все же	5	1
55	имеющихся у	1	1
56	его не	3	1
57	в книге	2	1
58	забывать что	1	1
59	говорить не	3	1
60	прежде всего	13	1
61	моментом в	1	1
62	творчества и	1	1
63	свести к	1	1
64	что в	10	1
65	таким образом	31	1
66	к ней	1	1
67	а о	2	1
68	еще не	2	1
69	меньшей мере	1	1
70	как будто	1	1
71	не только	25	1
72	в данном	1	1
73	не следует	8	1
74	другой стороны	8	1
75	нельзя не	1	1
76	а не	7	1
