N	3gram	Tiupa_Narr_1	Stilisti
1	в то же	4	9
2	в зависимости от	2	7
3	то же время	4	7
4	для того чтобы	3	7
5	с точки зрения	1	5
6	и то же	2	4
7	то же самое	2	4
8	одно и то	2	4
9	то что мы	1	4
10	в свою очередь	2	4
11	той или иной	4	4
12	на самом деле	1	3
13	в конце фразы	1	3
14	в той же	1	3
15	но и в	2	3
16	заключает в себе	2	3
17	не только в	6	3
18	но для того	1	3
19	и тем самым	4	3
20	но все же	1	3
21	и т.п и	2	3
22	как мы видели	1	3
23	и не только	1	2
24	и точек зрения	1	2
25	и в то	1	2
26	как мы увидим	1	2
27	в этом отношении	3	2
28	только потому что	1	2
29	в значительной степени	1	2
30	мы не знаем	1	2
31	но при этом	1	2
32	то же слово	1	2
33	не может быть	4	2
34	и как бы	1	2
35	связи с этим	1	2
36	о том что	2	2
37	что иное как	1	2
38	можно сказать что	2	2
39	в связи с	2	2
40	к тому что	1	2
41	и того же	1	1
42	и т.п как	1	1
43	то хотя бы	1	1
44	в хх веке	1	1
45	по отношению к	3	1
46	более или менее	1	1
47	в самом деле	2	1
48	не может обойтись	1	1
49	до сих пор	2	1
50	как бы из	1	1
51	и не мог	1	1
52	в этой ситуации	1	1
53	он почувствовал что	1	1
54	и та же	1	1
55	самое происходит и	1	1
56	в нашем сознании	1	1
57	и нельзя было	1	1
58	связанных между собой	1	1
59	по крайней мере	1	1
60	и в жизни	1	1
61	все что было	1	1
62	же самое происходит	1	1
63	не смог бы	1	1
64	тем не менее	3	1
65	по большей части	3	1
66	в нашем случае	1	1
67	в качестве одного	1	1
68	тем же самым	1	1
69	один из этих	1	1
70	одна и та	1	1
71	вследствие того что	1	1
72	могло бы стать	1	1
73	содержит в себе	1	1
74	внешний облик героя	1	1
75	и все же	2	1
76	бросается в глаза	1	1
77	мы не можем	1	1
78	само по себе	1	1
79	как и всякий	1	1
80	в конечном счете	1	1
81	и не может	1	1
82	не только на	2	1
83	и т.п это	1	1
84	в русской литературе	1	1
85	обмен репликами со	1	1
86	с другой стороны	1	1
87	ни единого слова	1	1
88	одного и того	1	1
89	уже не только	1	1
90	той же мере	1	1
91	в исторической жизни	1	1
92	мы уже знаем	1	1
93	в том что	5	1
94	перед нами не	2	1
95	как и в	1	1
