N	2gram	Voloshinov_1	BTomashe
1	и не	8	2
2	в ней	2	2
3	можно было	1	2
4	все это	4	2
5	стр и	1	2
6	говорить о	3	1
7	с другой	2	1
8	вопрос о	1	1
9	литературы как	1	1
10	в своей	4	1
11	остановиться на	1	1
12	художественного произведения	5	1
13	и о	1	1
14	в области	2	1
15	методологической позиции	2	1
16	до конца	1	1
17	и ее	2	1
18	точно и	1	1
19	о художественном	1	1
20	теоретической и	1	1
21	стр не	1	1
22	не вполне	1	1
23	в эпоху	1	1
24	и в	13	1
25	так и	3	1
26	для которой	1	1
27	за пределы	3	1
28	об этом	1	1
29	же не	1	1
30	теории литературы	1	1
31	не было	1	1
32	было бы	4	1
33	отнюдь не	1	1
34	одной из	1	1
35	поэтики и	2	1
36	далеко не	1	1
37	в пределах	3	1
38	в значительной	1	1
39	говорить об	2	1
40	и цельная	1	1
41	формалистической поэтики	1	1
42	все же	5	1
43	выходит за	1	1
44	в книге	2	1
45	и более	1	1
46	говорить не	1	1
47	прежде всего	9	1
48	свести к	1	1
49	что в	3	1
50	таким образом	6	1
51	всего в	1	1
52	выпадают из	1	1
53	еще не	1	1
54	не только	6	1
55	в данном	2	1
56	на самом	1	1
57	другой стороны	2	1
58	тем более	1	1
59	а не	2	1
