N	3gram	Propp_Isto_1	Mirosoze
1	не может быть	7	8
2	для того чтобы	1	4
3	что и в	1	4
4	что иное как	1	3
5	никогда не было	1	3
6	же как и	1	3
7	до сих пор	5	3
8	к тому что	1	3
9	так же как	2	3
10	она никогда не	1	3
11	и в этом	1	3
12	есть не что	1	3
13	не что иное	1	3
14	это означает что	1	2
15	подобно тому как	1	2
16	может быть назван	2	2
17	она не знает	1	2
18	на этом пути	1	2
19	о том что	3	2
20	по отношению к	3	2
21	после того как	1	2
22	в том что	4	2
23	мы увидим что	5	2
24	в тот момент	1	1
25	только тогда когда	1	1
26	в нем и	1	1
27	в своей книге	1	1
28	друг на друга	1	1
29	решение этого вопроса	1	1
30	но и в	2	1
31	а может быть	1	1
32	в этом отношении	1	1
33	означает что у	1	1
34	на то что	4	1
35	в значительной степени	1	1
36	его отношения к	1	1
37	а не только	1	1
38	смысле этого слова	1	1
39	и должно быть	2	1
40	что это за	3	1
41	для этого нужно	1	1
42	так как будто	1	1
43	в этом направлении	1	1
44	может быть названо	1	1
45	также в значительной	1	1
46	не дает никакой	1	1
47	но так как	1	1
48	в стороне от	1	1
49	иначе не может	1	1
50	но он не	1	1
51	хотя бы в	1	1
52	в действительности это	1	1
53	это приводит нас	1	1
54	если бы не	1	1
55	не означает что	2	1
56	нас прежде всего	1	1
57	и в нем	1	1
58	то же что	1	1
59	приводит нас к	1	1
60	что он в	1	1
61	именно потому что	1	1
