N	3gram	Bakhtin_sl_1	Dialekti
1	и т д	5	15
2	с точки зрения	8	9
3	в том что	1	9
4	по крайней мере	1	7
5	не может быть	1	6
6	то же время	12	6
7	в то же	12	6
8	для того чтобы	1	5
9	и той же	1	3
10	то или иное	1	3
11	одной и той	1	3
12	лежит в основе	1	3
13	и в этом	2	3
14	равно как и	1	2
15	и нет ничего	1	2
16	же время и	1	2
17	и в то	5	2
18	хотя бы и	3	2
19	с этой точки	1	2
20	но в то	4	2
21	этой точки зрения	1	2
22	в свою очередь	2	2
23	и в частности	1	2
24	мы видим что	1	2
25	тем не менее	1	2
26	за его пределы	1	2
27	не может не	5	1
28	прямо сказать что	1	1
29	прежде всего в	1	1
30	дело в том	1	1
31	на том же	2	1
32	в основе ее	1	1
33	и что же?	1	1
34	самом же деле	1	1
35	может быть только	2	1
36	в лучшем случае	2	1
37	рассматривать с точки	1	1
38	в зависимости от	3	1
39	не входит в	1	1
40	в отличие от	1	1
41	можно сказать что	1	1
42	нет и ничего	1	1
43	на самом же	1	1
44	рано или поздно	1	1
45	нет ничего что	1	1
46	и не в	1	1
47	в меру своей	1	1
48	и не предполагает	1	1
49	в новом свете	1	1
50	в данном случае	3	1
51	если бы мы	1	1
52	не только в	2	1
53	на своем месте	1	1
54	есть как раз	2	1
55	мы не знаем	1	1
56	это было бы	1	1
57	и все его	1	1
58	и в сущности	2	1
59	в сущности только	1	1
60	так или иначе	1	1
61	а не как	2	1
62	только так что	1	1
63	можно прямо сказать	1	1
64	его жизни и	1	1
65	в этом случае	2	1
66	о том что	1	1
67	не только не	1	1
68	в пределах одной	2	1
69	как бы ни	2	1
70	и не может	2	1
71	и прежде всего	1	1
72	включает в себя	1	1
73	с другой стороны	4	1
74	но это не	1	1
75	тех или иных	1	1
76	в отношении к	6	1
77	той или иной	9	1
78	он еще не	1	1
