N	3gram	Losev_Dial_4	Narrotol
1	в том что	9	8
2	о том что	1	6
3	в отличие от	1	5
4	не может быть	6	5
5	все те же	1	4
6	и не в	1	4
7	можно сказать что	1	4
8	в основе своей	1	4
9	той или иной	1	4
10	но все же	1	4
11	в данном случае	1	4
12	с другой стороны	1	4
13	в то же	6	3
14	то же время	6	3
15	в свою очередь	2	3
16	тем не менее	2	3
17	подобно тому как	4	2
18	так или иначе	1	2
19	перед нами не	1	2
20	что иное как	8	2
21	этой точки зрения	2	2
22	в себя и	1	2
23	не что иное	8	2
24	речь идет о	1	2
25	не только в	1	2
26	то или иное	3	2
27	в связи с	1	2
28	точно так же	2	2
29	не может не	1	2
30	не только о	1	2
31	с точки зрения	9	2
32	мы имеем дело	1	2
33	а не в	1	2
34	ту или иную	2	2
35	как и на	1	2
36	во всей его	1	1
37	это не так	1	1
38	в данный момент	2	1
39	дело прежде всего	1	1
40	его жизни и	1	1
41	в этом смысле	4	1
42	сам по себе	2	1
43	и даже не	1	1
44	в качестве одного	1	1
45	включает в себя	1	1
46	и то что	1	1
47	по себе а	1	1
48	что в этом	1	1
49	и в то	2	1
50	поскольку речь идет	1	1
51	в себе не	1	1
52	тех или иных	1	1
53	не есть само	1	1
54	иметь в виду	2	1
55	по себе не	1	1
56	из них в	1	1
57	и прежде всего	1	1
58	легко может быть	1	1
59	может и не	1	1
60	в меру того	4	1
61	мы не имеем	2	1
62	может быть только	1	1
63	и как бы	1	1
64	же как и	1	1
65	совершенно очевидно что	1	1
66	ни с чем	1	1
67	и тем более	4	1
68	может быть без	2	1
69	не могло не	1	1
70	не имеет значения	1	1
71	он не может	1	1
72	а именно с	1	1
73	что оно есть	2	1
74	есть прежде всего	3	1
75	с этой точки	2	1
76	вовсе и не	1	1
77	и при этом	1	1
78	как переход от	1	1
79	то что было	1	1
80	содержит в себе	1	1
81	некоторые из них	1	1
82	ни на что	2	1
83	прежде всего в	1	1
84	есть не что	5	1
85	только потому что	1	1
86	качестве одного из	1	1
87	не было и	1	1
88	или иное состояние	1	1
89	никогда и не	1	1
90	но это не	1	1
91	дело в том	1	1
92	как того требует	1	1
93	не входит в	1	1
94	друг от друга	1	1
95	он еще не	1	1
96	а не только	1	1
97	само по себе	4	1
98	в нем не	1	1
99	оно и не	1	1
100	а не как	1	1
101	даже если это	1	1
102	было и не	1	1
103	жизнь личности в	1	1
104	по крайней мере	7	1
