N	2gram	Bakhtin_fo_2	Narrotol
1	не только	11	32
2	может быть	7	25
3	но и	9	23
4	в качестве	3	21
5	и не	9	20
6	то есть	10	19
7	и в	46	19
8	в том	10	18
9	в этом	22	17
10	не в	9	14
11	в частности	5	14
12	том что	4	14
13	а не	4	12
14	то что	7	11
15	а в	3	11
16	точки зрения	10	10
17	не может	2	10
18	при этом	6	9
19	в мире	4	9
20	так и	7	9
21	в его	8	9
22	в себе	4	8
23	во времени	3	8
24	и т.п	2	8
25	с другой	2	8
26	не является	3	8
27	еще не	6	7
28	как в	4	7
29	все же	6	7
30	в случае	1	7
31	времени и	1	7
32	как и	8	7
33	к тому	3	7
34	и т.д	1	7
35	а также	3	7
36	с одной	2	7
37	одной стороны	1	7
38	ни для	2	7
39	с его	1	6
40	но не	5	6
41	точка зрения	3	6
42	в той	2	6
43	то в	2	6
44	на протяжении	3	6
45	в себя	2	6
46	о том	4	6
47	что он	3	6
48	именно в	2	6
49	как это	2	6
50	том числе	3	6
51	но в	10	6
52	отличие от	1	5
53	отнюдь не	4	5
54	и как	3	5
55	уже не	3	5
56	в этой	2	5
57	картины мира	2	5
58	далеко не	2	5
59	в отличие	1	5
60	по себе	2	5
61	в основе	6	5
62	и его	12	5
63	к себе	4	5
64	картина мира	2	5
65	нуждается в	1	5
66	в форме	3	5
67	себя в	1	5
68	или иной	2	5
69	мира в	3	5
70	в данном	2	5
71	можно сказать	2	5
72	и пространстве	1	5
73	данном случае	1	4
74	то же	8	4
75	здесь не	2	4
76	в нем	5	4
77	но все	1	4
78	и с	6	4
79	было бы	2	4
80	и тем	1	4
81	не мог	2	4
82	точку зрения	1	4
83	связи с	8	4
84	числе и	2	4
85	той или	1	4
86	имеет место	3	4
87	не столько	1	4
88	те же	6	4
89	же время	4	4
90	только в	11	4
91	в пространстве	5	4
92	у него	9	4
93	в особенности	6	4
94	что не	1	4
95	прежде всего	14	4
96	в рассказе	1	4
97	если не	2	4
98	как бы	10	4
99	да и	1	4
100	же в	4	4
101	сказать что	1	4
102	другой стороны	1	4
103	это и	1	3
104	в сущности	2	3
105	жизни как	2	3
106	и он	4	3
107	в ней	1	3
108	и на	7	3
109	может не	1	3
110	этого эпизода	1	3
111	в ее	1	3
112	значении этого	1	3
113	если в	2	3
114	что они	4	3
115	как говорит	1	3
116	хотя и	3	3
117	когда он	1	3
118	уже в	4	3
119	из этих	4	3
120	он не	5	3
121	особенно в	2	3
122	ни в	1	3
123	бытия в	1	3
124	в то	5	3
125	тем что	3	3
126	одна из	1	3
127	в эпизоде	7	3
128	на него	1	3
129	никогда не	6	3
130	по своей	1	3
131	этом отношении	2	3
132	могут быть	2	3
133	как мы	6	3
134	с ее	1	3
135	свою очередь	1	3
136	сводится к	1	3
137	в произведении	1	3
138	между тем	1	3
139	один из	2	3
140	из них	8	3
141	в прошлом	3	3
142	и даже	3	3
143	в свою	1	3
144	в присутствии	1	3
145	что в	5	3
146	жизни в	4	3
147	жизни и	8	3
148	ни своей	1	2
149	отношения к	4	2
150	например в	1	2
151	и потому	2	2
152	самом деле	1	2
153	идет о	1	2
154	здесь и	1	2
155	и до	2	2
156	должна быть	1	2
157	мы имеем	2	2
158	со смертью	1	2
159	говорить о	2	2
160	ему в	3	2
161	в будущем	1	2
162	имеют место	1	2
163	между собой	1	2
164	он сам	1	2
165	время в	1	2
166	но как	1	2
167	отношение к	3	2
168	нет и	3	2
169	первый взгляд	1	2
170	в своем	5	2
171	в полном	1	2
172	что по	1	2
173	не являются	1	2
174	точкой зрения	1	2
175	все эти	5	2
176	бы не	1	2
177	и тот	1	2
178	роль в	3	2
179	та же	3	2
180	с чем	1	2
181	себя и	3	2
182	ключ к	1	2
183	они в	1	2
184	состоит именно	1	2
185	не как	1	2
186	человека в	6	2
187	для своей	1	2
188	все их	1	2
189	его в	6	2
190	это не	2	2
191	несмотря на	1	2
192	жизни но	2	2
193	на первый	3	2
194	с точки	8	2
195	при всех	1	2
196	однако в	1	2
197	вплоть до	2	2
198	она не	2	2
199	себе самом	1	2
200	не имеет	1	2
201	что на	3	2
202	когда мы	1	2
203	то они	1	2
204	оно не	1	2
205	приходит к	1	2
206	более не	1	2
207	и физически	1	2
208	в организации	1	2
209	в пределах	5	2
210	на свой	1	2
211	другом и	1	2
212	было в	1	2
213	один человек	1	2
214	с человеком	1	2
215	его жизни	4	2
216	в значительной	1	2
217	времени в	7	2
218	и только	2	2
219	этом ряду	2	2
220	от всех	1	2
221	в литературе	2	2
222	и одновременно	1	2
223	дело с	1	2
224	историческом событии	1	2
225	всех его	1	2
226	и ее	1	2
227	есть в	1	2
228	каждый из	2	2
229	для него	3	2
230	сами по	2	2
231	смерти и	4	2
232	событие в	1	2
233	одну из	1	2
234	после смерти	1	2
235	и др	5	2
236	не было	3	2
237	не на	3	2
238	его как	1	2
239	точек зрения	1	2
240	наконец в	2	2
241	его по	1	2
242	о чем	3	2
243	наряду с	2	2
244	с точкой	1	2
245	по существу	5	2
246	исходя из	1	2
247	в аспекте	2	2
248	вокруг него	1	2
249	и для	9	2
250	в связи	8	2
251	в результате	1	2
252	мира и	9	2
253	которая в	1	2
254	в двух	2	2
255	и все	6	2
256	тем более	3	2
257	хотя в	1	2
258	к самому	1	2
259	своей матери	1	2
260	между ними	2	2
261	картину мира	7	2
262	совершенно не	1	2
263	в иной	2	2
264	жизни а	2	2
265	этого слова	1	2
266	так же	2	2
267	в таком	1	2
268	этой точки	1	2
269	они не	1	2
270	с природой	1	1
271	также и	4	1
272	мире это	1	1
273	того же	3	1
274	в разные	1	1
275	на самом	1	1
276	показаться что	1	1
277	опираясь на	1	1
278	и есть	2	1
279	них как	1	1
280	к сыну	1	1
281	чего не	1	1
282	доверия к	1	1
283	характерное для	2	1
284	в какой-то	1	1
285	и больше	1	1
286	видеть в	1	1
287	действительности и	1	1
288	есть не	1	1
289	бы уже	1	1
290	эпоса и	1	1
291	он как	1	1
292	одновременно в	1	1
293	роман с	1	1
294	есть нечто	1	1
