N	2gram	Medvedev_I_1	Myslijsy
1	и в	1	30
2	того что	1	18
3	что в	2	17
4	и не	2	15
5	если бы	1	12
6	а в	1	12
7	так и	1	11
8	в этом	2	10
9	для него	1	9
10	только что	1	8
11	и без	1	7
12	тем что	1	7
13	с другой	1	7
14	то и	1	6
15	по отношению	1	5
16	в них	1	5
17	очевидно что	1	5
18	есть только	1	5
19	отношению к	1	5
20	он не	2	4
21	по поводу	1	4
22	для того	1	4
23	что для	1	4
24	все это	1	4
25	другой стороны	1	4
26	говорить о	1	3
27	в целом	1	3
28	что при	1	3
29	того чтобы	1	3
30	это было	1	3
31	самого себя	2	3
32	человеке и	1	2
33	и тот	1	2
34	не дает	1	2
35	на котором	1	2
36	как о	1	2
37	от этого	1	2
38	от нее	1	2
39	и о	1	2
40	во многом	1	2
41	и с	3	2
42	и та	1	2
43	а с	1	2
44	бы в	1	2
45	жизни и	1	2
46	не остается	1	1
47	тех же	1	1
48	и со	1	1
49	того же	1	1
50	к нам	1	1
51	в художественном	1	1
52	о жизни	1	1
53	это был	1	1
54	все эти	1	1
55	его произведения	1	1
56	них не	1	1
57	его личности	1	1
58	нисколько не	1	1
59	стало быть	1	1
60	было не	1	1
61	он с	1	1
62	ничего не	2	1
63	должен быть	2	1
64	та и	1	1
65	следовательно в	1	1
66	без этого	1	1
67	себя в	1	1
68	могло бы	1	1
69	произведения и	1	1
70	только для	1	1
71	в эту	1	1
