N	4gram	Vygotskiy__3	VerxiiNi
1	в том числе и	1	4
2	и вместе с тем	2	3
3	во всяком случае не	1	3
4	с этой точки зрения	2	2
5	бы то ни было	1	2
6	совершенно так же как	1	1
7	одного и того же	4	1
8	указывает на то что	1	1
9	но тем не менее	1	1
10	с одной стороны с	1	1
11	а вместе с тем	1	1
12	состоит в том что	3	1
13	ничем не отличаются от	1	1
14	что мы знаем о	2	1
15	в связи с тем	1	1
16	ни один из этих	3	1
17	во всяком случае в	1	1
18	все более и более	1	1
19	и даже там где	1	1
20	вместе с тем и	4	1
21	одном и том же	1	1
22	все что мы знаем	2	1
