N	2gram	Bakhtin_KF_1	Analitik
1	не только	5	22
2	и в	24	18
3	как и	5	14
4	так и	2	14
5	в этом	14	14
6	но и	9	13
7	и его	17	13
8	и не	26	12
9	в качестве	2	12
10	том что	4	12
11	при этом	4	11
12	то есть	1	10
13	а в	4	10
14	как бы	9	10
15	в том	6	9
16	со стороны	7	9
17	что в	4	9
18	а не	17	9
19	может быть	45	9
20	и даже	1	8
21	с его	1	8
22	в первой	1	8
23	отношению к	22	7
24	как раз	1	7
25	но не	12	7
26	по отношению	26	7
27	во второй	1	7
28	в его	40	7
29	еще не	4	6
30	не в	12	6
31	в их	8	6
32	для него	8	6
33	к тому	1	6
34	в этой	2	6
35	он не	6	6
36	о том	3	6
37	того же	1	5
38	прежде всего	2	5
39	и т.п	1	5
40	между тем	4	5
41	лишь в	8	5
42	я в	1	5
43	никогда не	5	5
44	той же	1	5
45	уже не	7	5
46	мы имеем	5	5
47	в самом	1	5
48	что и	7	5
49	в мире	6	5
50	в результате	1	5
51	не является	1	5
52	или иной	2	5
53	в свою	3	5
54	приводит к	1	4
55	все же	5	4
56	можно сказать	1	4
57	не менее	3	4
58	тем самым	4	4
59	по себе	2	4
60	в одном	4	4
61	однако что	2	4
62	картина мира	1	4
63	и к	1	4
64	отнюдь не	6	4
65	свою очередь	1	4
66	и на	3	4
67	столь же	1	4
68	себя в	8	4
69	что он	2	4
70	и как	2	4
71	не есть	20	4
72	в своем	16	4
73	в данном	2	4
74	во втором	1	4
75	и того	2	3
76	же время	2	3
77	не будет	2	3
78	не должно	3	3
79	здесь не	3	3
80	не было	8	3
81	точки зрения	12	3
82	поскольку он	2	3
83	я и	2	3
84	мы не	3	3
85	дело не	2	3
86	как это	1	3
87	его в	5	3
88	были бы	2	3
89	вступает в	3	3
90	его как	5	3
91	в ее	16	3
92	той или	3	3
93	дело с	2	3
94	но как	5	3
95	то же	5	3
96	говорить о	2	3
97	как в	2	3
98	с ее	2	3
99	в целом	10	3
100	одного и	1	3
101	что не	3	3
102	в то	3	3
103	с этим	1	3
104	ничего не	3	3
105	к содержанию	2	3
106	едва ли	2	3
107	жизнь и	2	3
108	по поводу	1	3
109	во всем	7	3
110	только не	1	3
111	именно в	5	3
112	его не	1	3
113	все это	10	3
114	к этому	2	3
115	было бы	8	3
116	он и	2	3
117	в каждом	3	3
118	мысль о	1	3
119	все эти	10	2
120	в себе	21	2
121	когда мы	1	2
122	и здесь	7	2
123	но с	1	2
124	в значительной	1	2
125	на его	1	2
126	во всяком	1	2
127	связь с	1	2
128	входит в	3	2
129	не должен	3	2
130	могла бы	4	2
131	не может	27	2
132	и для	9	2
133	о его	1	2
134	и все	7	2
135	гораздо более	1	2
136	в жизни	2	2
137	в большинстве	1	2
138	в нем	28	2
139	там где	5	2
140	не более	1	2
141	освобождения от	1	2
142	свою жизнь	2	2
