N	2gram	Voloshinov_1	Analitik
1	в этом	10	18
2	и в	38	16
3	в частности	3	16
4	не только	27	16
5	так и	6	15
6	как и	10	14
7	и не	14	12
8	в том	2	12
9	но и	13	12
10	том что	3	12
11	в качестве	4	11
12	при этом	9	10
13	а не	6	10
14	как бы	28	10
15	и даже	3	9
16	то есть	4	9
17	лишь в	4	9
18	ничего не	8	9
19	в этой	6	9
20	и т.п	21	8
21	в целом	4	8
22	представляет собой	2	8
23	отнюдь не	10	8
24	в себе	9	7
25	то что	8	7
26	к тому	4	7
27	о том	4	7
28	говорить о	1	6
29	как это	5	6
30	в мире	2	6
31	в самом	4	6
32	и на	6	6
33	но в	5	6
34	может быть	13	6
35	с другой	1	6
36	и к	4	5
37	в сторону	1	5
38	на себя	1	5
39	но не	2	4
40	можно сказать	4	4
41	того же	1	4
42	не может	12	4
43	и является	5	4
44	не менее	1	4
45	все это	4	4
46	точки зрения	10	4
47	в сознании	3	4
48	как раз	1	4
49	не в	6	4
50	тем самым	7	4
51	не так	3	4
52	в конце	6	4
53	во всех	6	4
54	нашего времени	1	4
55	для него	3	4
56	в себя	1	4
57	не с	3	4
58	то же	14	4
59	в поле	1	4
60	за пределы	1	4
61	между двумя	2	4
62	и его	7	4
63	в сущности	1	4
64	во второй	3	4
65	тому же	2	4
66	хотя и	3	4
67	только в	6	4
68	уже не	4	4
69	только не	1	4
70	и тем	6	4
71	у него	1	4
72	он в	1	4
73	внутренней речи	18	4
74	на этом	1	4
75	столь же	1	4
76	этом случае	3	4
77	как в	2	4
78	в своем	1	4
79	борьбы с	1	3
80	в словах	3	3
81	как мы	9	3
82	на его	5	3
83	не знает	3	3
84	бы в	5	3
85	место в	2	3
86	или в	2	3
87	прежде всего	21	3
88	высказывания в	2	3
89	крайней мере	1	3
90	и все	4	3
91	есть в	1	3
92	ключ к	1	3
93	как уже	2	3
94	я и	2	3
95	так что	1	3
96	в их	1	3
97	и одновременно	1	3
98	а в	5	3
99	в нашем	5	3
100	ответ на	2	3
101	в первой	2	3
102	одной из	2	3
103	литературное произведение	2	3
104	той или	3	3
105	и сам	2	3
106	с самим	2	3
107	из трех	2	3
108	как будто	1	3
109	содержит в	1	3
110	в организации	1	3
111	никогда не	7	3
112	тем что	2	3
113	тем не	1	3
114	воли и	1	3
115	ему в	1	3
116	со стороны	1	3
117	если бы	4	3
118	и т.д	21	3
119	не был	1	3
120	в конечном	1	3
121	этого слова	3	3
122	по крайней	1	3
123	именно в	1	3
124	того или	5	3
125	этом отношении	2	3
