N	4gram	Medvedev_F_3	Stilisti
1	в то же время	7	7
2	может быть понято и	1	2
3	одни и те же	3	2
4	и в то же	2	2
5	в зависимости от того	1	2
6	одной и той же	1	2
7	вместе с тем и	1	2
8	то или иное место	1	1
9	к одной и той	1	1
10	как по отношению к	1	1
11	одного и того же	1	1
12	и не может быть	3	1
13	так а не иначе	1	1
14	о котором мы говорили	1	1
15	в виду прежде всего	1	1
16	и в жизни и	1	1
17	в собственном смысле слова	1	1
18	иметь в виду что	1	1
19	не может быть понято	3	1
20	социального коллектива в котором	1	1
21	нет и не может	2	1
22	в жизни и в	1	1
23	того социального коллектива в	1	1
24	то же самое и	1	1
25	одним и тем же	2	1
26	с нашей точки зрения	1	1
27	в той же мере	1	1
