N	3gram	Medvedev_F_1	Tvorches
1	в то же	8	13
2	то же время	8	12
3	в том что	1	6
4	но в то	2	4
5	с самого начала	1	3
6	на первом плане	1	2
7	на самом деле	6	2
8	и т п	4	2
9	в данном случае	1	2
10	и в то	1	2
11	в этом романе	1	2
12	тем не менее	1	2
13	и в свою	1	1
14	не может не	1	1
15	еще далеко не	1	1
16	с ним на	1	1
17	резко отличен от	1	1
18	этом романе и	1	1
19	и наконец в	2	1
20	как один из	1	1
21	в настоящее время	10	1
22	в отрыве от	1	1
23	в этом пункте	2	1
24	художественных форм и	2	1
25	по отношению к	4	1
26	до сих пор	6	1
27	в своей книге	2	1
28	хотя бы и	1	1
29	сами по себе	2	1
30	в отличие от	1	1
31	что как бы	1	1
32	в первой главе	1	1
33	на самом же	1	1
34	бы то ни	3	1
35	вместе с тем	1	1
36	не был понят	1	1
37	все более и	2	1
38	в своем творчестве	1	1
39	все это в	1	1
40	что оно не	1	1
41	то ни было	1	1
42	с одной стороны	4	1
43	литературы с другой	1	1
44	и как бы	1	1
45	и в их	2	1
46	в связи с	2	1
47	не может и	1	1
48	самом же деле	1	1
49	так и от	1	1
50	в самом конце	1	1
51	reductio ad absurdum	1	1
52	один из возможных	1	1
53	заключается в том	1	1
54	в свою очередь	6	1
55	это значит что	1	1
56	более и более	2	1
57	с другой стороны	1	1
58	в процессе художественного	1	1
59	в его художественной	2	1
60	к тому что	1	1
61	в отношении к	1	1
62	только что он	1	1
63	друг для друга	1	1
64	и т д	8	1
65	особое место в	1	1
66	в современном искусстве	1	1
