1	в то же время	4	7
2	в том что он	1	4
3	и в то же	2	3
4	и в этом отношении	1	2
5	именно в том что	1	2
6	не значит конечно что	1	2
7	но в то же	1	2
8	это не значит конечно	1	2
9	и для него самого	1	1
10	с этой точки зрения	1	1
11	значит конечно что в	1	1
12	в разрезе одного момента	2	1
13	к себе самому и	1	1
14	бы он ни был	1	1
15	совершенно новое видение и	1	1
16	конечно что в мире	1	1
17	новое видение и изображение	1	1
18	к прошлому и будущему	1	1
19	в то время как	1	1
20	друг с другом в	1	1
21	говорит он что в	1	1
22	как мы уже говорили	1	1
