N	3gram	Tiupa_Lite_3	Istorich
1	вместе с тем	1	5
2	в том что	4	5
3	не только в	2	4
4	в связи с	1	4
5	по отношению к	4	3
6	подобно тому как	2	3
7	с одной стороны	4	3
8	в другом месте	1	2
9	что иное как	1	2
10	на самом деле	1	2
11	но и в	2	2
12	не что иное	1	2
13	с другой стороны	2	2
14	не может быть	3	2
15	на его пути	1	2
16	о том что	4	2
17	и вместе с	2	2
18	на то что	2	2
19	к тому же	5	2
20	о том как	1	1
21	друг от друга	1	1
22	и не только	1	1
23	и герой в	1	1
24	мира прежде всего	1	1
25	в отличие от	5	1
26	в то что	2	1
27	но это не	1	1
28	почти никогда не	1	1
29	может быть вполне	1	1
30	тем не менее	1	1
31	то что было	1	1
32	так или иначе	2	1
33	в совершенно новой	2	1
34	в этой связи	1	1
35	том что они	1	1
36	далеко еще не	1	1
37	органической связи с	1	1
38	одно из них	1	1
39	в другом тексте	2	1
40	но уже в	1	1
41	означает не что	1	1
42	все же остается	1	1
43	однако не в	2	1
44	это и есть	1	1
45	само нуждается в	1	1
46	не только не	1	1
47	кем-нибудь из героев	1	1
48	это как бы	1	1
49	это означает не	1	1
50	в силу своей	1	1
51	но в отличие	2	1
