N	2gram	Vygotskiy__1	IolandNe
1	и с	2	3
2	должен быть	1	2
3	и не	16	2
4	в этом	12	2
5	оба они	1	2
6	он не	3	2
7	что в	23	2
8	ничего не	2	2
9	бы что	2	2
10	же это	1	1
11	все это	8	1
12	автора и	1	1
13	этим и	1	1
14	автор не	1	1
15	и др	1	1
16	и тот	2	1
17	и в	31	1
18	только что	2	1
19	и о	4	1
20	я не	1	1
21	то и	2	1
22	какую роль	1	1
23	с а	1	1
24	бы в	2	1
25	как только	1	1
26	стало быть	2	1
27	того же	2	1
28	при такой	1	1
29	значительной мере	1	1
30	психологии творчества	1	1
31	с другой	5	1
32	кто иной	1	1
33	иной как	1	1
34	и та	1	1
35	а в	6	1
36	вплоть до	1	1
37	художественного творчества	6	1
38	так то	1	1
39	того что	10	1
40	в художественном	3	1
41	не дает	2	1
42	произведения это	1	1
43	и без	2	1
44	как о	1	1
45	на котором	1	1
46	а с	1	1
47	мышь и	1	1
48	другой стороны	5	1
49	утверждает что	2	1
50	и еще	1	1
51	не так	1	1
52	для него	1	1
53	разъясняет не	1	1
54	а также	1	1
55	его ученики	1	1
56	в основе	2	1
57	что для	2	1
58	что при	3	1
59	и фантастическая	1	1
60	в значительной	1	1
61	понятий и	2	1
62	могло бы	4	1
63	и творчества	1	1
64	есть только	2	1
65	а если	1	1
66	так и	3	1
67	бы его	1	1
68	произведения и	1	1
69	того чтобы	7	1
70	никогда не	8	1
71	жизни и	3	1
72	и очень	2	1
73	тех же	2	1
74	в целом	5	1
75	по поводу	2	1
76	точно и	2	1
77	введение в	1	1
78	очевидно что	6	1
79	в них	2	1
80	по существу	4	1
81	со всеми	4	1
82	если бы	6	1
83	для того	6	1
84	другое дело	1	1
85	без этого	1	1
