N	2gram	Losev_Vesc_1	RusskieA
1	и в	21	29
2	т е	55	24
3	том что	8	22
4	в том	8	22
5	что в	9	22
6	как бы	12	18
7	и другие	1	14
8	так как	7	13
9	может быть	16	13
10	в этом	4	11
11	как и	8	11
12	одна из	5	11
13	не только	36	10
14	и с	8	10
15	е в	7	10
16	все это	5	10
17	о том	6	9
18	на части	1	9
19	а в	4	9
20	с в	2	8
21	его в	2	8
22	а а	1	8
23	но и	18	8
24	ее в	1	8
25	данном случае	2	7
26	мы видели	1	7
27	или в	2	7
28	мы имеем	7	6
29	мы не	6	6
30	еще не	8	6
31	при этом	1	6
32	таким образом	8	6
33	того чтобы	3	6
34	для нас	2	6
35	для того	2	6
36	с тем	5	6
37	вместе с	1	6
38	в данном	5	6
39	же в	1	6
40	и т	19	5
41	но не	5	5
42	но в	5	5
43	это не	5	5
44	т д	19	5
45	не может	17	5
46	представление о	1	5
47	потому что	16	5
48	для этого	4	5
49	и что	15	5
50	будто бы	1	5
51	эту силу	1	5
52	то что	27	5
53	с ней	2	5
54	к этому	1	5
55	же как	1	4
56	то же	6	4
57	вопрос о	1	4
58	видели что	1	4
59	не все	1	4
60	уже не	9	4
61	их в	3	4
62	поле и	1	4
63	а затем	2	4
64	далеко не	1	4
65	не в	5	4
66	тогда когда	5	4
67	у нас	7	4
68	что сила	1	4
69	а также	1	4
70	к нему	1	4
71	так что	5	4
72	то и	4	4
73	в виде	1	4
74	из них	4	4
75	именно в	1	4
76	а не	19	4
77	о чем	1	4
78	так же	1	4
79	как это	2	4
80	по существу	2	4
81	и все	5	4
82	или ее	2	3
83	в и	2	3
84	и о	3	3
85	в ее	7	3
86	только тогда	3	3
87	что ее	2	3
88	что это	13	3
89	все эти	3	3
90	в этой	3	3
91	что она	15	3
92	главным образом	1	3
93	подобно тому	4	3
94	и по	1	3
95	на этом	2	3
96	с другими	8	3
97	должен был	1	3
98	в этих	1	3
99	в котором	3	3
100	в отличие	1	3
101	но он	2	3
102	она не	4	3
103	как мы	4	3
104	нас к	1	3
105	во всех	2	3
106	в свете	7	3
107	а именно	1	3
108	того что	8	3
109	в качестве	1	3
110	руки и	2	3
111	отличие от	1	3
112	тем что	2	3
113	а наоборот	1	3
114	чтобы обеспечить	1	3
115	тому как	4	3
116	и от	3	3
117	было бы	14	3
118	но если	8	3
119	также что	1	2
120	и то	10	2
121	на самом	1	2
122	переход от	1	2
123	это и	6	2
124	и всем	4	2
125	так чтобы	2	2
126	но она	3	2
