N	3gram	Voloshinov_1	Analitik
1	не может быть	13	16
2	в том что	3	9
3	в то же	3	8
4	в отличие от	5	6
5	то же время	3	6
6	той или иной	1	6
7	по отношению к	2	5
8	большей или меньшей	1	4
9	с точки зрения	20	4
10	и не может	9	4
11	а не в	1	3
12	подобно тому как	1	3
13	в том числе	2	3
14	в таком случае	2	3
15	во времени и	1	3
16	бы то ни	8	3
17	для того чтобы	3	3
18	то ни было	8	3
19	с одной стороны	1	3
20	в нашем случае	1	3
21	и того же	5	2
22	могли бы быть	1	2
23	нет и не	2	2
24	не есть вещь	1	2
25	в самом деле	9	2
26	то же самое	3	2
27	сами по себе	1	2
28	но и в	1	2
29	в этом отношении	3	2
30	в основе своей	1	2
31	в первом случае	3	2
32	но в то	2	2
33	не могут быть	2	2
34	по природе своей	1	2
35	с другой стороны	5	2
36	какой бы то	1	2
37	внутреннего и внешнего	3	2
38	в широком смысле	1	2
39	одного и того	5	2
40	том что он	1	2
41	не должен быть	1	2
42	моего существования и	1	1
43	место лишь в	1	1
44	может служить знаком	1	1
45	или хотя бы	2	1
46	тех пор пока	2	1
47	и в сущности	1	1
48	оно может быть	1	1
49	и той же	2	1
50	этого слова как	1	1
51	более или менее	1	1
52	равно как и	1	1
53	как и во	1	1
54	один и тот	3	1
55	выходит за пределы	1	1
56	оно ни было	2	1
57	в частности как	1	1
58	до сих пор	8	1
59	и в разных	1	1
60	как мы увидим	1	1
61	и та же	1	1
62	на самом же	2	1
63	том числе и	2	1
64	та и другая	1	1
65	таким образом с	1	1
66	нет ничего что	1	1
67	именно здесь в	1	1
68	с этой точки	1	1
69	как если бы	2	1
70	в достаточной мере	1	1
71	в науке о	3	1
72	в данный момент	2	1
73	и отличается от	1	1
74	не только в	1	1
75	в особенности же	1	1
76	смысле этого слова	2	1
77	в свою очередь	2	1
78	и должно быть	1	1
79	все без исключения	3	1
80	по отношению ко	1	1
81	и как бы	1	1
82	в большей или	1	1
83	все же не	1	1
84	одни и те	5	1
85	прежде всего в	1	1
86	во всяком случае	2	1
87	одна и та	1	1
88	во внутренней речи	1	1
89	что же касается	1	1
90	самом же деле	2	1
91	может быть ничего	1	1
92	этой точки зрения	1	1
93	акт воли и	1	1
94	имеет место лишь	1	1
95	до тех пор	2	1
96	по аналогии с	1	1
97	в новейшее время	1	1
98	и в самом	1	1
99	или во всяком	1	1
100	и те же	5	1
101	функции и не	1	1
102	в этом смысле	2	1
103	во втором случае	1	1
104	в связи с	7	1
105	к тому что	1	1
106	части нашей работы	1	1
107	одной и той	2	1
108	всего может быть	1	1
109	друг с другом	1	1
110	и та и	1	1
111	отношения между элементами	1	1
112	конечно далеко не	1	1
113	и тот же	3	1
