N	2gram	Berdyaev_O_1	Narrotol
1	не только	11	32
2	может быть	11	25
3	но и	13	23
4	и не	13	20
5	и в	19	19
6	в том	5	18
7	в этом	12	17
8	в частности	1	14
9	не в	11	14
10	том что	2	14
11	а не	11	12
12	представляет собой	1	12
13	а в	5	11
14	то что	5	11
15	не может	4	10
16	так и	2	9
17	в его	7	9
18	со стороны	1	9
19	в мире	1	9
20	в себе	3	8
21	все же	2	7
22	еще не	3	7
23	как и	6	7
24	как в	1	7
25	как это	1	6
26	но не	1	6
27	но в	2	6
28	о том	3	6
29	то в	1	6
30	что он	3	6
31	с его	4	6
32	в форме	1	5
33	к нему	3	5
34	по себе	2	5
35	мира в	1	5
36	нуждается в	1	5
37	между двумя	1	5
38	и его	4	5
39	не все	2	5
40	уже не	1	5
41	в этой	5	5
42	и как	1	5
43	и с	2	4
44	отличается от	1	4
45	прежде всего	9	4
46	за собой	1	4
47	хотя бы	3	4
48	же не	1	4
49	что не	4	4
50	в силу	1	4
51	да и	1	4
52	у него	22	4
53	было бы	3	4
54	о нем	1	4
55	как бы	3	4
56	сказать что	2	4
57	в нем	10	4
58	но о	1	3
59	жизни и	1	3
60	не есть	2	3
61	что они	2	3
62	будто бы	1	3
63	и он	8	3
64	по своей	1	3
65	жизни в	2	3
66	что в	4	3
67	в ее	2	3
68	особенно в	1	3
69	никогда не	9	3
70	хотя и	2	3
71	не с	1	3
72	в сущности	1	3
73	что это	1	3
74	один из	1	3
75	тем что	2	3
76	а с	1	3
77	одна из	1	3
78	могут быть	3	3
79	не существует	1	3
80	когда он	3	3
81	этом отношении	1	3
82	и на	2	3
83	он не	7	3
84	в ней	1	3
85	уже в	2	3
86	как будто	1	3
87	а именно	1	3
88	из них	1	3
89	за границу	1	3
90	жизни как	1	3
91	и даже	1	3
92	все эти	4	2
93	люди что	1	2
94	жизни а	1	2
95	должна быть	1	2
96	от всех	1	2
97	что нет	1	2
98	говорит о	1	2
99	и для	2	2
100	и ее	3	2
101	не было	9	2
102	и все	10	2
103	в самую	4	2
104	ключ к	1	2
105	нет у	1	2
106	они в	1	2
107	та же	1	2
108	одно из	2	2
109	его в	2	2
110	его как	1	2
111	отношение к	5	2
112	например в	1	2
113	для него	5	2
114	отношения к	1	2
115	это все	1	2
116	героя из	1	2
117	он сам	4	2
118	и после	1	2
119	что у	2	2
120	которым можно	1	2
121	один человек	1	2
122	и потому	2	2
123	ничего не	2	2
124	его жизни	1	2
125	с чем	2	2
126	как к	2	2
127	о чем	1	2
128	до которой	1	2
129	совершенно не	1	2
130	этого слова	1	2
131	различие между	3	2
132	к другому	1	2
133	во внешнем	1	2
134	она не	1	2
135	и когда	1	2
136	у нее	1	2
137	не случайно	1	2
138	истории и	1	2
139	не имеет	2	2
140	а иногда	1	2
141	самом деле	1	2
142	это не	3	2
143	все та	1	2
144	который в	1	2
145	но от	1	2
146	можно было	1	2
147	человека в	11	2
148	быть может	3	2
149	в своем	2	2
150	и до	1	2
151	и там	2	1
152	в чистом	1	1
153	от которой	1	1
154	и здесь	1	1
155	всегда в	1	1
156	это за	3	1
157	в свое	1	1
158	это лишь	1	1
159	в другом	2	1
160	достоевского и	5	1
161	прошел через	1	1
162	с богом	2	1
163	но он	7	1
164	которой в	1	1
165	указать на	1	1
166	от этого	1	1
167	было и	1	1
168	иногда и	1	1
169	и открывает	1	1
170	быть осуществлено	1	1
171	не могли	2	1
172	стремится к	1	1
173	это часто	1	1
174	чтобы сделать	1	1
175	не оставляет	1	1
176	вовсе не	1	1
177	связь с	1	1
178	уровень его	1	1
179	не по	1	1
180	действующие лица	1	1
181	христа в	1	1
182	друг с	1	1
183	с ним	3	1
184	мировой истории	1	1
185	норме и	1	1
186	цели и	1	1
187	в духовном	1	1
188	мы не	1	1
189	им самим	1	1
190	не так	1	1
191	в конце	1	1
192	человек не	7	1
193	отличается в	1	1
194	от него	7	1
195	бы он	1	1
196	и через	1	1
197	но может	1	1
198	само по	1	1
199	чего не	1	1
200	в это	1	1
201	со всеми	1	1
202	одним словом	1	1
203	совсем не	2	1
204	знаменательно что	1	1
205	там и	1	1
206	над ними	1	1
207	и пр	1	1
208	и богаче	2	1
209	его и	1	1
210	есть не	1	1
211	из жизни	1	1
212	с другом	1	1
213	того что	3	1
214	потому что	9	1
215	мир в	1	1
216	и формы	1	1
217	быть не	1	1
218	он ни	1	1
219	было не	1	1
220	в первый	1	1
221	сознания в	1	1
222	лучше сказать	1	1
223	и больше	1	1
224	мысли и	3	1
225	в россии	5	1
226	свете в	1	1
227	в новом	1	1
228	и сам	1	1
229	жизни не	1	1
230	и прежде	1	1
231	и более	1	1
232	и ему	1	1
233	в уста	2	1
234	на самом	1	1
235	они и	1	1
236	больше всего	1	1
237	никто не	3	1
238	человека с	1	1
239	все время	1	1
240	частью в	2	1
241	у нас	1	1
242	к его	1	1
243	идти в	1	1
244	своей жизни	2	1
245	человек и	4	1
246	типа есть	1	1
247	лишь в	7	1
248	что было	1	1
249	дело в	1	1
250	и от	3	1
251	чувствует и	1	1
252	мире это	1	1
253	к ней	2	1
254	но всегда	1	1
255	человека к	2	1
256	о любви	2	1
257	отрешиться от	1	1
258	лишь для	1	1
259	от самого	2	1
260	любви и	1	1
261	бытия как	1	1
262	устремленного к	1	1
263	что все	2	1
264	как от	1	1
265	в них	1	1
266	человека как	1	1
267	сам по	1	1
268	за все	2	1
269	речи и	1	1
270	в котором	1	1
271	от того	1	1
272	действующих лиц	1	1
273	в самом	5	1
274	ни с	7	1
275	что и	2	1
276	внутренней жизни	1	1
277	что как	1	1
278	не могут	3	1
279	может служить	1	1
280	которых в	1	1
281	он еще	1	1
282	распадается на	1	1
283	в процессе	1	1
284	его мысли	4	1
285	есть уже	1	1
286	должен был	2	1
287	как у	1	1
288	на земле	4	1
289	нет ничего	7	1
290	которая его	1	1
291	он видит	1	1
292	также и	1	1
293	ни был	1	1
294	в судьбе	1	1
295	и к	2	1
296	отметить что	1	1
297	все и	1	1
298	видеть в	1	1
299	начиная с	1	1
300	о его	5	1
301	всего в	2	1
302	смерть и	1	1
303	но еще	1	1
304	было для	2	1
305	уже отмечали	1	1
306	перед ним	1	1
307	и есть	3	1
308	и пережил	1	1
309	человеческих отношений	4	1
310	его собственным	1	1
311	это было	3	1
312	чем и	1	1
313	в глазах	1	1
314	лет назад	1	1
315	и то	2	1
316	все основные	1	1
317	в самой	9	1
318	никогда и	2	1
319	в совершенно	1	1
320	не быть	1	1
321	все еще	2	1
322	в виду	1	1
323	легенда о	2	1
324	если бы	1	1
325	и эта	1	1
326	мысль о	2	1
327	и тогда	1	1
328	ней не	1	1
329	богаче чем	1	1
330	к одному	1	1
331	в мир	1	1
332	он и	1	1
333	но это	1	1
334	человека есть	2	1
335	с ними	1	1
336	в русской	3	1
