N	2gram	Bakhtin_Pr_2	Literetu
1	а не	10	20
2	и в	45	19
3	может быть	18	17
4	то же	5	12
5	и не	42	11
6	как и	14	10
7	в том	8	10
8	и т.п	6	10
9	но и	15	10
10	в этом	20	9
11	в то	5	9
12	в мире	3	9
13	же время	3	9
14	не может	24	9
15	не только	16	8
16	и даже	3	8
17	с другой	1	8
18	слова и	1	7
19	том что	7	7
20	так и	3	7
21	и т.д	3	7
22	с одной	1	7
23	то что	5	7
24	и на	7	6
25	в себе	5	6
26	при этом	2	6
27	не менее	2	6
28	себя в	2	6
29	в году	1	5
30	я не	6	5
31	но не	6	5
32	он не	9	5
33	одна из	3	5
34	так в	1	5
35	у нас	2	5
36	то есть	50	5
37	того что	3	5
38	вместе с	1	5
39	я и	3	4
40	в сфере	2	4
41	но тем	1	4
42	мы не	1	4
43	того же	1	4
44	по отношению	8	4
45	так что	2	4
46	человека в	5	4
47	для него	9	4
48	точки зрения	19	4
49	не в	8	4
50	даже в	6	4
51	в русской	2	4
52	в области	2	4
53	ли не	1	4
54	в ней	7	4
55	еще в	1	4
56	в его	22	4
57	один из	2	4
58	и других	3	4
59	каждый из	1	4
60	тем что	2	4
61	прежде всего	11	4
62	в частности	1	4
63	жизни в	2	4
64	другой стороны	1	4
65	жизни и	15	4
66	что в	6	4
67	причастности к	1	4
68	одним из	3	3
69	идет о	2	3
70	в сущности	7	3
71	и он	3	3
72	во всех	4	3
73	как к	2	3
74	в этой	1	3
75	в нем	20	3
76	всех своих	1	3
77	но лишь	1	3
78	перестает быть	3	3
79	в их	4	3
80	с точки	9	3
81	тем самым	2	3
82	никогда не	17	3
83	ничего не	3	3
84	х годов	2	3
85	и его	8	3
86	личности в	3	3
87	данном случае	1	3
88	не с	1	3
89	и с	7	3
90	в другом	1	3
91	в художественной	2	3
92	но с	3	3
93	а в	3	3
94	так как	5	3
95	этом отношении	2	3
96	и др	4	3
97	со стороны	4	3
98	в равной	1	3
99	в разговоре	1	3
100	в данном	1	3
101	а именно	3	3
102	по существу	1	3
103	но это	2	3
104	в начале	2	3
105	и для	2	3
106	и как	2	3
107	что он	7	3
108	о себе	3	3
109	отношению к	8	3
110	как на	2	3
111	ту же	1	2
112	же как	4	2
113	и до	4	2
114	той же	1	2
115	на первом	1	2
116	из своих	2	2
117	с ее	3	2
118	из того	1	2
119	в каждой	1	2
120	но как	2	2
121	есть по	1	2
122	в истории	2	2
123	в художественном	3	2
124	все же	4	2
125	и наконец	1	2
126	и к	2	2
127	но в	6	2
128	то в	1	2
129	в целом	5	2
130	жизнь как	1	2
131	в нашем	2	2
132	как он	4	2
133	и сам	3	2
134	свое время	2	2
135	подобно тому	2	2
136	на этом	1	2
137	в каждом	4	2
138	в жизни	3	2
139	но уже	2	2
140	в них	4	2
141	все равно	1	2
142	а за	2	2
143	он и	4	2
144	и еще	1	2
145	как бы	15	2
146	художественного творчества	1	2
147	с идеей	2	2
148	мысли и	3	2
149	что я	1	2
150	случае это	1	2
151	одном из	1	2
152	что было	1	2
153	тем не	1	2
154	по крайней	2	2
155	сердца и	1	2
156	не раз	2	2
157	не по	3	2
158	в основе	2	2
