N	3gram	Tiupa_Narr_1	Analitik
1	не может быть	5	16
2	в том что	8	9
3	в то же	3	8
4	в том чтобы	1	7
5	в отличие от	5	6
6	значении этого слова	2	6
7	то же время	3	6
8	на наш взгляд	1	6
9	той или иной	4	6
10	что иное как	2	5
11	по отношению к	6	5
12	мы имеем дело	2	4
13	с точки зрения	2	4
14	и не в	4	4
15	в конечном счете	2	4
16	времени и пространстве	5	4
17	не что иное	2	4
18	к тому же	4	4
19	о том что	6	3
20	себя в другом	1	3
21	в той или	2	3
22	состоит в том	3	3
23	а не в	2	3
24	подобно тому как	2	3
25	в том числе	6	3
26	того или иного	2	3
27	в таком случае	2	3
28	во времени и	4	3
29	бы то ни	3	3
30	то ни было	3	3
31	и представляет собой	2	3
32	с одной стороны	7	3
33	имеем дело с	1	3
34	есть не что	1	3
35	собственно говоря и	1	3
36	том или ином	2	3
37	отнюдь не предполагает	2	2
38	и того же	1	2
39	могли бы быть	1	2
40	как лиминальную пороговую	1	2
41	креативная и рецептивная	1	2
42	в самом деле	1	2
43	то же самое	1	2
44	в качестве своего	1	2
45	сами по себе	2	2
46	в этом отношении	3	2
47	в той мере	1	2
48	в основе своей	4	2
49	в данном случае	4	2
50	в силу своей	1	2
51	далеко не всегда	1	2
52	в первом случае	2	2
53	не сводится к	2	2
54	в равной степени	1	2
55	коммуникативного события в	1	2
56	с другой стороны	4	2
57	в том или	2	2
58	какой бы то	1	2
59	лиминальную пороговую фазу	1	2
60	мере в какой	1	2
61	но о том	1	2
62	в свое время	1	2
63	с легкой руки	1	2
64	пороговую фазу испытания	1	2
65	в этом ряду	2	2
66	другого в себе	1	2
67	одного и того	1	2
68	только в присутствии	1	2
69	произведения в его	1	2
70	не о том	1	2
71	той мере в	1	2
72	тех или иных	1	2
73	том что он	1	2
74	фазу испытания смертью	1	2
75	в отрыве от	1	2
76	о воцарении пришельца	1	2
77	средствами линейного повествования	1	1
78	повествования размыкающего и	1	1
79	основные параметры соотносимое	1	1
80	по своей природе	1	1
81	в коммуникативном событии	1	1
82	смертью она может	1	1
83	партнерства установление новых	1	1
84	испытаний наконец четвертая	1	1
85	мифологическим системам определяя	1	1
86	их внутреннюю структуру	1	1
87	культуры в частности	1	1
88	ю.м лотмана происхождение	1	1
89	поразительно и быть	1	1
90	перемене власти о	1	1
91	не в состоянии	1	1
92	хотя в современной	1	1
93	и разворачивается в	1	1
94	в последние десятилетия	1	1
95	свою родину чтобы	1	1
96	до смертельного риска	1	1
97	воскресающей весной растительностью	1	1
98	иной форме например	1	1
99	репродуцируемых не о	1	1
100	умирающей к зиме	1	1
101	специфика эстетического дискурса	1	1
102	центр мира и	1	1
103	присутствия в мире	2	1
104	или хотя бы	1	1
105	но и самого	1	1
106	его событийной полноте	2	1
107	событии о перемене	1	1
108	нами два события	1	1
109	зерном сюжетного повествования	1	1
110	в себя томлением	1	1
111	порой гипертрофируется и	1	1
112	как уже говорилось	1	1
113	достигшего половой зрелости	1	1
114	что ни на	1	1
115	приобретают вид сюжетных	1	1
116	говорит и как	1	1
117	к зиме но	1	1
118	прежних жизненных связей	1	1
119	столь архаическая фабула	1	1
120	было проведено четкое	1	1
121	или существенное ослабление	1	1
122	героя в последующих	1	1
123	существенно повышающим уровень	1	1
124	следует понимать как	1	1
125	в поединке с	1	1
126	на себя внимание	3	1
127	бесконечно репродуцируемых не	1	1
128	как ценностного центра	1	1
129	со стороны адресата	2	1
130	в классической работе	1	1
131	встречи со смертью	1	1
132	второй в этом	1	1
133	оно нуждается в	1	1
134	то в основе	1	1
135	научного описания в	1	1
136	лицо часто подвергается	1	1
137	тогда как зерно	1	1
138	достаточно подробная характеристика	1	1
139	схемы инициации инверсией	1	1
140	время внутреннего психологического	1	1
141	как бы не	1	1
142	фазой обособления помимо	1	1
143	более или менее	2	1
144	воцариться в чужой	1	1
145	уровень его жизненной	1	1
146	цепь необратимых одноразовых	1	1
147	складывается из четырех	1	1
148	освещении было проведено	1	1
149	вертикаль мировое древо	1	1
150	рассказывания в этом	1	1
151	последнем мы и	1	1
152	воскресающего бога однако	1	1
153	задачу данной фазы	1	1
154	воцарении пришельца доказавшего	1	1
155	его жизненной искушенности	1	1
156	мировое древо выступало	1	1
157	сюжетных сами по	1	1
158	а не трех	1	1
159	поединка а может	1	1
160	со смертью в	1	1
161	смерти и эта	1	1
162	формах внутренней речи	1	1
163	им потусторонней страны	1	1
164	умудрения стадию пробных	1	1
165	современной передаче средствами	1	1
166	на этом этапе	1	1
167	один и тот	1	1
168	существо начинало мыслиться	1	1
169	далеко не всякий	1	1
170	в соответствии с	1	1
171	древо выступало залогом	1	1
172	жизненное качество представленная	1	1
173	обретение героем помощников	1	1
174	возвращения символическое воскресение	1	1
175	или самозванством а	1	1
176	этом последнем мы	1	1
177	ослабленных связей на	1	1
178	герой волшебной сказки	1	1
179	взрослой жизни накопленных	1	1
180	правило проходит стадию	1	1
181	инверсией третьей и	1	1
182	фаза преображения здесь	1	1
183	смертельно опасном испытании	1	1
184	утрата близкого существа	1	1
185	всегда тогда как	1	1
186	к этим моментам	1	1
187	мышления напротив горизонталь	1	1
188	сюжетного мышления напротив	1	1
189	мертвых умудрение приобретение	1	1
190	смерти героя или	1	1
191	переход магической власти	1	1
192	затворничества она может	1	1
193	новейшее время внутреннего	1	1
194	дж фрэзером при	1	1
195	отвечает представляется нам	1	1
196	сюжета в типологическом	1	1
197	не было и	1	1
198	персонажа выделяющая его	1	1
199	рождение сопровождается возвращением	1	1
200	по себе они	1	1
201	мышление человека как	1	1
202	до сих пор	1	1
203	в разные времена	1	1
204	и позднейшей оригинальной	1	1
205	событие о котором	1	1
206	да и в	1	1
207	сказки как правило	1	1
208	в молчание бахтин	1	1
209	уходом в себя	1	1
210	страны мертвых может	1	1
211	круговорот жизни оно	1	1
212	символическое воскресение человека	1	1
213	бога однако символическая	1	1
214	фаза символической смерти	1	1
215	особую организующую роль	1	1
216	ослабление прежних жизненных	1	1
217	собственно пространственного ухода	1	1
218	индивидуальностью а не	1	1
219	она может выступать	1	1
220	имеют место неудачные	1	1
221	сам по себе	1	1
222	ухода в частности	1	1
223	поведение героя в	2	1
224	мы и сами	1	1
225	к норме и	1	1
226	кумулятивный сюжет воспитания	1	1
227	инициации имеет место	1	1
228	или зрелище чужой	1	1
229	его из общей	1	1
230	расторгнутых или ослабленных	1	1
231	легкого повреждения или	1	1
232	ряду выступает фаза	1	1
233	однако символическая смерть	1	1
234	выступать в архаических	1	1
235	конкретным мифологическим системам	1	1
236	мира вокруг я	1	1
237	и все их	1	1
238	символическая смерть и	1	1
239	и быть может	1	1
240	внешнего собственно пространственного	1	1
241	инициации предстает рассказ	1	1
242	лишь одним из	1	1
243	которых акцентируется его	1	1
244	как мы увидим	1	1
245	как иногда представляют	1	1
246	пришельца доказавшего свою	1	1
247	а не с	1	1
248	ставшего мужем царской	1	1
249	себя томлением разочарованием	1	1
250	свершающихся вокруг него	1	1
251	и выпрямляющего круговорот	1	1
252	не трех как	1	1
253	окружал человека к	1	1
254	том что именно	1	1
255	жизни накопленных предками	1	1
256	частности поиска побега	1	1
257	как единого художественного	1	1
258	архаических формах ритуально-символической	1	1
259	референтного и коммуникативного	1	1
260	обозначить как лиминальную	1	1
261	они трактовали не	1	1
262	начала к концу	1	1
263	искушений и испытаний	1	1
264	такого рода составляет	1	1
265	предполагающей разрыв или	1	1
266	на какие-то вопросы	1	1
267	том числе и	4	1
268	внутреннюю структуру и	1	1
269	жизненных связей в	1	1
270	этнографии терминологией а	1	1
271	родовых связей индивида	1	1
272	обособления помимо внешнего	1	1
273	ван геннепа и	1	1
274	котором рассказано в	1	1
275	о царских детях	1	1
276	позднейшей оригинальной сюжетики	1	1
277	как необратимая в	1	1
278	героя это еще	1	1
279	яичко личинка куколка	1	1
280	и четвертой фаз	1	1
281	символическое второе рождение	1	1
