N	3gram	Bakhtin_fo_1	StatiiOP
1	в том что	2	11
2	и т п	8	6
3	не может быть	3	5
4	с точки зрения	2	4
5	в этом отношении	3	4
6	то время как	2	4
7	во всяком случае	1	4
8	о том что	1	4
9	в то время	3	4
10	прежде всего в	1	3
11	в мировой литературе	2	3
12	с тем что	1	3
13	в связи с	5	3
14	то же время	9	3
15	не только в	2	3
16	в то же	6	3
17	но и в	2	2
18	до сих пор	3	2
19	если бы между	1	2
20	с одной стороны	2	2
21	и в этом	1	2
22	все более и	1	2
23	во всех этих	1	2
24	с самого начала	2	2
25	более и более	1	2
26	но все же	2	2
27	мы имеем в	1	2
28	к смертной казни	1	2
29	что в образе	1	1
30	и может быть	1	1
31	одних и тех	2	1
32	под углом зрения	2	1
33	на которые распадается	1	1
34	в самом деле	1	1
35	литературе трудно найти	1	1
36	не было и	2	1
37	для себя и	1	1
38	и в других	4	1
39	вместе с тем	2	1
40	и во всяком	1	1
41	связи с этим	2	1
42	и тех же	2	1
43	в значительной мере	1	1
44	т п но	1	1
45	говорит о том	1	1
46	и др или	1	1
47	и в частности	2	1
48	как раз в	4	1
49	на этой почве	1	1
50	и со всеми	1	1
51	в самом начале	1	1
52	в том же	1	1
53	была бы совершенно	1	1
54	прежде всего необходимо	3	1
55	кроме того в	1	1
56	они как раз	1	1
57	он попадает в	1	1
58	в той или	1	1
59	в этом и	1	1
60	до наших дней	1	1
61	все же сохраняется	2	1
62	в свою очередь	1	1
63	на протяжении всего	1	1
64	и в самом	1	1
65	он не имеет	1	1
66	той или иной	2	1
67	первое и последнее	1	1
68	и которые в	1	1
69	вовсе не является	1	1
70	для того чтобы	5	1
