N	3gram	Vinokur_St_3	EvropaiE
1	с точки зрения	4	16
2	в то же	3	15
3	то же время	3	14
4	с одной стороны	2	8
5	в том что	11	6
6	с этой точки	1	5
7	этой точки зрения	1	5
8	для того чтобы	1	5
9	не только в	3	4
10	и в этом	2	4
11	той или иной	1	4
12	в той или	1	3
13	в этом смысле	4	3
14	в этом отношении	4	3
15	можно было бы	1	3
16	в применении к	1	3
17	в известном смысле	1	3
18	во всяком случае	4	3
19	можно сказать что	1	3
20	в известной степени	1	3
21	того что в	1	2
22	прежде всего в	3	2
23	между прочим и	1	2
24	не говоря уже	1	2
25	то что в	1	2
26	и в частности	1	2
27	заключается в том	2	2
28	с другой стороны	4	2
29	не может быть	5	2
30	в свою очередь	1	2
31	в одном из	1	2
32	на то что	3	2
33	как мы видели	1	2
34	то в отношении	1	1
35	не может не	1	1
36	но так как	1	1
37	в отношении которого	1	1
38	более или менее	1	1
39	для того же	1	1
40	во многих случаях	1	1
41	в том же	1	1
42	и в качестве	1	1
43	что же касается	1	1
44	в одной из	1	1
45	отметить что эти	1	1
46	и не в	2	1
47	совершенно очевидно что	1	1
48	в эту эпоху	2	1
49	в лучшем случае	1	1
50	говоря уже о	1	1
51	между тем некоторые	1	1
52	но и в	2	1
53	что в смысле	1	1
54	с западной европой	1	1
55	с тем что	3	1
56	что мы знаем	1	1
57	его жизни но	1	1
58	в ряде случаев	2	1
59	в значительной мере	1	1
60	и в этих	2	1
61	к западной европе	1	1
62	это один из	1	1
63	между тем для	1	1
64	какова должна быть	1	1
65	начиная с г	1	1
66	было бы совершенно	2	1
67	только в виде	2	1
68	в некоторых случаях	1	1
69	по большей части	1	1
70	во всех этих	2	1
71	то время как	4	1
72	в связи с	3	1
73	независимо от этого	1	1
74	было бы неправильно	1	1
75	в каком смысле	2	1
76	том смысле что	1	1
77	не означает что	1	1
78	в то время	4	1
79	связи с этим	1	1
80	не имеет шансов	1	1
81	речь идет о	1	1
82	к тому что	2	1
83	в том смысле	2	1
84	т е не	1	1
85	независимо от того	2	1
86	он считает что	2	1
87	только тогда когда	2	1
88	отметить что в	1	1
89	и т д	2	1
90	а также от	1	1
