N	3gram	Bakhtin_sl_1	SlovoVZh
1	не может быть	1	7
2	можно сказать что	1	5
3	дело в том	1	4
4	в том что	1	4
5	и не может	2	3
6	тем не менее	1	3
7	бы то ни	1	3
8	может быть и	1	3
9	этой точки зрения	1	3
10	до сих пор	2	3
11	и не в	1	3
12	то ни было	1	3
13	и то же	2	2
14	в какой степени	1	2
15	к автору и	1	2
16	имеем в виду	1	2
17	с другой стороны	4	2
18	мы все время	1	2
19	с точки зрения	8	2
20	в зависимости от	3	2
21	до известной степени	2	2
22	находит свое выражение	1	2
23	одно и то	2	2
24	в отношении к	6	2
25	в данном случае	3	2
26	с одной стороны	4	2
27	тех или иных	1	1
28	том что всякий	1	1
29	все то в	1	1
30	высказывания как бы	1	1
31	социологического подхода к	1	1
32	а между тем	2	1
33	и в этом	2	1
34	строит свое высказывание	1	1
35	каково бы оно	1	1
36	и несводимо к	1	1
37	и потому не	1	1
38	выходящая за пределы	1	1
39	какой степени не	1	1
40	прежде всего именно	1	1
41	и др все	1	1
42	бы оно ни	1	1
43	в поэзии слово	1	1
44	то время как	2	1
45	бы они ни	1	1
46	более или менее	3	1
47	во всяком случае	5	1
48	мы уже сказали	2	1
49	не должно быть	1	1
50	не из словаря	1	1
51	какая бы то	1	1
52	они как бы	2	1
53	друг о друге	2	1
54	самом же деле	1	1
55	с ним в	1	1
56	свое выражение в	2	1
57	точки зрения является	1	1
58	в нем и	1	1
59	слово в поэзии	1	1
60	определяется прежде всего	2	1
61	в то время	2	1
62	здесь таким образом	1	1
63	а не к	1	1
64	оно ни было	1	1
65	равно как и	1	1
66	точками зрения на	1	1
67	каковы бы они	1	1
68	не имеют общего	1	1
69	свою связь с	1	1
70	в свою очередь	2	1
71	но и в	1	1
72	и др и	2	1
73	оставаясь в пределах	1	1
74	на самом же	1	1
75	о том что	1	1
76	в этом отношении	1	1
77	по аналогии с	1	1
78	с самого начала	1	1
79	никогда не бывает	1	1
80	обстоит дело и	1	1
81	может находиться в	1	1
82	ни в какой	1	1
83	и прежде всего	1	1
84	можно было бы	2	1
85	в поэтическом произведении	3	1
86	то же время	12	1
87	как мы уже	2	1
88	между тем это	1	1
89	он еще не	1	1
90	включает в себя	1	1
91	точки зрения не	1	1
92	быть более или	1	1
93	мы имеем в	1	1
94	в противном случае	1	1
95	в лучшем случае	2	1
96	они ни были	1	1
97	и в истории	1	1
98	со всех сторон	1	1
99	может быть только	2	1
100	по крайней мере	1	1
101	в то же	12	1
102	третье лицо и	1	1
103	точек зрения и	1	1
104	в каком направлении	1	1
105	в процессе живого	1	1
106	и в частности	1	1
107	в том и	2	1
108	в значительной степени	1	1
109	автору и его	1	1
110	не может находиться	1	1
111	и на события	1	1
112	в виду не	1	1
113	за его пределы	1	1
114	как и в	1	1
115	в литературе и	1	1
116	близости к автору	1	1
117	но в то	4	1
118	как бы заключает	1	1
119	и слово в	1	1
120	и с другой	1	1
121	с жизнью и	1	1
