N	2gram	Voloshinov_1	EvropaiE
1	и в	12	37
2	в отношении	2	32
3	в пределах	3	25
4	точки зрения	14	23
5	что в	2	21
6	не только	4	18
7	с точки	2	17
8	в то	2	16
9	то же	5	15
10	хотя бы	5	15
11	отношении к	3	15
12	в своем	2	14
13	но в	5	14
14	же время	1	14
15	в качестве	1	14
16	но и	3	14
17	и не	10	14
18	в этом	4	12
19	в области	1	11
20	в том	6	11
21	так и	4	10
22	отнюдь не	5	9
23	в себе	3	9
24	только в	6	9
25	прежде всего	8	9
26	все более	1	9
27	не может	16	9
28	так же	3	9
29	в смысле	1	9
30	в ее	1	8
31	думать что	1	8
32	было бы	1	8
33	в своей	3	8
34	к тому	1	8
35	между тем	3	8
36	с одной	2	8
37	одной стороны	2	8
38	нам кажется	1	7
39	того что	3	7
40	так как	9	7
41	с другой	4	7
42	как и	5	7
43	может быть	14	6
44	и на	4	6
45	во всех	1	6
46	стороны и	2	6
47	то есть	1	6
48	том что	5	6
49	того чтобы	1	6
50	вовсе не	1	6
51	как бы	13	6
52	с этой	2	6
53	то что	5	6
54	же как	1	5
55	столь же	1	5
56	но не	2	5
57	не в	4	5
58	и по	3	5
59	но если	1	5
60	как мы	1	5
61	в виде	1	5
62	в частности	1	5
63	и потому	2	5
64	этой точки	3	5
65	то в	1	4
66	мы не	3	4
67	в ней	6	4
68	независимо от	2	4
69	в самом	4	4
70	во многих	1	4
71	то ни	3	4
72	несмотря на	1	4
73	и притом	2	4
74	в процессе	6	4
75	бы то	3	4
76	по себе	3	4
77	можно сказать	5	4
78	тем более	1	4
79	именно в	1	4
80	ни было	4	4
81	не на	1	4
82	как это	2	4
83	для нас	7	4
84	сказать что	7	4
85	или иного	1	4
86	культуры в	1	4
87	в каком	3	4
88	на себя	1	3
89	в общем	1	3
90	как в	5	3
91	когда он	3	3
92	и к	4	3
93	себе не	1	3
94	мы можем	2	3
95	и мы	1	3
96	этом смысле	1	3
97	и тем	1	3
98	в них	3	3
99	мы видели	1	3
100	и некоторые	1	3
101	она в	1	3
102	дело в	4	3
103	никогда не	5	3
104	уже и	1	3
105	можно было	1	3
106	приближается к	1	3
107	о том	3	3
108	место в	2	3
109	что и	2	3
110	отметить что	1	3
111	и только	1	3
112	всяком случае	1	3
113	не из	1	3
114	себе в	1	3
115	к ним	2	3
116	этом отношении	1	3
117	и прежде	1	3
118	в свою	1	3
119	говорит о	1	3
120	там где	2	3
121	ни на	2	3
122	в данном	2	3
123	не является	1	3
124	известной степени	2	3
125	и для	3	3
126	в результате	1	3
127	обстоит дело	1	3
128	жизни в	1	3
129	как на	2	3
130	в таком	1	3
131	во всяком	1	3
132	и то	2	2
133	по преимуществу	1	2
134	ведь и	3	2
135	должна быть	5	2
136	не нужно	1	2
137	на них	1	2
138	между собой	2	2
139	точка зрения	3	2
140	в свои	1	2
141	за вычетом	1	2
142	в истории	1	2
143	поскольку они	2	2
144	хотя и	1	2
145	можно в	1	2
146	что это	1	2
147	он не	2	2
148	на одну	1	2
149	какой бы	1	2
150	таким образом	12	2
151	и с	3	2
152	с другими	2	2
153	для них	1	2
154	далеко не	1	2
155	одна и	1	2
156	такой же	2	2
157	и того	1	2
158	в этих	2	2
159	и сейчас	1	2
160	в котором	3	2
161	не к	3	2
162	и более	3	2
163	можем сказать	2	2
164	она не	2	2
165	тогда когда	2	2
166	по своей	1	2
167	как будто	1	2
168	если этот	1	2
169	в порядке	1	2
170	не могут	1	2
171	могут быть	2	2
172	имеет место	2	2
173	как не	2	2
174	свою очередь	1	2
175	данном случае	2	2
176	на основе	1	2
177	если бы	9	2
178	в содержании	1	2
179	и та	2	2
180	и что	2	2
181	кажется что	1	2
182	в значительной	1	2
183	и во	1	2
184	к нему	4	2
185	в его	2	2
186	и можно	1	2
187	мы должны	1	2
188	в какой	2	2
189	есть в	1	2
190	не можем	1	2
191	в большинстве	1	2
192	при помощи	1	2
193	следует отметить	1	2
194	участие в	1	2
195	в одном	1	2
196	влияние на	2	2
197	каких бы	1	2
198	как же	2	2
199	только к	1	2
200	в некоторых	3	2
201	а не	5	2
202	что все	1	2
203	нужно думать	1	2
204	вместе с	2	2
205	относятся к	1	2
206	наряду с	1	2
207	или хотя	1	2
208	и таким	1	2
209	и все	2	2
210	еще более	1	2
211	и наконец	3	2
212	не есть	2	2
213	имеет в	3	2
214	между ними	2	2
215	другой стороны	2	2
216	частности в	1	2
217	жизни и	4	2
218	и эта	1	2
219	так но	1	1
220	ту же	1	1
221	ко всем	2	1
222	например в	1	1
223	мы здесь	1	1
224	и это	1	1
225	но тем	2	1
226	права и	1	1
227	исходит из	1	1
228	противном случае	1	1
229	к попытке	1	1
230	с таким	1	1
231	определяется в	1	1
232	часть его	1	1
233	чтобы не	1	1
234	области идеологии	1	1
235	время как	1	1
236	социальной группы	3	1
237	когда мы	1	1
238	не способен	2	1
239	может дать	1	1
240	оценок и	2	1
241	с его	2	1
242	окружающей ее	1	1
243	тем как	2	1
244	то мы	1	1
245	и всего	1	1
246	к которой	1	1
247	значение и	1	1
248	по отношению	11	1
249	других областей	1	1
250	за пределы	4	1
251	относится к	2	1
252	в одной	1	1
253	все остальные	1	1
254	все же	4	1
255	в противном	1	1
256	кроме того	2	1
257	его к	2	1
258	более или	1	1
259	увидим что	1	1
260	та же	1	1
261	в нашем	11	1
262	которые в	1	1
263	близости к	1	1
264	один и	1	1
265	и тот	1	1
266	бы только	1	1
267	тому же	2	1
268	и те	2	1
269	из общей	2	1
270	жизнью и	2	1
271	при этом	6	1
272	в переводе	1	1
273	смысле она	1	1
274	к некоторому	1	1
275	эта последняя	2	1
276	одну доску	1	1
277	не как	1	1
278	в корне	2	1
279	в новой	1	1
280	на этом	1	1
281	это один	1	1
282	или иных	1	1
283	но все	2	1
284	значительной степени	1	1
285	от нее	1	1
286	бы они	1	1
287	в нем	6	1
288	оно всегда	1	1
289	они должны	1	1
290	характерной чертой	1	1
291	которой принадлежит	1	1
292	ценности и	1	1
293	входя в	1	1
294	входит в	1	1
295	и иных	1	1
296	отражение в	1	1
297	в жизни	5	1
298	рядом с	1	1
299	товара из	1	1
300	и было	1	1
301	или менее	1	1
302	в изучении	1	1
303	именно и	1	1
304	в такой	3	1
305	признать что	1	1
306	этого содержания	1	1
307	том же	1	1
308	для этого	1	1
309	для нее	1	1
310	с так	1	1
311	все эти	3	1
312	не менее	3	1
313	в обоих	1	1
314	здесь на	1	1
315	и химические	1	1
316	мы все	4	1
317	наблюдений над	1	1
318	для всего	1	1
319	это мы	1	1
320	рассматривать как	1	1
321	только и	1	1
322	они являются	1	1
323	ли из	1	1
324	и его	13	1
325	бы по	1	1
326	связи с	1	1
327	пределах этого	1	1
328	так называемый	1	1
329	подобно этому	1	1
330	в основе	1	1
331	только отдельные	1	1
332	у нас	1	1
333	его для	1	1
334	должны быть	1	1
335	но из	1	1
336	свое значение	1	1
337	что современная	1	1
338	и о	1	1
339	и художественное	1	1
340	то она	1	1
341	спроса и	2	1
342	то время	1	1
343	в рамки	1	1
344	литературы и	4	1
345	те же	2	1
346	по природе	2	1
347	является в	1	1
348	и вообще	3	1
349	к другу	1	1
350	с ним	3	1
351	сводится к	1	1
352	и кровь	1	1
353	притом с	1	1
354	той социальной	2	1
355	положения и	1	1
356	которые мы	2	1
357	того в	1	1
358	нем и	1	1
359	и следовательно	5	1
360	в лучшем	1	1
361	и характером	1	1
362	друг к	1	1
363	ее например	1	1
364	силы этих	1	1
365	быть и	3	1
366	в двух	1	1
367	тот же	1	1
368	дело с	2	1
369	мы увидим	1	1
370	ли он	1	1
371	политики так	1	1
372	как нечто	1	1
373	и ее	3	1
374	рынка и	2	1
375	конечно не	3	1
376	уже не	4	1
377	уже в	2	1
378	если мы	1	1
379	что не	4	1
380	одно из	1	1
381	для него	3	1
382	и их	1	1
383	и должна	1	1
384	как его	1	1
385	бытия и	1	1
386	быть обязательно	1	1
387	от того	4	1
388	вне ее	1	1
389	социальной средой	2	1
390	образом к	1	1
391	своем значении	1	1
392	выходит за	1	1
393	на примере	2	1
394	к которому	1	1
395	что для	1	1
396	физические и	1	1
397	не было	1	1
398	зависит от	2	1
399	так называемой	3	1
400	него не	1	1
401	что мы	5	1
402	связь с	2	1
403	нет ничего	2	1
404	видели в	1	1
405	как одно	1	1
406	есть только	1	1
407	случае она	1	1
408	должно быть	1	1
409	с ее	1	1
410	слова и	6	1
411	аналогии с	1	1
412	живет и	1	1
413	в формах	2	1
414	начинает стремиться	1	1
415	лучшем случае	1	1
416	тех или	1	1
417	более того	2	1
418	при таком	1	1
419	лицо и	1	1
420	что оно	1	1
421	а к	2	1
422	ее и	3	1
423	особого рода	1	1
424	но это	2	1
425	и другие	2	1
426	с ней	1	1
427	ни была	1	1
428	но этот	2	1
429	и дальнейшее	1	1
430	оно не	2	1
431	как некая	1	1
432	время не	1	1
433	включает в	1	1
434	вполне понятно	1	1
435	только одна	1	1
