N	2gram	Savitsky_E_1	Tragedij
1	и в	37	18
2	в этом	12	9
3	не только	18	8
4	он сам	2	7
5	и с	2	7
6	и на	6	7
7	может быть	6	7
8	как бы	6	7
9	и не	14	7
10	но в	14	6
11	и его	1	6
12	же время	14	6
13	то же	15	5
14	все же	1	5
15	что это	2	5
16	как и	7	5
17	несмотря на	4	5
18	в то	16	5
19	так и	10	5
20	не может	9	5
21	к жизни	1	5
22	в себе	9	4
23	в этой	2	4
24	в нем	1	4
25	об этом	1	4
26	том что	6	4
27	и что	2	4
28	но и	14	4
29	и даже	6	4
30	прежде всего	9	4
31	так же	9	4
32	но это	1	4
33	что в	21	4
34	и все	2	4
35	то что	6	4
36	в мире	2	3
37	отнюдь не	9	3
38	как в	3	3
39	в своем	14	3
40	и как	2	3
41	все эти	1	3
42	при этом	1	3
43	то есть	6	3
44	должно быть	1	3
45	тем самым	5	3
46	что с	1	3
47	с ее	1	3
48	и сам	1	3
49	мог бы	2	3
50	с ним	1	3
51	к нему	2	3
52	в его	2	3
53	один из	1	3
54	уже в	1	3
55	для него	1	3
56	как будто	2	3
57	как это	4	3
58	что за	1	3
59	и до	1	2
60	что эти	2	2
61	никогда не	3	2
62	и то	2	2
63	другим в	1	2
64	столь же	5	2
65	с его	1	2
66	отличие от	1	2
67	имеет в	2	2
68	с г	1	2
69	в самом	4	2
70	бы и	3	2
71	то и	1	2
72	жизнью и	1	2
73	и лучше	1	2
74	он не	2	2
75	но все	1	2
76	что все	2	2
77	к области	1	2
78	с тем	3	2
79	в отличие	1	2
80	вопрос о	4	2
81	одном из	2	2
82	не в	5	2
83	но они	1	2
84	одна из	1	2
85	не имеет	4	2
86	в русском	1	2
87	не могут	2	2
88	к тому	8	2
89	и это	1	2
90	в ее	8	2
91	данном случае	2	2
92	еще в	1	2
93	о том	3	2
94	времени в	1	2
95	что и	3	2
96	в том	11	2
97	x и	1	2
98	который в	1	2
99	и ее	1	2
100	на всем	4	2
101	и детей	1	2
102	уже не	1	2
103	в виде	5	2
104	в известной	3	2
105	в одном	2	2
106	тем что	3	2
107	как же	2	2
108	только к	2	2
109	говорит о	3	2
110	в данном	3	2
111	в силах	1	2
112	потому что	3	2
113	в частности	5	2
114	в таком	3	2
115	ту же	1	1
116	также что	1	1
117	и т	1	1
118	наивность этого	1	1
119	например в	1	1
120	в сфере	3	1
121	он считает	1	1
122	отметим что	1	1
123	силы и	1	1
124	же по	1	1
125	исходит из	1	1
126	должна быть	2	1
127	той же	1	1
128	не исключено	1	1
129	смотреть на	1	1
130	на себя	3	1
131	вместо того	1	1
132	самой природе	1	1
133	не способен	1	1
134	в ней	4	1
135	литературы и	1	1
136	представляет собой	3	1
137	между собой	2	1
138	быть в	1	1
139	во всех	6	1
140	но не	5	1
141	но как	2	1
142	всем его	1	1
143	значение и	1	1
144	с совершенно	1	1
145	к проблемам	1	1
146	тогда как	1	1
147	за пределы	1	1
148	к сожалению	1	1
149	в истории	2	1
150	в центре	1	1
151	мысль о	1	1
152	и наконец	2	1
153	x в	3	1
154	то в	4	1
155	за свои	1	1
156	чтобы превратить	1	1
157	он в	1	1
158	имеет для	1	1
159	и если	2	1
160	вообще не	3	1
161	на западе	1	1
162	в переводе	1	1
163	и еще	2	1
164	не значит	1	1
165	не к	2	1
166	не как	1	1
167	в россии	5	1
168	этом мире	1	1
169	и по	5	1
170	на этом	1	1
171	таким образом	2	1
172	от нее	1	1
173	а затем	1	1
174	мира против	1	1
175	на ту	1	1
176	лишь в	1	1
177	заключается в	2	1
178	лишь на	1	1
179	в них	3	1
180	с такой	1	1
181	в развитии	2	1
182	перед собой	1	1
183	есть такая	1	1
184	но если	5	1
185	в своей	8	1
186	в такой	1	1
187	в котором	2	1
188	если можно	1	1
189	исключено что	1	1
190	представление о	2	1
191	по самой	1	1
192	значение для	1	1
193	мы отметим	1	1
194	с такими	1	1
195	возвращается к	1	1
196	по себе	4	1
197	тому что	1	1
198	не менее	1	1
199	вплоть до	1	1
200	играть в	1	1
201	что эта	1	1
202	она не	2	1
203	на земле	1	1
204	в обоих	1	1
205	россии но	6	1
206	считает что	1	1
207	как его	1	1
208	нельзя ли	3	1
209	на путях	4	1
210	это мы	1	1
211	в отношениях	1	1
212	а поскольку	2	1
213	в самой	1	1
214	бы сказали	1	1
215	иными словами	4	1
216	и притом	4	1
217	к ней	4	1
218	по своей	2	1
219	связь и	1	1
220	для нас	4	1
221	и теперь	2	1
222	связи с	1	1
223	является ли	3	1
224	что на	2	1
225	в области	11	1
226	ли это	3	1
227	но все-таки	1	1
228	и далее	1	1
229	xx века	1	1
230	по нашему	3	1
231	значение только	2	1
232	могут быть	2	1
233	что оно	1	1
234	не есть	2	1
235	свое значение	1	1
236	что при	1	1
237	ибо тем	1	1
238	утверждать что	2	1
239	в применении	3	1
240	как мы	5	1
241	и о	1	1
242	того чтобы	6	1
243	людей в	1	1
244	всего этого	1	1
245	с собой	1	1
246	можно было	3	1
247	по природе	1	1
248	во многом	2	1
249	когда его	1	1
250	когда в	1	1
251	по сравнению	2	1
252	на них	2	1
253	быть может	1	1
254	на вопрос	1	1
255	это должно	1	1
256	а также	7	1
257	чтобы не	1	1
258	связь между	1	1
259	между тем	8	1
260	отметить что	3	1
261	не сводится	1	1
262	он рассматривает	1	1
263	xix век	1	1
264	того что	7	1
265	при самом	1	1
266	к россии	4	1
267	его собственная	2	1
268	в новой	1	1
269	мы видим	2	1
270	с ними	1	1
271	что даже	1	1
272	только в	9	1
273	во всем	1	1
274	как нечто	1	1
275	природе вещей	1	1
276	с одной	8	1
277	есть в	2	1
278	мы бы	1	1
279	дело с	1	1
280	завершения в	1	1
281	отцов и	1	1
282	мы отнюдь	1	1
283	но от	1	1
284	в общем	3	1
285	одно из	1	1
286	и их	1	1
287	всяком случае	3	1
288	и должна	1	1
289	к ним	3	1
290	рядом с	1	1
291	на уровне	2	1
292	даже не	1	1
293	именно в	4	1
294	в каких	1	1
295	что не	1	1
296	обратиться к	1	1
297	может жить	1	1
298	не было	1	1
299	а на	1	1
300	на этот	2	1
301	нашему мнению	2	1
302	а не	2	1
303	власти и	1	1
304	с которым	1	1
305	не быть	1	1
306	в связи	1	1
307	более чем	2	1
308	время с	1	1
309	вместе с	2	1
310	ко всем	1	1
311	и потому	5	1
312	не из	3	1
313	если так	1	1
314	обратное народ	1	1
315	сравнению с	2	1
316	наряду с	2	1
317	в той	5	1
318	смысле этого	1	1
319	применении к	3	1
320	от природы	1	1
321	для понимания	2	1
322	этого слова	1	1
323	с этой	6	1
324	и от	3	1
325	не является	3	1
326	известной степени	3	1
327	при таком	1	1
328	грубость и	1	1
329	в результате	3	1
330	а к	1	1
331	в двух	1	1
332	это может	1	1
333	из себя	1	1
334	бы в	2	1
335	хотя бы	15	1
336	обстоит дело	3	1
337	жизни в	3	1
338	к числу	1	1
339	мы оставим	1	1
340	но этот	1	1
341	ко всему	2	1
342	т е	9	1
343	но еще	2	1
344	к этой	1	1
345	ii с	1	1
346	и эта	2	1
347	это в	1	1
348	во всяком	3	1
