N	3gram	Savitsky_E_1	Formalny
1	не может быть	2	10
2	в связи с	1	10
3	с точки зрения	16	7
4	в этом отношении	3	7
5	и в этом	4	5
6	с тем что	1	5
7	то же время	14	5
8	в то же	15	5
9	во всяком случае	3	5
10	и т д	1	5
11	как мы видели	2	4
12	не могут быть	1	4
13	того или иного	4	4
14	из всего этого	1	3
15	и в то	8	3
16	но и в	1	3
17	может быть и	1	3
18	в большинстве случаев	2	3
19	в значительной степени	1	3
20	в том смысле	1	3
21	с другой стороны	2	3
22	так и в	2	3
23	связи с этим	1	3
24	хотя бы в	2	3
25	для того чтобы	5	3
26	и в характере	1	2
27	прежде всего в	2	2
28	в этом смысле	3	2
29	и то и	1	2
30	в отличие от	1	2
31	в том случае	1	2
32	к тому чтобы	2	2
33	то и другое	1	2
34	в применении к	3	2
35	дело идет о	2	2
36	при известных условиях	1	2
37	и прежде всего	3	2
38	к тому что	1	2
39	том смысле что	1	2
40	в том что	6	2
41	и не в	1	2
42	следует отметить что	1	1
43	что же касается	1	1
44	в своем развитии	1	1
45	этого отнюдь не	1	1
46	что в самом	1	1
47	более или менее	1	1
48	но если в	1	1
49	не говоря уже	2	1
50	имеет значение лишь	1	1
51	значение лишь в	1	1
52	нам кажется что	2	1
53	с одной стороны	8	1
54	на своем пути	1	1
55	в одной из	1	1
56	как связь с	1	1
57	только в том	2	1
58	и для всех	1	1
59	говоря уже о	1	1
60	же время в	1	1
61	же время не	1	1
62	во всех этих	1	1
63	из того что	2	1
64	в этот период	1	1
65	на этот вопрос	1	1
66	при помощи этого	1	1
67	в противном случае	1	1
68	то или иное	1	1
69	и в этих	1	1
70	том случае если	1	1
71	это может быть	1	1
72	мы не можем	1	1
73	можно думать что	3	1
74	в данном случае	2	1
75	этих положений и	1	1
76	но в то	2	1
77	вовсе не обязательно	1	1
78	и тот же	1	1
79	смысле этого слова	1	1
80	бы столь же	1	1
81	всего этого следует	1	1
82	между тем в	3	1
83	в большей или	1	1
84	или меньшей степени	1	1
85	чуть ли не	1	1
86	так и для	1	1
87	бы то ни	4	1
88	до настоящего времени	1	1
89	один и тот	1	1
90	в других случаях	1	1
91	например с точки	2	1
92	каждого из них	1	1
93	очевидно что в	2	1
94	только в качестве	1	1
95	мы бы сказали	1	1
96	большей или меньшей	1	1
97	и тем самым	1	1
98	в свою очередь	2	1
99	слова и в	1	1
100	оно не может	1	1
101	главным образом из	1	1
102	в известной степени	3	1
103	совершенно очевидно что	1	1
104	от этого отнюдь	1	1
105	в этом периоде	1	1
106	в этом явлении	1	1
107	и до настоящего	1	1
108	на то чтобы	1	1
109	как его понимает	1	1
110	констатировать что эта	1	1
111	отметить что в	1	1
