N	2gram	Voloshinov_1	slovoVRo
1	и в	15	39
2	может быть	13	37
3	и т	1	35
4	и его	15	33
5	то есть	1	26
6	не только	5	24
7	и не	16	22
8	но и	4	21
9	не может	13	20
10	в нем	4	19
11	до конца	5	17
12	в этом	13	16
13	все это	5	16
14	так и	10	15
15	а не	2	14
16	отличие от	1	13
17	как в	3	13
18	в процессе	4	13
19	слова в	1	13
20	во всех	8	12
21	в отличие	1	12
22	в истории	3	11
23	слово в	1	11
24	вовсе не	2	10
25	к своему	1	9
26	и с	7	9
27	не в	4	9
28	со своим	1	9
29	таким образом	21	8
30	оно не	2	8
31	себя в	2	8
32	прежде всего	11	8
33	слова и	2	8
34	точки зрения	13	8
35	еще не	7	7
36	с его	8	7
37	в него	2	7
38	при этом	7	7
39	в этих	2	7
40	для него	5	7
41	с ним	12	7
42	никогда не	7	7
43	могут быть	6	7
44	как мы	10	7
45	в его	9	7
46	и даже	2	7
47	и потому	8	7
48	как бы	11	7
49	но не	5	6
50	в своем	2	6
51	все же	5	6
52	и к	7	6
53	но в	9	6
54	все эти	9	6
55	так сказать	3	6
56	как и	6	6
57	она не	2	6
58	в большинстве	4	6
59	человек в	1	6
60	этом случае	1	6
61	жизни и	5	6
62	например в	1	5
63	человека в	3	5
64	это не	2	5
65	том что	5	5
66	по себе	2	5
67	не могут	3	5
68	но все	2	5
69	мира и	1	5
70	с другой	1	5
71	один из	4	5
72	в том	4	5
73	с ними	4	5
74	с одной	1	5
75	конечно не	3	5
76	уже не	5	5
77	одной стороны	1	5
78	или иной	1	5
79	большинстве случаев	5	5
80	и для	2	5
81	только в	6	5
82	и все	4	5
83	и наконец	10	5
84	отношения к	2	4
85	в зависимости	2	4
86	и на	3	4
87	по отношению	11	4
88	отношение к	7	4
89	связанные с	2	4
90	всех этих	5	4
91	в узком	2	4
92	то же	7	4
93	всех областях	1	4
94	художественный образ	2	4
95	его в	8	4
96	входит в	1	4
97	с другими	5	4
98	на почве	2	4
99	ни в	6	4
100	в отношении	2	4
101	не менее	3	4
102	в то	6	4
103	одна из	3	4
104	в основе	3	4
105	же время	5	4
106	или как	3	4
107	зависимости от	2	4
108	что оно	2	4
109	для этого	4	4
110	борьба с	3	4
111	наконец в	1	4
112	для всех	2	4
113	так как	9	4
114	и др	8	4
115	себя и	3	4
116	с помощью	9	4
117	узком смысле	2	4
118	в основном	2	4
119	в смысле	1	4
120	а в	6	4
121	отношению к	9	4
122	в таком	3	4
123	как это	1	3
124	должна быть	1	3
125	собственном смысле	1	3
126	той же	2	3
127	единство и	3	3
128	человека и	6	3
129	в чем	4	3
130	в собственном	2	3
131	перед нами	1	3
132	и как	1	3
133	не приходится	1	3
134	бы и	2	3
135	с их	3	3
136	борьбы с	4	3
137	со всею	3	3
138	и социальной	2	3
139	на этом	5	3
140	сознание и	4	3
141	с точки	10	3
142	точку зрения	4	3
143	связи с	1	3
144	этом отношении	2	3
145	областях жизни	1	3
146	в ней	5	3
147	а также	1	3
148	к нему	7	3
149	между тем	2	3
150	что и	2	3
151	слов и	1	3
152	быть и	2	3
153	всех его	1	3
154	с различными	2	3
155	у него	3	3
156	отметить что	2	3
157	рядом с	2	3
158	в особенности	1	3
159	связан с	1	3
160	здесь в	1	3
161	в свою	2	3
162	может иметь	1	3
163	в некоторых	1	3
164	связано с	1	3
165	слове в	1	3
166	и от	1	3
167	но это	2	3
168	и часто	2	3
169	что в	6	3
170	хотя бы	7	3
171	сказать что	6	3
172	речи и	1	3
173	во всяком	4	3
174	одним из	3	2
175	также и	1	2
176	это и	1	2
177	ведь и	2	2
178	оно было	1	2
179	с таким	1	2
180	мы уже	5	2
181	мы не	4	2
182	с ее	3	2
183	конечно и	3	2
184	всех сторон	1	2
185	в прямой	1	2
186	на них	1	2
187	не был	1	2
188	одним словом	1	2
189	но как	1	2
190	точка зрения	1	2
191	не все	1	2
192	из важнейших	2	2
193	и свои	1	2
194	за пределы	2	2
195	с этим	6	2
196	хотя и	1	2
197	себе как	1	2
198	лежит на	1	2
199	и политической	1	2
200	время это	1	2
201	свой голос	1	2
202	в нашем	3	2
203	в себе	4	2
204	роль в	6	2
205	как он	1	2
206	т д	1	2
207	он не	4	2
208	из него	2	2
209	людей и	1	2
210	в нее	1	2
211	значение в	3	2
212	конечно в	2	2
213	как особый	1	2
214	зрения и	1	2
215	в свой	2	2
216	социальных групп	1	2
217	далеко не	4	2
218	независимо от	1	2
219	мы видели	5	2
220	чем в	1	2
221	рождается и	1	2
222	смысл и	1	2
223	и другие	2	2
224	и при	3	2
225	наконец даже	1	2
226	но эта	1	2
227	которые в	1	2
228	однако в	1	2
229	даже в	1	2
230	громадное значение	1	2
231	тогда когда	1	2
232	дело в	2	2
233	материала в	1	2
234	нашего сознания	3	2
235	того чтобы	2	2
236	чем не	2	2
237	в одном	3	2
238	к ней	2	2
239	в области	3	2
240	и оно	3	2
241	на границе	1	2
242	должен быть	2	2
243	оно может	3	2
244	свою очередь	1	2
245	без всякого	1	2
246	в себя	5	2
247	степени и	1	2
248	в дальнейшем	2	2
249	как с	1	2
250	в другом	1	2
251	те же	4	2
252	особенно в	1	2
253	на ряд	1	2
254	точности и	1	2
255	о нем	1	2
256	и здесь	1	2
257	на него	4	2
258	о том	1	2
259	и т.п	2	2
260	но мы	2	2
261	притом в	1	2
262	влияние на	1	2
263	в различных	2	2
264	этот второй	1	2
265	и грубой	1	2
266	нуждается в	2	2
267	в форме	1	2
268	еще более	2	2
269	нем и	1	2
270	и существенно	1	2
271	все формы	1	2
272	к различным	1	2
273	что он	8	2
274	мы увидим	4	2
275	пор не	1	2
276	всяком случае	3	2
277	на мир	1	2
278	именно на	1	2
279	со всеми	3	2
280	уже в	1	2
281	на протяжении	5	2
282	он стремится	1	2
283	его и	2	2
284	цели и	2	2
285	в прошлом	1	2
286	в различные	1	2
