N	3gram	Losev_Prob_2	Tragedij
1	в то же	4	5
2	так и в	1	3
3	точно так же	3	2
4	и в частности	3	2
5	в данном случае	5	2
6	о том что	14	2
7	но все же	1	2
8	в том что	4	2
9	в этом случае	7	1
10	для чего же	1	1
11	предстает перед нами	1	1
12	самостоятельное значение и	2	1
13	это должно быть	1	1
14	это очень важный	1	1
15	в и ленина	1	1
16	и не может	1	1
17	хотя бы и	3	1
18	мы бы сказали	1	1
19	и то что	7	1
20	что все это	1	1
21	ничего не значит	1	1
22	в известной мере	1	1
23	это может быть	1	1
24	во всяком случае	10	1
25	он перестает быть	1	1
26	в конце концов	7	1
27	по нашему мнению	1	1
28	в общем смысле	1	1
29	обстоит дело с	1	1
30	самое большее что	1	1
31	и в этом	3	1
32	тем не менее	12	1
33	связаны между собой	1	1
34	в связи с	5	1
35	она все же	1	1
36	мы отнюдь не	1	1
37	но уже не	2	1
38	не может быть	3	1
39	это и есть	2	1
40	с самого начала	2	1
41	не только не	2	1
42	мысль о том	2	1
43	несмотря на всю	2	1
44	в самом деле	2	1
45	что он вообще	1	1
46	конце концов сам	1	1
47	в какой-то мере	1	1
48	то и дело	1	1
