N	2gram	Vygotskiy__6	BTomashe
1	у нас	2	3
2	и не	11	2
3	больше чем	3	2
4	все это	2	2
5	видеть в	1	2
6	можно было	7	2
7	не то	1	2
8	за пределы	1	1
9	тем более	1	1
10	остановиться на	3	1
11	об этом	1	1
12	и в	28	1
13	и о	1	1
14	моментом в	2	1
15	что все	5	1
16	склонен видеть	1	1
17	с другой	2	1
18	в своей	2	1
19	значение слова	3	1
20	на самом	1	1
21	на которой	1	1
22	было бы	9	1
23	все же	2	1
24	а о	1	1
25	кроме того	1	1
26	никак не	1	1
27	между ними	7	1
28	еще не	8	1
29	и на	5	1
30	в пределах	5	1
31	работу по	1	1
32	в значительной	2	1
33	прежде всего	2	1
34	в данном	2	1
35	если таким	1	1
36	и во	1	1
37	так и	6	1
38	какой-то не	1	1
39	то как	1	1
40	совершенно не	1	1
41	далеко не	1	1
42	до конца	3	1
43	а не	3	1
44	в научном	1	1
45	что в	17	1
46	в области	6	1
47	этим вопросам	2	1
48	другой стороны	2	1
49	меньшей мере	2	1
50	и ее	1	1
51	отнюдь не	1	1
52	короче говоря	1	1
53	таким образом	18	1
54	вопрос о	5	1
55	и более	2	1
56	самостоятельная и	1	1
57	не только	16	1
