N	3gram	Voloshinov_1	VeschiIm
1	и т д	1	20
2	не может быть	3	18
3	бы то ни	1	9
4	по крайней мере	1	6
5	в том что	4	6
6	в чем же	1	5
7	одно и то	1	5
8	и то же	1	5
9	в свою очередь	1	5
10	тем не менее	2	5
11	с точки зрения	10	4
12	то же время	5	4
13	в то же	5	4
14	в самом деле	5	3
15	сам по себе	2	3
16	из того что	1	3
17	в собственном смысле	1	3
18	только то что	2	3
19	можно сказать что	3	2
20	уже не может	1	2
21	дело в том	1	2
22	а есть только	1	2
23	в данном случае	3	2
24	что же такое	2	2
25	и таким образом	1	2
26	и даже не	1	2
27	никакого отношения к	1	2
28	она не может	1	2
29	но в чем	1	2
30	таким образом что	1	1
31	и может быть	2	1
32	это уже не	1	1
33	но как раз	1	1
34	что необходимо для	1	1
35	мы видим таким	1	1
36	только потому что	1	1
37	сказать не может	1	1
38	оно может быть	1	1
39	все это –	1	1
40	ничего не было	1	1
41	это было бы	1	1
42	отождествление себя с	1	1
43	нам судить о	1	1
44	есть прежде всего	1	1
45	при таких условиях	1	1
46	на себя и	1	1
47	том что он	2	1
48	в этом случае	1	1
49	и вот когда	1	1
50	том что это	1	1
51	до сих пор	3	1
52	и не может	1	1
53	тот или иной	1	1
54	в зависимости от	2	1
55	и со стороны	1	1
56	что он не	1	1
57	оно и есть	1	1
58	он и не	1	1
59	своих прежних работах	1	1
60	в себе и	1	1
61	и потому со	1	1
62	сама с собою	1	1
63	для него только	1	1
64	и тем не	1	1
65	ни в какой	1	1
66	может быть и	1	1
67	на все лады	2	1
68	хотя бы и	2	1
69	что бы то	1	1
70	т д таким	1	1
71	в своих прежних	1	1
72	того что мы	1	1
73	или хотя бы	1	1
74	один из основных	1	1
75	но в то	3	1
76	мы не знаем	1	1
77	таким образом и	1	1
78	с одной стороны	1	1
79	себя с ним	1	1
80	– только одна	1	1
81	или по крайней	1	1
82	– не только	1	1
83	в каком случае	1	1
84	– одна из	1	1
85	на вопрос о	1	1
86	ни в каком	1	1
87	во всяком случае	3	1
88	мы не можем	1	1
89	только одна из	1	1
90	в то время	1	1
91	точки зрения этого	1	1
92	это и есть	1	1
93	прежде всего к	3	1
94	о том что	1	1
95	видим таким образом	1	1
96	и прежде всего	5	1
97	но все же	1	1
98	нужно сказать что	1	1
99	для того чтобы	1	1
100	оно все же	1	1
101	и имен и	1	1
102	д таким образом	1	1
103	и только в	1	1
