N	2gram	Propp_Russ_2	VerxiiNi
1	и в	29	26
2	таким образом	6	22
3	с тем	6	18
4	в этом	11	15
5	вместе с	6	15
6	как бы	18	12
7	в том	22	11
8	из этих	2	10
9	не только	10	10
10	и с	10	10
11	может быть	13	10
12	связи с	2	9
13	так как	13	9
14	но и	8	9
15	что в	22	9
16	но не	5	8
17	главным образом	3	8
18	с другой	2	8
19	и не	1	8
20	как на	1	8
21	но в	5	7
22	связанные с	2	7
23	но все	1	7
24	из них	4	7
25	том что	22	7
26	потому что	5	7
27	к нему	4	7
28	с одной	2	7
29	то что	5	7
30	а с	2	7
31	одной стороны	2	7
32	представление о	5	6
33	все же	2	6
34	все эти	3	6
35	всяком случае	1	6
36	так и	1	6
37	о том	9	6
38	в конце	1	6
39	что и	2	6
40	несмотря на	1	6
41	и потому	1	6
42	все это	10	6
43	мы должны	1	6
44	во всяком	1	6
45	отношение к	1	5
46	тому же	1	5
47	или менее	1	5
48	не имеет	3	5
49	того чтобы	6	5
50	никогда не	2	5
51	для того	6	5
52	образом в	2	5
53	в его	1	5
54	а не	4	5
55	к жизни	5	5
56	и для	2	5
57	так же	4	5
58	более или	1	5
59	в котором	3	4
60	то же	4	4
61	в течение	2	4
62	в самом	1	4
63	в этой	3	4
64	и по	3	4
65	что все	1	4
66	с другими	3	4
67	должен был	3	4
68	далеко не	4	4
69	и тогда	1	4
70	в которых	4	4
71	в то	2	4
72	в нем	1	4
73	а в	9	4
74	и что	5	4
75	только в	1	4
76	не может	5	4
77	из которых	2	4
78	и от	3	4
79	в этих	3	4
80	во время	12	4
81	что он	1	4
82	в виде	4	4
83	же как	4	3
84	религии в	1	3
85	так называемые	1	3
86	в народном	3	3
87	если в	1	3
88	к сожалению	1	3
89	в своем	1	3
90	когда он	1	3
91	и как	2	3
92	в которой	2	3
93	что это	3	3
94	и если	1	3
95	при этом	6	3
96	и при	2	3
97	тем не	2	3
98	если бы	1	3
99	не менее	2	3
100	как о	1	3
101	представляет собой	2	3
102	в других	15	3
103	и о	3	3
104	в народных	1	3
105	на нее	6	3
106	можно сказать	1	3
107	того что	3	3
108	но с	1	3
109	в качестве	3	3
110	так что	4	3
111	из которого	1	3
112	уже не	4	3
113	что эти	1	3
114	а после	1	3
115	для него	1	3
116	в одном	1	3
117	к ним	1	3
118	случае не	1	3
119	и даже	1	3
120	с ней	5	3
121	а так	1	3
122	с этой	2	3
123	и таким	1	3
124	у них	2	3
125	и другие	14	3
126	к этому	5	3
127	в таком	4	3
128	одним из	2	2
129	в русских	4	2
130	и это	1	2
131	мы имеем	6	2
132	жизни по	1	2
133	так чтобы	2	2
134	еще не	6	2
135	и на	6	2
136	во всех	3	2
137	отличаются от	1	2
138	относится к	1	2
139	что именно	1	2
140	некоторые из	1	2
141	и наконец	1	2
142	еще на	1	2
143	он в	1	2
144	на то	1	2
145	не могла	1	2
146	не к	2	2
147	от людей	1	2
148	состоит в	15	2
149	людей и	2	2
150	на все	1	2
151	что большинство	1	2
152	в них	4	2
153	русской почве	1	2
154	не всегда	3	2
155	мы видели	7	2
156	нужно чтобы	1	2
157	но если	3	2
158	которые в	1	2
159	не в	4	2
160	как от	1	2
161	того момента	1	2
162	тогда когда	4	2
163	связан и	1	2
164	ее с	1	2
165	с одним	1	2
166	и является	1	2
167	и после	3	2
168	так например	1	2
169	этом отношении	1	2
170	и здесь	1	2
171	начиная с	2	2
172	те и	1	2
173	и другой	3	2
174	ничего общего	1	2
175	и сами	1	2
176	приводит к	1	2
177	в образе	2	2
178	не с	2	2
179	связанных с	1	2
180	можно только	1	2
181	для этого	5	2
182	в виду	2	2
183	с того	1	2
184	а также	4	2
185	должно было	3	2
186	между тем	3	2
187	востока и	1	2
188	быть и	1	2
189	по своей	1	2
190	один из	2	2
191	тот же	1	2
192	и действительно	1	2
193	очень много	1	2
194	от них	1	2
195	иной характер	2	2
196	уже в	1	2
197	одно из	2	2
198	но вместе	2	2
199	из своих	1	2
200	именно в	4	2
201	по своим	1	2
202	прежде всего	2	2
203	выступает в	1	2
204	связано с	2	2
205	превращается в	1	2
206	не было	2	2
207	его смерти	1	2
208	и все	4	2
209	когда же	1	2
210	всех других	1	2
211	в одно	1	2
212	должна была	5	2
213	связь с	3	2
214	и особенно	1	2
215	и мир	1	2
216	по своему	1	2
217	на русской	1	2
218	по существу	4	2
219	на пути	1	2
220	только для	1	2
221	или по	1	2
222	тем и	2	2
223	совершенно иной	1	2
224	из себя	1	2
225	в эту	3	2
226	только что	1	2
227	в свою	1	2
228	сказать что	1	2
229	одновременно и	1	2
230	ко всему	1	2
231	из этого	2	2
232	все что	1	2
233	это неверно	1	1
234	как эти	1	1
235	вряд ли	2	1
236	женщины и	1	1
237	можно говорить	1	1
238	к их	1	1
239	в этот	10	1
240	рассматривается как	2	1
241	и через	3	1
242	раз этот	1	1
243	а между	1	1
244	он может	1	1
245	это и	2	1
246	в среду	1	1
247	и есть	1	1
248	как существа	1	1
249	магическая сила	1	1
250	и до	1	1
251	мы уже	1	1
252	а как	1	1
253	выходить из	1	1
254	превратились в	1	1
255	мы не	6	1
256	этом не	1	1
257	представлением о	1	1
258	время как	1	1
259	совпадает с	1	1
260	мы и	1	1
261	не совсем	2	1
262	кто же	1	1
263	в ней	1	1
264	магии и	1	1
265	образом о	1	1
266	на них	4	1
267	что его	1	1
268	привели к	1	1
269	природы и	2	1
270	они у	1	1
271	землю и	1	1
272	видели что	4	1
273	а и	2	1
274	а через	2	1
275	что так	1	1
276	отличие от	3	1
277	предшествующие ему	1	1
278	что они	1	1
279	в одной	1	1
280	эта связь	2	1
281	как в	7	1
282	для совершения	1	1
283	желаний и	1	1
284	некоторое время	1	1
285	народа в	1	1
286	что касается	1	1
287	его к	1	1
288	есть ли	1	1
289	от этого	1	1
290	человек сразу	1	1
291	них как	2	1
292	та же	2	1
293	не был	2	1
294	то время	2	1
295	божества а	1	1
296	не более	1	1
297	что к	1	1
298	и будущее	1	1
299	если он	2	1
300	так сказать	1	1
