N	2gram	Berdyaev_N_1	Hudozhes
1	в мире	3	23
2	и не	11	16
3	не только	5	15
4	и в	16	15
5	в том	8	15
6	может быть	7	13
7	и его	1	12
8	а в	2	12
9	но не	2	11
10	в этом	7	11
11	в себе	2	11
12	так и	2	10
13	а не	17	10
14	но и	3	10
15	такого рода	2	9
16	в его	1	9
17	своего рода	1	8
18	себя в	2	8
19	отличие от	1	7
20	но в	2	7
21	в отличие	1	7
22	в то	2	7
23	с другой	3	7
24	с его	6	6
25	том что	2	6
26	не в	6	6
27	в основе	3	6
28	по своей	1	6
29	в ее	3	6
30	приводит к	1	6
31	не может	16	6
32	что в	9	6
33	в самом	1	5
34	то что	4	5
35	ни в	6	5
36	могут быть	2	5
37	с ее	5	5
38	можно сказать	1	5
39	а также	1	5
40	только в	1	5
41	уже не	2	5
42	и т.п	2	5
43	другой стороны	2	5
44	в нем	5	5
45	место в	2	4
46	говорить о	1	4
47	жизни как	2	4
48	еще не	3	4
49	хотя и	2	4
50	он не	8	4
51	в этих	1	4
52	в своей	3	4
53	не столько	1	4
54	во времени	1	4
55	к которому	1	4
56	прежде всего	4	4
57	а на	1	4
58	не знает	6	4
59	как это	2	4
60	к тому	3	4
61	особого рода	1	4
62	сказать что	3	4
63	того же	1	3
64	перед лицом	1	3
65	в виду	1	3
66	и к	5	3
67	в которой	1	3
68	лишь в	6	3
69	это не	4	3
70	этом смысле	2	3
71	как и	7	3
72	одного и	1	3
73	но он	1	3
74	их в	1	3
75	не менее	4	3
76	потому что	4	3
77	не будет	7	3
78	и что	2	3
79	что он	1	3
80	к нему	1	3
81	и того	1	3
82	к содержанию	2	3
83	не случайно	1	3
84	в области	1	3
85	не на	1	3
86	человеческой жизни	1	3
87	по своему	4	3
88	в той	1	3
89	и для	4	3
90	в свою	1	3
91	человека и	3	2
92	и это	2	2
93	это и	2	2
94	по преимуществу	1	2
95	но она	2	2
96	я не	2	2
97	личности с	1	2
98	и на	2	2
99	в чем	1	2
100	за пределы	3	2
101	в своем	1	2
102	говорит что	1	2
103	все эти	2	2
104	в этой	1	2
105	с их	2	2
106	в силу	1	2
107	значительной степени	1	2
108	времени и	2	2
109	времени в	2	2
110	по себе	1	2
111	в них	4	2
112	с другими	1	2
113	к такой	1	2
114	войне и	1	2
115	и более	1	2
116	том и	2	2
117	одна из	2	2
118	числе и	1	2
119	оно не	1	2
120	для себя	1	2
121	того чтобы	2	2
122	к жизни	3	2
123	роль в	2	2
124	о том	4	2
125	в значительной	1	2
126	передо мной	1	2
127	на всех	1	2
128	я думаю	1	2
129	ни к	2	2
130	с одной	2	2
131	есть в	2	2
132	слова в	1	2
133	у него	2	2
134	для того	1	2
135	себя и	1	2
136	нового времени	12	2
137	превращается в	1	2
138	мир все	1	2
139	одной стороны	2	2
140	так же	2	2
141	и особенно	1	2
142	и потому	4	2
143	как в	3	2
144	было и	1	2
145	жизни в	3	2
146	во всех	3	2
147	мира и	2	2
148	с ним	1	2
149	от всех	1	2
150	культуры в	5	2
151	том числе	1	2
152	же как	2	1
153	и через	1	1
154	и есть	10	1
155	этого мира	1	1
156	можно лишь	1	1
157	в зависимости	1	1
158	не во	4	1
159	к новой	1	1
160	от своих	1	1
161	в сущности	1	1
162	это всегда	1	1
163	как я	1	1
164	никогда не	6	1
165	зависимости от	1	1
166	думаю что	1	1
167	освобождения от	1	1
168	на них	1	1
169	людей в	1	1
170	себя а	1	1
171	на их	1	1
172	что его	1	1
173	и мира	1	1
174	себе и	1	1
175	или к	1	1
176	есть нарушение	1	1
177	в истории	3	1
178	в центре	2	1
179	обращения к	1	1
180	ей было	1	1
181	глубже чем	1	1
182	от этого	1	1
183	добро и	1	1
184	к чему	1	1
185	а во-вторых	1	1
186	из этих	1	1
187	тоже не	1	1
188	в известном	1	1
189	не могла	2	1
190	духовной культуры	1	1
191	жизнью и	1	1
192	что она	2	1
193	в мир	1	1
194	в статье	1	1
195	одному из	1	1
196	все это	5	1
197	к одному	1	1
198	подобно тому	3	1
199	заключает в	1	1
200	явление культуры	1	1
201	что все	2	1
202	таким центром	1	1
203	том случае	1	1
204	для будущего	1	1
205	а по	1	1
206	в мировой	2	1
207	не с	1	1
208	теми которые	1	1
209	это было	3	1
210	было бы	1	1
211	и героя	1	1
212	войны и	2	1
213	лишь на	1	1
214	заинтересована в	1	1
215	весь мир	1	1
216	личность в	2	1
217	в жизни	5	1
218	нет в	1	1
219	он и	1	1
220	духовной жизни	2	1
221	перед собой	1	1
222	в такой	1	1
223	мы конечно	1	1
224	внешнюю жизнь	1	1
225	в котором	1	1
226	и процесс	1	1
227	значение для	1	1
228	но во	1	1
229	в прошлом	3	1
230	не могли	2	1
231	в конце	1	1
232	и общества	2	1
233	не должно	1	1
234	это скорее	1	1
235	нас к	1	1
236	xviii века	2	1
237	но для	2	1
238	она могла	1	1
239	не имеет	4	1
240	что такое	3	1
241	того и	1	1
242	своей природе	1	1
243	не по	1	1
244	как будто	2	1
245	в каком	1	1
246	ему не	1	1
247	воспринимаются как	1	1
248	когда мы	2	1
249	во внешних	1	1
250	всего что	1	1
251	на это	1	1
252	должен быть	5	1
253	начало нового	3	1
254	та или	1	1
255	ни одно	1	1
256	то время	1	1
257	значение в	1	1
258	переход к	2	1
259	на нее	1	1
260	и религии	1	1
261	системы он	1	1
262	и зло	1	1
263	для этого	2	1
264	жизни не	3	1
265	жизнью в	2	1
266	не означает	3	1
267	мира а	2	1
268	это была	1	1
269	вопросу о	1	1
270	в которую	1	1
271	или иная	1	1
272	также еще	1	1
273	нуждается в	1	1
274	должно будет	1	1
275	может иметь	1	1
276	и мир	1	1
277	известном смысле	1	1
278	в формах	1	1
279	вступить в	1	1
280	вступление в	1	1
281	и жизни	1	1
282	содержанию а	1	1
283	же и	1	1
284	для всех	1	1
285	свидетельствует о	1	1
286	из них	1	1
287	свободу от	1	1
288	не для	1	1
289	так как	1	1
290	и от	2	1
291	к ним	3	1
292	бытия и	1	1
293	процессы которые	1	1
294	человек как	1	1
295	не было	4	1
296	в последние	1	1
297	и даже	2	1
298	на уровне	2	1
299	на ее	1	1
300	связаны с	2	1
301	во внешней	1	1
302	что не	1	1
303	к более	2	1
304	и пр	3	1
305	природе и	2	1
306	стремится к	3	1
307	всю жизнь	1	1
308	к реальному	3	1
309	зависит от	2	1
310	и означает	1	1
311	от мира	1	1
312	жизнь в	1	1
313	не всегда	1	1
314	и пути	1	1
315	как ни	1	1
