N	3gram	Savitsky_E_1	Myslijsy
1	заключает в себе	3	8
2	в том что	6	7
3	не может быть	2	5
4	само по себе	4	5
5	с тем что	1	4
6	и в этом	4	4
7	только тогда когда	1	4
8	можно сказать что	3	4
9	на то что	2	4
10	для того чтобы	5	4
11	с точки зрения	16	3
12	в том случае	1	3
13	во всяком случае	3	3
14	и т д	1	3
15	то же время	14	3
16	мы не можем	1	3
17	в то же	15	3
18	с течением времени	2	2
19	в своем развитии	1	2
20	то и другое	1	2
21	в том же	1	2
22	только в том	2	2
23	хотя бы и	3	2
24	в том смысле	1	2
25	то что в	2	2
26	на этот вопрос	1	2
27	рано или поздно	2	2
28	это потому что	1	2
29	есть то что	1	2
30	можно думать что	3	2
31	в данном случае	2	2
32	не могут быть	1	2
33	один и тот	1	2
34	очевидно что в	2	2
35	нельзя сказать чтобы	1	2
36	то есть в	1	2
37	в большинстве случаев	2	2
38	можем сказать что	1	2
39	и тот же	1	2
40	или поздно не	1	1
41	том смысле что	1	1
42	хотя и не	1	1
43	что же касается	1	1
44	то есть чем	1	1
45	в силу этого	1	1
46	их связь и	1	1
47	и того же	1	1
48	дело в том	1	1
49	но так как	1	1
50	ответить на этот	1	1
51	и та и	1	1
52	в том числе	1	1
53	нужно помнить что	1	1
54	вероятно что в	1	1
55	но какой бы	1	1
56	и не только	1	1
57	и во многих	1	1
58	во многих других	1	1
59	если так то	1	1
60	не заключает в	1	1
61	и то и	1	1
62	том случае если	1	1
63	того что мы	1	1
64	в своих частях	1	1
65	так как мы	1	1
66	но и в	1	1
67	и та же	1	1
68	в этом отношении	3	1
69	и чем больше	1	1
70	и эта последняя	1	1
71	к тому чтобы	2	1
72	для нас значение	1	1
73	та и другая	1	1
74	но и эта	1	1
75	другой стороны в	1	1
76	и не в	1	1
77	может быть и	1	1
78	а тем более	2	1
79	сказать что в	2	1
80	мы видим как	1	1
81	с одной стороны	8	1
82	чтобы ответить на	1	1
83	смысле этого слова	1	1
84	в связи с	1	1
85	и в отношении	1	1
86	этот вопрос мы	1	1
87	в свою очередь	2	1
88	это можно утверждать	1	1
89	же смысл имеет	1	1
90	более близкие к	1	1
91	как мы не	1	1
92	друг к другу	1	1
93	одна и та	1	1
94	до настоящего времени	1	1
95	с другой стороны	2	1
96	о котором мы	1	1
97	имеет для нас	1	1
98	было бы совершенно	1	1
99	более чем в	1	1
100	заключается в том	2	1
101	в то время	1	1
102	в одном из	2	1
103	как бы ни	3	1
104	речь идет о	1	1
105	том числе и	1	1
106	и тем более	1	1
107	не более как	1	1
108	кроме того что	1	1
109	одного и того	1	1
110	если бы они	1	1
111	друг от друга	2	1
112	во второй половине	2	1
113	и ту же	1	1
114	в его руках	1	1
115	для нас в	1	1
116	к тому что	1	1
117	мы различаем три	1	1
118	что же при	1	1
119	в себе в	1	1
120	одну и ту	1	1
121	значение и это	1	1
122	тех и других	1	1
123	мы видели что	1	1
