N	2gram	Medvedev_S_1	Vladivir
1	и в	3	40
2	то что	2	28
3	не только	3	25
4	и не	1	25
5	у него	1	24
6	том что	2	18
7	в том	5	18
8	но и	2	18
9	еще и	1	18
10	что в	2	17
11	в этом	5	16
12	в его	3	14
13	не может	1	14
14	в виде	1	13
15	вовсе не	1	13
16	только в	2	13
17	в конце	2	12
18	никогда не	1	11
19	таким образом	2	11
20	о том	1	11
21	и его	1	10
22	прежде всего	1	10
23	и потому	1	10
24	что это	1	9
25	в своей	1	9
26	в этой	1	8
27	и что	2	8
28	может быть	2	8
29	и как	1	7
30	что все	1	7
31	как и	1	7
32	в то	1	7
33	в те	1	7
34	а в	1	7
35	по себе	1	6
36	в смысле	2	6
37	так и	1	6
38	это значит	1	6
39	хотя бы	1	6
40	отнюдь не	1	5
41	все эти	1	5
42	тем что	1	5
43	для нас	3	5
44	ничего не	1	5
45	с другой	1	5
46	конце концов	2	5
47	что он	1	5
48	не было	1	5
49	в данном	1	5
50	то же	2	4
51	и о	1	4
52	еще не	2	4
53	но не	1	4
54	все же	1	4
55	было бы	2	4
56	в котором	1	4
57	даже в	1	4
58	тому что	1	4
59	никак не	1	4
60	а с	1	4
61	по существу	2	4
62	в результате	2	4
63	мы должны	1	4
64	в чем	1	3
65	за пределы	2	3
66	перед нами	1	3
67	свойств и	1	3
68	нельзя мыслить	1	3
69	это не	1	3
70	далеко не	2	3
71	не в	3	3
72	тех кто	1	3
73	все то	1	3
74	настоящее время	1	3
75	с одной	1	3
76	всяком случае	1	3
77	и только	3	3
78	даже не	1	3
79	именно в	1	3
80	в связи	1	3
81	одной стороны	1	3
82	как бы	2	3
83	же самое	1	3
84	в настоящее	1	3
85	или не	1	3
86	во всяком	1	3
87	должна быть	2	2
88	мы не	1	2
89	в сущности	1	2
90	первый план	1	2
91	а тем	1	2
92	но как	1	2
93	и наконец	1	2
94	только то	1	2
95	в целом	1	2
96	иначе и	1	2
97	что она	1	2
98	он ни	1	2
99	же это	1	2
100	в силу	1	2
101	и по	1	2
102	же не	1	2
103	на первый	1	2
104	в этих	1	2
105	далеки от	1	2
106	и более	1	2
107	а вот	1	2
108	но только	1	2
109	же время	1	2
110	она должна	1	2
111	ровно ничего	1	2
112	связи с	1	2
113	что на	1	2
114	точке зрения	1	2
115	вот в	1	2
116	в мире	1	2
117	его в	1	2
118	на отдельные	1	2
119	бы в	1	2
120	это же	1	2
121	ни на	1	2
122	я и	1	1
123	а между	1	1
124	и понимает	1	1
125	науки о	1	1
126	это и	2	1
127	и должны	1	1
128	и есть	1	1
129	и строить	1	1
130	благодаря тому	1	1
131	но она	1	1
132	сказать и	1	1
133	очевидно что	2	1
134	и никак	1	1
135	и будет	1	1
136	в свои	1	1
137	сама по	1	1
138	в противном	1	1
139	кто не	1	1
140	как то	1	1
141	на точке	1	1
142	том и	1	1
143	и заключается	2	1
144	на все	1	1
145	произведение как	1	1
146	в них	1	1
147	работы в	1	1
148	представить себе	1	1
149	место в	1	1
150	может развиваться	1	1
151	этой области	1	1
152	и какие	1	1
153	трудно представить	1	1
154	его системе	1	1
155	в процессе	1	1
156	как будто	2	1
157	всему этому	1	1
158	заключается что	2	1
159	когда мы	1	1
160	тогда и	1	1
161	бы он	1	1
162	объекта и	1	1
163	те же	1	1
164	это вовсе	1	1
165	том как	1	1
166	и должно	1	1
167	нашей работы	1	1
168	на что	1	1
169	может не	1	1
170	не выходит	1	1
171	для изучения	1	1
172	и мы	2	1
173	один из	1	1
174	всего не	1	1
175	конечно не	1	1
176	него и	1	1
177	не дает	1	1
178	эти два	1	1
179	нужно было	2	1
180	выходит за	1	1
181	тотчас же	1	1
182	к которому	2	1
183	противном случае	1	1
184	на этот	1	1
185	и туманно	1	1
186	творчество в	1	1
187	в частности	2	1
188	по необходимости	1	1
189	и никакая	1	1
190	можно будет	1	1
191	в строгом	1	1
192	он говорит	1	1
193	но сам	1	1
194	только для	1	1
195	все это	7	1
196	между ними	1	1
197	развития и	1	1
198	и самым	1	1
199	только как	2	1
200	в заключение	1	1
201	они не	1	1
