N	2gram	Tiupa_Teor_1	FransuaR
1	и в	18	65
2	то есть	12	45
3	и др	1	24
4	как бы	5	22
5	и не	13	22
6	вовсе не	3	18
7	и т.п	4	17
8	в сущности	1	16
9	в том	16	16
10	в этом	8	15
11	но в	9	14
12	в нем	4	13
13	в условиях	1	13
14	нового времени	3	13
15	и на	1	11
16	прежде всего	2	11
17	все эти	2	10
18	не только	16	10
19	и его	8	10
20	так и	10	10
21	но и	9	10
22	и потому	2	10
23	том числе	2	10
24	во всех	1	9
25	в его	6	9
26	все это	2	9
27	за пределы	2	8
28	в своем	4	8
29	в основе	3	8
30	и даже	2	8
31	по своему	2	8
32	и другие	2	8
33	его в	2	7
34	точки зрения	9	7
35	в области	4	7
36	только в	6	7
37	числе и	1	7
38	в году	1	6
39	еще не	4	6
40	при этом	12	6
41	том что	9	6
42	в отношении	3	6
43	никогда не	4	6
44	как мы	1	6
45	времени и	2	6
46	искусства и	1	6
47	в значительной	1	6
48	в литературе	2	6
49	так как	1	6
50	может быть	17	6
51	не знает	3	6
52	сказать что	3	6
53	связана с	1	5
54	в обычной	1	5
55	с его	5	5
56	отличие от	6	5
57	как в	5	5
58	с их	2	5
59	в них	2	5
60	рядом с	1	5
61	как и	4	5
62	есть в	2	5
63	в своей	6	5
64	между людьми	1	5
65	потому что	3	5
66	той или	1	5
67	между тем	5	5
68	и одновременно	4	5
69	на мир	1	5
70	для него	2	5
71	в одном	2	5
72	или иной	4	5
73	еще и	1	5
74	превращается в	2	5
75	в частности	16	5
76	в той	2	5
77	в своих	1	5
78	жизни в	2	5
79	здесь и	1	4
80	и до	1	4
81	и к	3	4
82	в самом	4	4
83	в этой	3	4
84	в узком	3	4
85	входит в	1	4
86	в их	2	4
87	в отличие	6	4
88	не в	7	4
89	на всех	1	4
90	связи с	1	4
91	в жизни	2	4
92	из них	1	4
93	отношение к	5	4
94	это уже	1	4
95	мира и	1	4
96	между ними	4	4
97	совершенно не	1	4
98	можно говорить	1	3
99	между всеми	1	3
100	жизни как	4	3
101	жить и	2	3
102	в себя	3	3
103	уже не	4	3
104	то что	3	3
105	в себе	9	3
106	но на	1	3
107	это не	2	3
108	весь мир	1	3
109	далеко не	2	3
110	в ее	5	3
111	с точки	3	3
112	разного рода	1	3
113	даже в	3	3
114	на котором	1	3
115	по своей	3	3
116	и здесь	2	3
117	не могут	2	3
118	сама жизнь	1	3
119	в виду	5	3
120	в самой	2	3
121	с другой	7	3
122	второй половины	1	3
123	к нему	1	3
124	во всей	1	3
125	в форме	2	3
126	что он	1	3
127	до нас	1	3
