N	4gram	Losev_Vesc_1	Dialekti
1	одно и то же	4	4
2	не что иное как	7	3
3	в том смысле что	1	3
4	в то время как	1	3
5	и т д и	5	2
6	т д и т	5	2
7	так как будто бы	1	2
8	это не значит что	1	2
9	по крайней мере в	1	2
10	д и т д	5	2
11	в той или другой	2	2
12	есть не что иное	5	2
13	по крайней мере три	1	1
14	с одной стороны и	1	1
15	т е в конце	1	1
16	не есть она сама	2	1
17	не потому что они	2	1
18	то это значит что	2	1
19	заключается в том что	1	1
20	и то и другое	1	1
21	т е более или	1	1
22	той или другой форме	1	1
23	ни с какой стороны	1	1
24	можно только тогда когда	1	1
25	можно ли сказать что	3	1
26	есть не больше как	1	1
27	это значит что я	2	1
28	от всего прочего и	1	1
29	не есть ли он	1	1
30	е более или менее	1	1
31	до сих пор мы	1	1
32	на самом же деле	1	1
33	во всяком случае есть	1	1
34	не содержит в себе	1	1
35	с какой стороны не	1	1
36	т е прежде всего	1	1
37	т д все это	1	1
38	е в конце концов	1	1
39	ни на что не	1	1
40	все новые и новые	1	1
41	бы меня ни убеждали	1	1
42	меня ни убеждали что	1	1
43	ту или иную вещь	1	1
44	тут не может быть	1	1
45	ни с чем не	1	1
46	и т д все	1	1
47	потому что они –	1	1
