N	3gram	Bakhtin_fo_2	Tvorches
1	и т д	3	11
2	то же время	4	7
3	в то же	4	7
4	до сих пор	2	3
5	не может быть	1	3
6	никогда не было	1	2
7	и в то	3	2
8	в отличие от	1	2
9	в том же	4	2
10	с другой стороны	1	2
11	и т п	11	2
12	о том что	1	2
13	в одном из	1	2
14	в том что	3	2
15	в другом месте	2	1
16	особое место в	1	1
17	во время путешествия	1	1
18	в чем не	1	1
19	мы уже говорили	3	1
20	франчески и паоло	1	1
21	кто бы он	1	1
22	там нет и	1	1
23	более глубокой и	1	1
24	в том числе	3	1
25	о том как	3	1
26	сих пор еще	1	1
27	в дальнейшем мы	2	1
28	о золотом веке	1	1
29	он ни был	1	1
30	взятая в ее	1	1
31	сами по себе	2	1
32	в романе в	1	1
33	большую роль в	1	1
34	со всех сторон	1	1
35	так сказать в	1	1
36	уже говорили о	1	1
37	но в то	1	1
38	мифов и легенд	1	1
39	но при этом	1	1
40	и должно быть	2	1
41	и в этом	3	1
42	он утверждает что	1	1
43	в свою очередь	1	1
44	той или иной	1	1
45	в связи с	7	1
46	это не значит	1	1
47	в виду что	1	1
48	романа еще не	1	1
49	он не знал	1	1
50	потому что они	2	1
51	имеет у него	2	1
52	из них более	1	1
53	в то время	1	1
54	ни в чем	1	1
55	прежде всего нужно	2	1
56	за свой счет	1	1
57	с самого начала	1	1
58	в частности в	1	1
59	и только для	1	1
60	том числе и	2	1
61	бы он ни	1	1
62	в частности с	1	1
63	и прежде всего	3	1
64	представление о жизни	1	1
65	как и в	1	1
66	место в романе	2	1
67	и в другом	1	1
