N	2gram	Bakhtin_Pr_4	OGranits
1	и в	46	13
2	и его	6	12
3	прежде всего	9	9
4	может быть	23	8
5	не может	19	8
6	и не	27	8
7	и т.п	14	7
8	в его	9	7
9	и их	3	7
10	и пр	2	7
11	точки зрения	11	7
12	стилистических приемов	1	6
13	только в	6	6
14	как бы	19	6
15	не только	14	6
16	то что	4	6
17	таким образом	4	6
18	языка и	2	5
19	и т.д	3	5
20	все же	4	5
21	и наконец	4	5
22	но ведь	2	5
23	в поэзии	2	5
24	с точки	9	5
25	в процессе	4	5
26	хотя бы	2	5
27	и эта	1	5
28	мы не	4	4
29	в поэтику	1	4
30	произведения как	1	4
31	слов и	3	4
32	еще и	4	4
33	на фоне	6	4
34	но в	6	4
35	вопроса о	1	4
36	мы можем	4	4
37	то же	6	4
38	лишь в	2	4
39	в сознании	1	4
40	в своей	3	4
41	было бы	3	4
42	все это	6	4
43	только и	2	4
44	в двух	1	4
45	в каждом	6	4
46	и то	1	3
47	в ее	1	3
48	самом деле	4	3
49	в пределах	10	3
50	так и	4	3
51	при анализе	1	3
52	в их	4	3
53	по отношению	5	3
54	за пределы	5	3
55	с этим	2	3
56	в себе	7	3
57	языка как	1	3
58	к одному	6	3
59	не как	3	3
60	в одном	11	3
61	так как	5	3
62	одно и	1	3
63	здесь мы	1	3
64	но и	12	3
65	слово в	6	3
66	как и	12	3
67	и уже	1	3
68	точку зрения	1	3
69	что же	3	3
70	не в	10	3
71	да и	4	3
72	есть прежде	1	3
73	но для	3	3
74	все вопросы	1	3
75	и для	3	3
76	никогда не	6	3
77	и все	9	3
78	монологическое высказывание	1	3
79	превращается в	4	3
80	отношению к	5	3
81	не столько	1	3
82	что в	4	3
83	смысле слова	2	2
84	для себя	1	2
85	и др	1	2
86	данном случае	1	2
87	представим себе	2	2
88	в произведении	2	2
89	только его	1	2
90	роль в	1	2
91	мы уже	3	2
92	те же	2	2
93	если бы	3	2
94	и делают	1	2
95	предметного значения	1	2
96	и стиль	1	2
97	с самого	1	2
98	себе что	2	2
99	в ней	1	2
100	речи не	1	2
101	между тем	2	2
102	лишь путем	1	2
103	в общем	2	2
104	в языке	2	2
105	наконец в	1	2
106	к сожалению	1	2
107	и следовательно	2	2
108	может иметь	1	2
109	как в	4	2
110	в данном	2	2
111	в этом	16	2
112	но так	1	2
113	в том	9	2
114	двух разных	2	2
115	мы видим	1	2
116	все явления	1	2
117	от этого	2	2
118	в интонации	1	2
119	в целом	1	2
120	и тем	2	2
121	же слово	1	2
122	все эти	4	2
123	с одной	1	2
124	учение о	1	2
125	уже в	4	2
126	кажется что	3	2
127	в нем	17	2
128	при этом	5	2
129	и социально	1	2
130	для него	2	2
131	в другом	2	2
132	отношений между	1	2
133	вовсе не	9	2
134	тем что	3	2
135	в них	1	2
136	связанных с	1	2
137	и внутренняя	1	2
138	этой проблемы	1	2
139	в области	1	2
140	с другой	3	2
141	а как	2	2
142	в самом	9	2
143	входит в	1	2
144	может стать	2	2
145	одной стороны	1	2
146	он только	2	2
