N	3gram	Berdyaev_O_1	PoTuStor
1	по сравнению с	1	3
2	во всяком случае	1	3
3	не может быть	2	3
4	в нем нет	3	2
5	в самом деле	1	2
6	не могут быть	2	2
7	о том что	1	2
8	и в этом	2	2
9	а иногда и	1	1
10	и есть та	1	1
11	и в этот	1	1
12	в этом отношении	1	1
13	нужно отметить что	1	1
14	ним может быть	1	1
15	новой науки о	1	1
16	все что есть	1	1
17	человека и все	1	1
18	в том что	1	1
19	и прежде всего	1	1
20	вовлекающее в свой	1	1
21	у него из	1	1
22	друг с другом	1	1
23	для того чтобы	3	1
24	он прежде всего	2	1
