N	3gram	Berdyaev_M_2	FransuaR
1	до сих пор	3	8
2	в том что	2	6
3	как и в	2	4
4	с точки зрения	1	2
5	в нем и	1	2
6	о том что	2	2
7	для того чтобы	4	2
8	не может быть	8	2
9	что это не	2	1
10	лишь один из	1	1
11	а следовательно и	1	1
12	мы видим в	1	1
13	потому что в	1	1
14	по отношению к	2	1
15	на самом деле	1	1
16	подобно тому как	2	1
17	по своему значению	1	1
18	том что это	1	1
19	один из первых	1	1
20	такие явления и	1	1
21	а не к	1	1
22	и в той	1	1
23	они до сих	1	1
24	но и в	1	1
25	в этом отношении	1	1
26	но он не	1	1
27	может быть и	2	1
28	в самом строении	1	1
29	мы еще вернемся	2	1
30	и во всем	1	1
31	и тогда когда	1	1
32	что это за	1	1
33	на эту тему	1	1
34	не было еще	1	1
35	не потому что	1	1
36	и в этом	3	1
37	по сравнению с	1	1
38	один из моментов	1	1
39	таковы были и	1	1
40	и в основе	1	1
41	друг к другу	5	1
42	к которой мы	1	1
43	народной жизни из	1	1
44	в землю и	1	1
45	к другу и	2	1
46	в нем были	1	1
47	на протяжении всего	1	1
48	никогда не бывает	2	1
49	том что все	1	1
50	и потому они	1	1
51	после того как	2	1
52	и в нем	1	1
53	во всем и	1	1
54	той или иной	1	1
55	жизни это была	1	1
