N	3gram	Tiupa_Teor_1	Dialekti
1	с точки зрения	3	14
2	тем не менее	3	10
3	не только не	2	7
4	что иное как	1	6
5	не что иное	1	6
6	не может быть	4	6
7	о том что	1	5
8	по крайней мере	1	5
9	подобно тому как	1	4
10	в то время	1	4
11	сама по себе	1	4
12	ни в коем	2	3
13	с одной стороны	2	3
14	как и в	2	3
15	в коем случае	2	3
16	в том что	8	3
17	в сравнении с	1	3
18	субъекта и объекта	1	3
19	есть не что	1	3
20	коем случае не	2	3
21	так же как	1	2
22	так или иначе	4	2
23	точно так же	1	2
24	субъект и объект	1	2
25	с другой стороны	5	2
26	из того что	1	2
27	к тому что	2	2
28	тот или иной	2	2
29	и то же	1	2
30	того или иного	3	2
31	той или иной	1	2
32	не могут быть	2	2
33	это было бы	1	2
34	одно и то	1	2
35	иметь в виду	1	2
36	а не сама	1	1
37	таким образом что	1	1
38	я думаю что	1	1
39	том что в	1	1
40	из этих двух	1	1
41	бы то ни	1	1
42	что говоря о	1	1
43	это было возможно	1	1
44	– все это	1	1
45	не содержит в	1	1
46	тех или иных	3	1
47	и в то	1	1
48	у нее нет	1	1
49	в конечном счете	6	1
50	то ни было	1	1
51	что он должен	1	1
52	точки зрения в	1	1
53	имеем в виду	3	1
54	не менее чем	1	1
55	собственно говоря и	1	1
56	с другой –	1	1
57	в этом мире	2	1
58	то же самое	1	1
59	ни к чему	1	1
60	более или менее	2	1
61	к чему не	1	1
62	в то же	5	1
63	миф – это	1	1
64	имеет место в	1	1
65	мы имеем в	3	1
66	в себе никакого	1	1
67	в связи с	1	1
68	чем собственно говоря	1	1
69	содержит в себе	1	1
70	то же время	5	1
71	в виду что	1	1
72	исходит из того	1	1
73	что в основе	2	1
74	гоголевский хома брут	1	1
75	в данном случае	5	1
76	имеем дело не	1	1
77	того что не	1	1
