N	4gram	Medvedev_V_1	Myshleni
1	в то время как	1	4
2	с этой точки зрения	1	4
3	ответ на этот вопрос	1	2
4	с одной стороны и	2	1
5	только в том что	1	1
6	в этом отношении может	1	1
7	уже по одному тому	2	1
8	по отношению к этим	1	1
9	в том числе и	2	1
10	после всего сказанного выше	1	1
11	в этом и заключается	2	1
12	между этими двумя полюсами	1	1
13	что для того чтобы	1	1
14	есть одно и то	1	1
15	и вместе с тем	1	1
16	от того что мы	1	1
17	которая уже сама по	1	1
18	имеет свою внутреннюю логику	1	1
19	в том смысле что	1	1
20	одно и то же	1	1
21	так же как и	1	1
22	то что должно быть	1	1
23	и по отношению к	1	1
24	уже сама по себе	1	1
25	по одному тому что	2	1
26	для того чтобы понять	1	1
