N	2gram	Berdyaev_N_1	VrazhdaK
1	не только	5	9
2	в этом	7	8
3	и в	16	8
4	и что	2	8
5	но и	3	7
6	и все	4	7
7	то что	4	7
8	что в	9	7
9	но в	2	6
10	в нем	5	6
11	как и	7	6
12	в котором	1	6
13	и с	2	6
14	и даже	2	6
15	в то	2	5
16	у него	2	5
17	не было	4	5
18	в россии	3	5
19	и не	11	5
20	в ней	5	4
21	что он	1	4
22	в истории	3	4
23	это не	4	4
24	все это	5	4
25	в виду	1	4
26	во многом	1	4
27	с ним	1	4
28	о том	4	4
29	уже в	1	4
30	может быть	7	4
31	так же	2	4
32	я не	2	3
33	в чем	1	3
34	с его	6	3
35	в своем	1	3
36	в этот	1	3
37	он не	8	3
38	том что	2	3
39	но он	1	3
40	и его	1	3
41	человека в	1	3
42	и во	1	3
43	в его	1	3
44	в том	8	3
45	давно уже	1	3
46	и у	1	3
47	в конце	1	3
48	тем что	1	3
49	эти слова	1	3
50	наряду с	3	3
51	же как	2	2
52	на место	1	2
53	в эти	1	2
54	в известном	1	2
55	в той	1	2
56	в этой	1	2
57	в себе	2	2
58	их в	1	2
59	нашего времени	2	2
60	в одну	2	2
61	в мире	3	2
62	в них	4	2
63	в эту	1	2
64	во время	1	2
65	отцы и	1	2
66	в своей	3	2
67	место в	2	2
68	не менее	4	2
69	права на	2	2
70	одна из	2	2
71	никогда не	6	2
72	к себе	1	2
73	на это	1	2
74	и это	2	2
75	россии в	1	2
76	еще не	3	2
77	а также	1	2
78	уже не	2	2
79	из них	1	2
80	к ним	3	2
81	и т.п	2	2
82	не может	16	2
83	вместе с	2	2
84	и а	1	2
85	в это	1	2
86	но это	6	2
87	а в	2	2
88	в период	1	2
89	в свою	1	2
90	которых не	2	1
91	от этой	1	1
92	человека и	3	1
93	что образ	1	1
94	того же	1	1
95	не имел	1	1
96	это и	2	1
97	и есть	10	1
98	ему не	1	1
99	не хочет	1	1
100	по преимуществу	1	1
101	из всех	1	1
102	еще до	2	1
103	равно как	2	1
104	говорить о	1	1
105	разобраться в	1	1
106	это время	1	1
107	на них	1	1
108	и русской	1	1
109	по своему	4	1
110	совсем не	12	1
111	но не	2	1
112	есть по	1	1
113	не хотел	1	1
114	как в	3	1
115	с этим	2	1
116	для всех	1	1
117	тут нет	1	1
118	в самом	1	1
119	не был	1	1
120	но ведь	1	1
121	не могла	2	1
122	одному из	1	1
123	высшей степени	6	1
124	в силу	1	1
125	и этот	1	1
126	людей и	1	1
127	это конечно	1	1
128	не будет	7	1
129	этом он	1	1
130	в глубине	1	1
131	это было	3	1
132	было бы	1	1
133	россия в	1	1
134	в жизни	5	1
135	в высшей	6	1
136	этого не	1	1
137	всю жизнь	1	1
138	не всегда	1	1
139	он и	1	1
140	может идти	1	1
141	такой же	2	1
142	одного и	1	1
143	но я	2	1
144	в этих	1	1
145	и их	1	1
146	всяком случае	1	1
147	своего рода	1	1
148	войне и	1	1
149	к реальному	3	1
150	есть еще	1	1
151	не могли	2	1
152	что этот	1	1
153	времени а	1	1
154	не должна	1	1
155	возвращается к	2	1
156	сам этот	1	1
157	человечества и	1	1
158	не имеет	4	1
159	русский народ	1	1
160	также что	1	1
161	из их	1	1
162	все свои	1	1
163	приближаемся к	2	1
164	мыслей и	1	1
165	по своей	1	1
166	потому что	4	1
167	в каком	1	1
168	ли это	2	1
169	в мировой	2	1
170	в духе	3	1
171	в речах	1	1
172	могут быть	2	1
173	во все	1	1
174	сама жизнь	2	1
175	в недрах	1	1
176	по всем	1	1
177	не есть	3	1
178	россию и	1	1
179	с ее	5	1
180	в ее	3	1
181	то время	1	1
182	роль в	2	1
183	стремится быть	1	1
184	так и	2	1
185	на нее	1	1
186	не с	1	1
187	еще в	1	1
188	просвещение и	1	1
189	быть может	4	1
190	во всяком	1	1
191	в будущее	1	1
192	до сих	1	1
193	мы приближаемся	1	1
194	это была	1	1
195	вопросу о	1	1
196	партии и	1	1
197	к нему	1	1
198	во всех	3	1
199	я думаю	1	1
200	николая i	1	1
201	все в	1	1
202	вели к	1	1
203	к которому	1	1
204	более всего	1	1
205	этом смысле	2	1
206	не хотят	2	1
207	ли он	1	1
208	во всем	1	1
209	то он	1	1
210	себя в	2	1
211	истории человечества	1	1
212	а это	1	1
213	к своим	1	1
214	привела к	1	1
215	друг друга	1	1
216	от того	1	1
217	перед ними	1	1
218	гораздо больше	1	1
219	и из	1	1
220	с другой	3	1
221	труд и	1	1
222	франции не	1	1
223	прежде всего	4	1
224	истории к	4	1
225	одну из	1	1
226	во франции	1	1
227	себя на	1	1
228	нет ничего	1	1
229	с идеями	1	1
230	не знал	2	1
231	был в	1	1
232	известном смысле	1	1
233	сих пор	1	1
234	оба они	1	1
235	но для	2	1
236	мире а	1	1
237	к вопросу	1	1
238	ближе к	1	1
239	лежал в	1	1
240	и от	2	1
241	чтобы разобраться	1	1
242	хотя и	2	1
243	уже давно	1	1
244	и начинается	2	1
245	другой стороны	2	1
246	жизни и	8	1
247	к этой	1	1
248	который не	1	1
249	как на	1	1
250	все что	1	1
251	они не	1	1
252	он часто	1	1
