N	2gram	Tiupa_Anal_1	Retstnzi
1	не может	22	4
2	и в	18	3
3	один из	2	2
4	если в	3	2
5	нет и	2	1
6	в особенности	1	1
7	себе все	1	1
8	смысл и	3	1
9	художественного целого	10	1
10	и не	21	1
11	можно и	1	1
12	художественного и	1	1
13	тому что	1	1
14	значительное количество	1	1
15	не только	15	1
16	язык художественного	1	1
17	художественного произведения	5	1
18	связи с	1	1
19	событий и	1	1
20	точки зрения	6	1
21	на примере	2	1
22	языка как	1	1
23	но и	17	1
24	и должно	1	1
25	не менее	1	1
26	поставить в	1	1
27	с другими	4	1
28	тех же	1	1
29	в лингвистике	1	1
30	в ней	1	1
31	может и	1	1
32	в то	9	1
33	с точки	4	1
34	подхода к	3	1
35	и на	5	1
36	первая часть	1	1
37	для него	2	1
38	может не	1	1
39	и больше	1	1
40	о литературе	3	1
41	литературного произведения	41	1
42	часть книги	1	1
43	второй части	1	1
44	к тому	7	1
45	а не	17	1
46	его от	1	1
47	может быть	29	1
48	при анализе	1	1
49	несмотря на	2	1
50	всех участников	1	1
51	в его	13	1
52	он в	1	1
53	же время	6	1
54	то же	9	1
55	и все	3	1
56	из этих	2	1
57	язык как	1	1
58	если бы	3	1
59	исходя из	4	1
