N	3gram	Bakhtin_sl_2	Vladivir
1	в том что	4	9
2	в связи с	2	8
3	во всяком случае	2	6
4	тем не менее	1	6
5	более или менее	2	3
6	с точки зрения	3	3
7	в отличие от	12	3
8	в то же	4	3
9	то же время	4	3
10	о том что	1	3
11	хотя и не	1	2
12	на то что	1	2
13	том что он	1	2
14	и до конца	1	2
15	на первый план	1	2
16	как мы сказали	2	2
17	он никогда не	1	2
18	не только в	2	2
19	в свою очередь	2	2
20	а в том	1	2
21	и как мы	1	2
22	до некоторой степени	1	2
23	как мы видели	1	2
24	мы коснемся в	1	1
25	все это то	1	1
26	не может не	1	1
27	этом отношении он	1	1
28	имеет дело с	1	1
29	в какой мере	1	1
30	а не с	1	1
31	требует от нас	2	1
32	мы уже сказали	1	1
33	также и в	1	1
34	в том числе	1	1
35	он не только	1	1
36	в этом случае	6	1
37	можно утверждать что	1	1
38	до сих пор	2	1
39	и в то	1	1
40	а также в	1	1
41	в этом отношении	3	1
42	в собственном смысле	3	1
43	и не в	1	1
44	говорить только с	1	1
45	может быть и	2	1
46	до известной степени	1	1
47	для него самого	1	1
48	и в них	1	1
49	до конца и	1	1
50	но в то	3	1
51	трем основным категориям	1	1
52	такой степени что	1	1
53	а также и	2	1
54	все это очень	2	1
55	не только как	1	1
56	с ним и	1	1
57	и наконец в	2	1
58	не может быть	15	1
59	далеко не все	1	1
60	в той же	1	1
61	сих пор не	2	1
62	и ни в	1	1
63	вместе с ним	1	1
64	к трем основным	1	1
65	как уже сказано	2	1
66	и притом в	1	1
67	и особенно в	1	1
68	с самого начала	1	1
69	можно говорить только	1	1
70	но все же	4	1
71	нужно сказать что	1	1
72	уже не только	1	1
73	как мы уже	2	1
74	для нас в	1	1
75	конечно не в	1	1
76	и в нем	1	1
77	для того чтобы	2	1
78	и т д	2	1
