N	2gram	Berdyaev_N_1	Otkroven
1	о человеке	1	29
2	у него	2	22
3	и в	16	19
4	но и	3	13
5	и не	11	13
6	в этом	7	12
7	человека в	1	11
8	не в	6	11
9	не только	5	11
10	может быть	7	11
11	а не	17	11
12	человека и	3	10
13	вопрос о	3	10
14	в нем	5	10
15	и все	4	10
16	прежде всего	4	9
17	не было	4	9
18	никогда не	6	9
19	потому что	4	9
20	в его	1	7
21	человек не	1	7
22	он не	8	7
23	в глубине	1	7
24	лишь в	6	7
25	нет ничего	1	7
26	но он	1	7
27	как и	7	6
28	все это	5	6
29	в том	8	5
30	в самом	1	5
31	в этой	1	5
32	человеке и	1	5
33	в россии	3	5
34	а в	2	5
35	то что	4	5
36	с его	6	4
37	все в	1	4
38	все эти	2	4
39	него и	1	4
40	что не	1	4
41	не может	16	4
42	того чтобы	2	4
43	есть лишь	4	4
44	и мысли	1	4
45	и его	1	4
46	всегда есть	1	4
47	что в	9	4
48	нем нет	2	3
49	и есть	10	3
50	быть может	4	3
51	о том	4	3
52	еще не	3	3
53	во имя	15	3
54	к нему	1	3
55	жизни все	2	3
56	было бы	1	3
57	со злом	1	3
58	что он	1	3
59	в себе	2	3
60	о природе	1	3
61	человеческого духа	1	3
62	не могут	1	3
63	для того	1	3
64	это было	3	3
65	это не	4	3
66	мысли и	2	3
67	могут быть	2	3
68	с ним	1	3
69	и от	2	3
70	природы ее	1	3
71	в этих	1	3
72	более всего	1	3
73	хотя бы	2	3
74	все что	1	3
75	и с	2	2
76	в ее	3	2
77	этого мира	1	2
78	на западе	1	2
79	так и	2	2
80	по себе	1	2
81	погружается в	1	2
82	их не	1	2
83	и на	2	2
84	совсем не	12	2
85	в истории	3	2
86	россии в	1	2
87	в своем	1	2
88	и нет	1	2
89	и к	5	2
90	в этот	1	2
91	и потому	4	2
92	с богом	1	2
93	добро и	1	2
94	в которой	1	2
95	он в	1	2
96	уже в	1	2
97	зла в	1	2
98	так как	1	2
99	тем что	1	2
100	образ человека	1	2
101	этом он	1	2
102	и из	1	2
103	заложенных в	1	2
104	сказать что	3	2
105	с тем	3	2
106	и очень	1	2
107	русского народа	1	2
108	должно быть	4	2
109	том что	2	2
110	не могли	2	2
111	в человеческом	1	2
112	не имеет	4	2
113	и для	4	2
114	проблема о	1	2
115	к ней	1	2
116	потребность в	1	2
117	не есть	3	2
118	жизни в	3	2
119	в глубину	1	2
120	в своей	3	2
121	что все	2	2
122	свободы и	2	2
123	к этой	1	2
124	хотя и	2	2
125	все еще	1	2
126	но в	2	2
127	бог и	1	1
128	смысле слова	3	1
129	и это	2	1
130	вкус к	2	1
131	и через	1	1
132	связана с	2	1
133	в виду	1	1
134	на нем	1	1
135	людей в	1	1
136	не могу	1	1
137	космической жизни	1	1
138	божественной жизни	2	1
139	характер и	1	1
140	и до	1	1
141	не имеют	2	1
142	должна быть	3	1
143	стремиться к	2	1
144	человеческих сил	1	1
145	и когда	1	1
146	природе своей	1	1
147	можно было	2	1
148	к чему	1	1
149	из всех	1	1
150	не с	1	1
151	по природе	1	1
152	мы не	2	1
153	в эпоху	9	1
154	гуманизмом с	1	1
155	в сущности	1	1
156	жизни как	2	1
157	это я	1	1
158	в ней	5	1
159	и что	2	1
160	это должно	1	1
161	жизни ни	2	1
162	и общественной	5	1
163	это была	1	1
164	вопросу о	1	1
165	нет у	1	1
166	была лишь	1	1
167	в которую	1	1
168	но не	2	1
169	из сторон	1	1
170	то он	1	1
171	духа как	1	1
172	его призвании	1	1
173	к богу	2	1
174	в новом	2	1
175	но нет	1	1
176	нуждается в	1	1
177	себе и	1	1
178	все время	2	1
179	но сам	1	1
180	в центре	2	1
181	как в	3	1
182	и мир	1	1
183	человек от	1	1
184	как например	1	1
185	что нет	1	1
186	на человека	1	1
187	это представляется	2	1
188	духа и	3	1
189	ли он	1	1
190	с душой	1	1
191	от этого	1	1
192	духа в	2	1
193	который в	2	1
194	не хочет	1	1
195	от бога	6	1
196	вопрос об	1	1
197	в эти	1	1
198	думать что	2	1
199	путь которым	1	1
200	же и	1	1
201	с их	2	1
202	есть уже	1	1
203	уже не	2	1
204	свободе но	1	1
205	образа человека	1	1
206	ней нужно	1	1
207	что она	2	1
208	два пути	1	1
209	из них	1	1
210	мир в	1	1
211	к одному	1	1
212	человека не	1	1
213	в силу	1	1
214	про него	1	1
215	мысли как	1	1
216	показал что	1	1
217	людей и	1	1
218	от того	1	1
219	имя свободы	3	1
220	бога но	2	1
221	свобода человека	1	1
222	лишь к	1	1
223	лишь для	1	1
224	человек а	1	1
225	не народ	1	1
226	том случае	1	1
227	и даже	2	1
228	и человека	1	1
229	и русский	1	1
230	прогресса в	1	1
231	а это	1	1
232	лишь на	1	1
233	истории и	9	1
234	было и	1	1
235	во внешней	1	1
236	в жизни	5	1
237	в это	1	1
238	на поверхности	1	1
239	и пр	3	1
240	этого она	1	1
241	в них	4	1
242	свободы от	2	1
243	попал в	1	1
244	был в	1	1
245	стремится к	3	1
246	его было	1	1
247	всю жизнь	1	1
248	и переживает	1	1
249	нужно считать	1	1
250	изнутри а	1	1
251	бога и	3	1
252	в мире	3	1
253	посвящения в	1	1
254	он и	1	1
255	и ему	1	1
256	в раскрытии	1	1
257	которые будут	1	1
258	я хочу	1	1
259	возможен лишь	1	1
260	в недра	1	1
261	как это	2	1
262	в котором	1	1
263	ничего нет	1	1
264	духовную жизнь	1	1
265	мир и	2	1
266	права на	2	1
267	это есть	7	1
268	в мир	1	1
269	всяком случае	1	1
270	и более	1	1
271	в конце	1	1
272	распадается на	1	1
273	быть не	1	1
274	и формы	2	1
275	нет никакого	1	1
276	свободы в	2	1
277	глубину в	1	1
278	и истребление	1	1
279	но это	6	1
280	оба они	1	1
281	природу и	1	1
282	она не	3	1
283	еще люди	1	1
284	мысли в	2	1
285	и зло	1	1
286	одна из	2	1
287	ближе к	1	1
288	она должна	1	1
289	не по	1	1
290	не случайно	1	1
291	сам человек	1	1
292	не существует	3	1
293	самой жизни	2	1
294	в силах	1	1
295	жизни не	3	1
296	быть преодолено	1	1
297	и весь	2	1
298	особого рода	1	1
299	в русском	2	1
300	по своей	1	1
301	ни к	2	1
302	раскрывается лишь	1	1
303	во всем	1	1
304	вот что	1	1
305	заключает в	1	1
306	как будто	2	1
307	человеческого общества	1	1
308	и начинается	2	1
309	лишь по	1	1
310	всего мира	1	1
311	у нас	1	1
312	не быть	1	1
313	бытия как	1	1
314	в космосе	1	1
315	от всех	1	1
316	но можно	1	1
317	природе и	2	1
318	жизни а	1	1
319	и заключается	2	1
320	но оно	1	1
321	это конечно	1	1
322	и всех	1	1
323	людей но	1	1
324	огромное значение	1	1
325	жизни и	8	1
326	будто бы	1	1
327	всего что	1	1
328	бы он	1	1
329	во всяком	1	1
330	случае если	1	1
