N	2gram	Trubetskoy_1	Problemy
1	и в	23	34
2	и не	8	29
3	как бы	10	27
4	что он	7	23
5	в его	5	22
6	в нем	3	19
7	может быть	16	19
8	не может	17	19
9	и все	7	19
10	как и	9	18
11	в этом	12	16
12	но в	4	16
13	и его	1	16
14	все это	11	16
15	он не	3	15
16	и с	5	15
17	что я	1	15
18	прежде всего	3	15
19	то же	4	14
20	к нему	2	14
21	самом деле	12	13
22	для него	2	13
23	и к	5	12
24	в то	6	12
25	же время	2	12
26	потому что	9	12
27	но и	9	12
28	на самом	7	11
29	в сущности	2	11
30	вовсе не	2	11
31	с другим	1	11
32	то что	18	11
33	не только	7	10
34	не в	8	9
35	в отношении	1	9
36	а не	1	9
37	с самого	1	8
38	самого начала	1	8
39	никогда не	4	8
40	с ним	6	8
41	в другом	2	8
42	в самом	8	8
43	себя и	2	8
44	так же	8	8
45	что же	2	8
46	и для	6	8
47	точки зрения	13	8
48	я не	2	7
49	на него	2	7
50	как будто	5	7
51	как мы	2	7
52	и даже	1	7
53	этого слова	2	7
54	все же	13	7
55	что в	8	7
56	мы уже	4	6
57	и на	6	6
58	с его	1	6
59	отношение к	4	6
60	что они	2	6
61	что у	2	6
62	от себя	2	6
63	для себя	2	6
64	так и	10	6
65	в себе	5	6
66	только в	6	6
67	от него	3	6
68	с ними	2	6
69	не знает	2	6
70	отношению к	9	6
71	он сам	1	5
72	по отношению	9	5
73	и наконец	3	5
74	и у	4	5
75	что это	5	5
76	в целом	5	5
77	и вот	1	5
78	но все	5	5
79	лишь в	5	5
80	с тем	2	5
81	он и	1	5
82	в конце	4	5
83	даже в	3	5
84	это слово	1	5
85	таким образом	31	5
86	к тому	8	5
87	и сам	2	5
88	и что	8	5
89	что и	7	5
90	это не	3	5
91	того что	6	5
92	и так	2	5
93	так что	5	5
94	из них	5	5
95	всяком случае	2	5
96	себе и	1	5
97	к своему	1	5
98	дело идет	1	5
99	и от	5	5
100	мы должны	4	5
101	хотя бы	4	5
102	а в	3	5
103	во всяком	2	5
104	из его	1	4
105	собою и	1	4
106	еще не	5	4
107	бы то	2	4
108	но не	2	4
109	но как	2	4
110	как в	1	4
111	он в	1	4
112	все эти	19	4
113	но на	2	4
114	на его	1	4
115	при этом	9	4
116	на этом	2	4
117	то ни	3	4
118	что все	5	4
119	в мире	6	4
120	его в	5	4
121	с другими	1	4
122	рядом с	1	4
123	с точки	8	4
124	друг другу	1	4
125	ничего не	1	4
126	и это	3	4
127	если бы	8	4
128	на вопрос	4	4
129	и кажется	1	4
130	только на	1	4
131	в виде	4	4
132	в начале	2	4
133	в общем	6	4
134	так как	7	4
135	у него	5	4
136	даже и	1	4
137	с другой	6	4
138	тем что	1	4
139	вместе с	6	4
140	да и	1	4
141	как к	5	4
142	бы он	1	4
143	я в	2	4
144	ни было	2	4
145	и вдруг	1	4
146	а между	8	3
147	в такой	4	3
148	и то	4	3
149	ведь и	1	3
150	высшей степени	1	3
151	так чтобы	2	3
152	говорить о	2	3
153	в виду	2	3
154	в ней	3	3
155	что его	4	3
156	совсем не	1	3
157	нет и	1	3
158	хотя и	4	3
159	и как	1	3
160	уже в	1	3
161	к одному	1	3
162	их в	2	3
163	тут не	1	3
164	без исключения	1	3
165	в каждом	1	3
166	знает что	1	3
167	это было	1	3
168	он все	2	3
169	в высшей	1	3
170	далеко не	5	3
171	этого не	1	3
172	мы видели	2	3
173	должно быть	4	3
174	такой же	2	3
175	в своей	1	3
176	в котором	2	3
177	и другого	1	3
178	не менее	7	3
179	по крайней	1	3
180	что с	5	3
181	том что	19	3
182	во всем	3	3
183	уже говорили	1	3
184	есть только	1	3
185	с ее	2	3
186	не могу	1	3
187	говорили что	1	3
188	для этого	7	3
189	сводится к	2	3
190	между тем	12	3
191	крайней мере	1	3
192	но так	2	3
193	в том	30	3
194	а с	4	3
195	до конца	1	3
196	в последующем	1	3
197	эти слова	1	3
198	по своему	5	3
199	сам не	1	3
200	но для	2	3
201	же я	1	3
202	лишь о	2	3
203	бы в	3	3
204	конце концов	4	3
205	только что	3	3
206	его к	1	3
207	только с	1	3
208	другой стороны	5	3
209	жизни и	2	3
210	я и	1	2
211	от этой	1	2
212	например в	1	2
213	он может	1	2
214	это и	1	2
215	все те	1	2
216	той же	1	2
217	а как	1	2
218	себе как	1	2
219	и тут	1	2
220	та же	3	2
221	время от	2	2
222	мы и	2	2
223	того же	9	2
224	в которых	2	2
225	это действительно	1	2
226	столь же	5	2
227	во всех	10	2
228	бы не	1	2
229	друг на	1	2
230	в сторону	2	2
231	отличие от	3	2
232	с этим	11	2
233	в своем	10	2
234	увидим что	1	2
235	в этот	1	2
236	в которой	5	2
237	бы с	1	2
238	еще далеко	1	2
239	тому же	6	2
240	можно лишь	2	2
241	вследствие этого	2	2
242	всех этих	4	2
243	он должен	2	2
244	и если	6	2
245	друг с	9	2
246	хочет чтобы	1	2
247	же не	3	2
248	те же	2	2
249	входит в	1	2
250	чтобы все	3	2
251	было бы	3	2
252	он есть	1	2
253	лишь на	1	2
254	в жизни	3	2
255	кажется что	1	2
256	по всему	1	2
257	в них	2	2
258	если я	1	2
259	и того	3	2
260	когда все	1	2
261	я этого	1	2
