N	3gram	Nazirov_Vr_1	Problema
1	о том что	1	14
2	тем не менее	1	12
3	во всяком случае	1	10
4	в конце концов	1	7
5	и то что	1	7
6	по крайней мере	1	6
7	в этом смысле	1	5
8	с другой стороны	1	5
9	в связи с	3	5
10	в то же	4	4
11	до сих пор	1	4
12	в том что	2	4
13	на то что	1	4
14	это то что	1	4
15	или по крайней	1	3
16	и в этом	1	3
17	на первый план	1	3
18	точно так же	1	3
19	не может быть	2	3
20	заключается в том	1	2
21	связи с этим	1	2
22	это и есть	1	2
23	не только не	1	2
24	может быть и	1	2
25	имеется в виду	1	2
26	не имеет никаких	1	2
27	тех пор мы	1	1
28	так же как	1	1
29	о том как	1	1
30	только при помощи	1	1
31	но это не	1	1
32	тем что он	1	1
33	а с другой	1	1
34	года в москве	1	1
35	все равно не	1	1
36	и не может	1	1
37	по нашему мнению	1	1
38	был знаком и	1	1
39	и то же	1	1
40	на первый взгляд	1	1
41	в то время	1	1
42	что это за	1	1
43	в этом отношении	1	1
44	я не знаю	1	1
45	но для нас	1	1
46	что в нем	1	1
47	в известном смысле	1	1
48	в свете этой	1	1
49	далеко не все	1	1
50	о котором уже	1	1
51	в разные периоды	1	1
52	и в то	1	1
