N	2gram	Propp_Isto_7	Vvedenie
1	и т	17	42
2	т д	16	36
3	т е	16	35
4	и в	24	32
5	в том	7	31
6	в этом	12	30
7	том что	10	26
8	может быть	14	26
9	не только	21	22
10	для того	1	21
11	таким образом	7	19
12	то что	7	16
13	потому что	9	15
14	так как	8	15
15	не может	14	14
16	в самом	2	13
17	в нем	6	13
18	о том	9	13
19	со стороны	2	13
20	в их	4	12
21	представляет собой	4	12
22	в его	1	12
23	того что	6	12
24	только в	6	12
25	и не	4	12
26	как на	1	12
27	как мы	3	11
28	в ее	2	11
29	ясно что	1	11
30	в данном	4	11
31	что такое	2	11
32	что в	13	10
33	то же	8	9
34	и как	1	9
35	но в	5	9
36	по себе	1	9
37	а только	1	8
38	это не	10	8
39	не в	9	8
40	тем не	4	8
41	не менее	5	8
42	с другой	9	8
43	именно в	1	8
44	самом деле	1	7
45	вопрос о	3	7
46	но не	6	7
47	все же	9	7
48	было бы	2	7
49	точки зрения	4	7
50	можно было	1	7
51	дело с	1	7
52	прежде всего	2	7
53	только как	1	7
54	и это	2	6
55	из этих	3	6
56	как он	6	6
57	том чтобы	3	6
58	его в	3	6
59	с тем	1	6
60	как и	6	6
61	вовсе не	4	6
62	в то	2	6
63	в качестве	3	6
64	тем что	6	6
65	не могут	2	6
66	один из	7	6
67	этот вопрос	2	6
68	и его	3	6
69	в руки	1	6
70	и даже	3	6
71	до сих	2	6
72	но и	11	6
73	а именно	6	6
74	сих пор	3	6
75	все это	8	6
76	хотя бы	1	6
77	одним из	1	5
78	а как	1	5
79	в целом	1	5
80	или вообще	1	5
81	так например	2	5
82	об этом	6	5
83	и тем	2	5
84	данном случае	3	5
85	в них	3	5
86	но если	1	5
87	в которых	1	5
88	сказать что	2	5
89	д но	1	5
90	как например	1	5
91	так что	3	5
92	уже в	3	5
93	т п	1	5
94	представляют собой	5	5
95	что не	2	5
96	на этот	2	5
97	а не	8	5
98	по своему	1	5
99	как бы	4	5
100	другой стороны	8	5
101	есть и	4	5
102	в какой	1	5
103	вместе с	7	5
104	связана с	1	4
105	и то	1	4
106	как это	2	4
107	в чисто	1	4
108	мы имеем	12	4
109	что иное	1	4
110	по отношению	1	4
111	не просто	2	4
112	независимо от	1	4
113	от этого	1	4
114	уже не	2	4
115	должен был	2	4
116	в своей	1	4
117	в котором	2	4
118	не имеет	4	4
119	нельзя не	1	4
120	в разных	1	4
121	в каждом	1	4
122	здесь нет	3	4
123	на вопрос	4	4
124	и что	10	4
125	как она	1	4
126	и история	1	4
127	еще не	8	4
128	что он	21	4
129	и ее	2	4
130	с одной	5	4
131	в виде	1	4
132	даже и	1	4
133	в особенности	2	4
134	одной стороны	5	4
135	по мере	1	4
136	быть названо	1	4
137	е в	2	4
138	о чем	1	4
139	видит в	2	4
140	с этой	6	4
141	этом случае	1	4
142	только что	1	4
143	а в	10	4
144	конфликт между	1	4
145	отношению к	1	4
146	и есть	1	3
147	что уже	1	3
148	не вполне	3	3
149	то это	5	3
150	и этого	1	3
151	и на	2	3
152	в различных	3	3
153	в чем	5	3
154	своего рода	4	3
155	совсем не	1	3
156	ответ на	6	3
157	сама по	1	3
158	стороны и	2	3
159	хотя и	3	3
160	и к	1	3
161	за собой	1	3
162	что это	6	3
